Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;76.40;76.45;76.05;76.25;76.25;5145440;0
24.08.2025;11:30;76.20;76.50;76.20;76.35;76.35;1036712;0
24.08.2025;11:45;76.30;76.65;76.25;76.45;76.45;617106;0
24.08.2025;12:00;76.45;76.50;76.15;76.30;76.33;968303;0
24.08.2025;12:15;76.25;76.30;76.05;76.10;76.18;1321240;0
24.08.2025;12:30;76.10;76.25;76.00;76.00;76.12;1782419;0
24.08.2025;12:45;76.00;76.20;76.00;76.20;76.10;557512;0
24.08.2025;13:00;76.20;76.25;76.10;76.25;76.17;649448;0
24.08.2025;13:15;76.25;76.30;76.15;76.25;76.23;703166;0
24.08.2025;13:30;76.25;76.25;76.15;76.20;76.20;104127;0
24.08.2025;13:45;76.20;76.40;76.10;76.35;76.25;898743;0
24.08.2025;14:00;76.35;76.35;76.00;76.05;76.17;1034253;0
24.08.2025;14:15;76.05;76.15;76.05;76.10;76.10;407839;0
24.08.2025;14:30;76.10;76.15;75.90;76.00;76.03;1326809;0
24.08.2025;14:45;76.00;76.10;75.70;75.80;75.90;2360008;0
24.08.2025;15:00;75.80;75.95;75.60;75.85;75.77;3664314;0
24.08.2025;15:15;75.80;76.05;75.60;75.80;75.83;1464386;0
24.08.2025;15:30;75.80;76.20;75.70;75.90;75.95;1956794;0
24.08.2025;15:45;75.90;75.90;75.65;75.70;75.78;669873;0
24.08.2025;16:00;75.75;76.05;75.65;75.95;75.85;1522290;0
24.08.2025;16:15;75.95;76.20;75.85;76.05;76.02;1019162;0
24.08.2025;16:30;76.10;76.25;76.10;76.15;76.17;504533;0
24.08.2025;16:45;76.15;77.40;75.90;76.90;76.65;5293550;0
24.08.2025;17:00;77.00;77.20;76.30;76.30;76.75;3721947;0
24.08.2025;17:15;76.40;76.80;76.15;76.30;76.48;2182641;0
24.08.2025;17:30;76.25;76.35;75.75;76.05;76.05;2431434;0
24.08.2025;17:45;75.95;76.05;75.75;75.90;75.90;2458556;0
24.08.2025;18:00;75.85;76.50;75.85;76.50;76.17;4395647;0
27.08.2025;10:00;76.00;76.00;74.65;75.45;75.33;5073397;0
27.08.2025;10:15;75.45;75.45;75.00;75.20;75.22;1603956;0
27.08.2025;10:30;75.10;75.20;74.60;74.70;74.90;3168009;0
27.08.2025;10:45;74.75;74.95;74.55;74.80;74.75;3520680;0
27.08.2025;11:00;74.80;74.85;74.45;74.80;74.65;1456120;0
27.08.2025;11:15;74.80;74.85;74.55;74.75;74.70;607857;0
27.08.2025;11:30;74.75;74.80;74.60;74.65;74.70;890994;0
27.08.2025;11:45;74.65;75.05;74.60;74.95;74.83;1905791;0
27.08.2025;12:00;74.95;74.95;74.75;74.80;74.85;467905;0
27.08.2025;12:15;74.75;74.95;74.65;74.70;74.80;3663728;0
27.08.2025;12:30;74.70;74.75;74.55;74.65;74.65;1051378;0
27.08.2025;12:45;74.70;74.85;74.60;74.65;74.72;598180;0
27.08.2025;13:00;74.70;74.95;74.60;74.70;74.77;3543137;0
27.08.2025;13:15;74.70;74.75;74.25;74.35;74.50;2227154;0
27.08.2025;13:30;74.40;74.65;74.30;74.60;74.48;347941;0
27.08.2025;13:45;74.60;74.70;74.40;74.55;74.55;1146552;0
27.08.2025;14:00;74.60;74.65;74.45;74.55;74.55;481985;0
27.08.2025;14:15;74.60;74.70;74.30;74.45;74.50;649283;0
27.08.2025;14:30;74.45;74.65;74.20;74.30;74.42;491039;0
27.08.2025;14:45;74.30;74.35;74.05;74.10;74.20;1710855;0
27.08.2025;15:00;74.10;74.35;73.85;74.00;74.10;2047275;0
27.08.2025;15:15;74.00;74.65;73.90;74.05;74.28;4227518;0
27.08.2025;15:30;74.10;74.15;73.90;73.90;74.03;865040;0
27.08.2025;15:45;73.85;73.95;73.50;73.80;73.72;2806726;0
27.08.2025;16:00;73.80;74.05;73.70;73.90;73.88;837135;0
27.08.2025;16:15;73.90;74.15;73.85;74.10;74.00;769679;0
27.08.2025;16:30;74.05;74.40;73.95;74.05;74.17;1821714;0
27.08.2025;16:45;74.05;74.45;74.00;74.30;74.22;1201234;0
27.08.2025;17:00;74.35;74.45;74.15;74.25;74.30;219358;0
27.08.2025;17:15;74.20;74.65;74.15;74.45;74.40;1349695;0
27.08.2025;17:30;74.50;74.60;74.00;74.05;74.30;1824255;0
27.08.2025;17:45;74.05;74.10;73.65;73.90;73.88;2143661;0
27.08.2025;18:00;73.90;73.90;73.25;73.85;73.58;3437059;0
28.08.2025;10:00;73.95;74.55;73.85;74.30;74.20;4790739;0
28.08.2025;10:15;74.30;74.50;74.20;74.50;74.35;4848580;0
28.08.2025;10:30;74.40;74.40;74.15;74.20;74.28;932314;0
