Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;17:05;9.55;9.56;9.46;9.49;9.51;4464867;0
26.02.2024;18:05;9.49;9.49;9.49;9.49;9.49;28865;0
27.02.2024;09:05;9.49;9.49;9.49;9.49;9.49;42348;0
27.02.2024;10:05;9.49;9.70;9.49;9.52;9.59;5975795;0
27.02.2024;11:05;9.52;10.00;9.03;9.74;9.52;2765125;0
27.02.2024;12:05;9.73;9.76;9.68;9.76;9.72;767712;0
27.02.2024;13:05;9.76;9.79;9.72;9.75;9.75;983475;0
27.02.2024;14:05;9.75;9.80;9.75;9.79;9.77;312797;0
27.02.2024;15:05;9.79;9.80;9.68;9.72;9.74;2037838;0
27.02.2024;16:05;9.72;9.83;9.72;9.80;9.78;1254919;0
27.02.2024;17:05;9.80;9.89;9.73;9.85;9.81;3452458;0
27.02.2024;18:05;9.85;9.85;9.85;9.85;9.85;217291;0
01.03.2024;09:05;9.86;9.86;9.86;9.86;9.86;17354;0
01.03.2024;10:05;9.86;10.26;9.85;10.21;10.05;5712067;0
01.03.2024;11:05;10.21;10.23;10.11;10.13;10.17;1234899;0
01.03.2024;12:05;10.15;10.23;10.11;10.22;10.17;1853681;0
01.03.2024;13:05;10.23;10.28;10.18;10.28;10.23;1654088;0
01.03.2024;14:05;10.28;10.28;10.22;10.24;10.25;1212104;0
01.03.2024;15:05;10.27;10.45;10.23;10.42;10.34;1423642;0
01.03.2024;16:05;10.42;10.53;10.39;10.50;10.46;2485420;0
01.03.2024;17:05;10.51;10.60;10.46;10.46;10.53;2357669;0
01.03.2024;18:05;10.46;10.46;10.46;10.46;10.46;76740;0
02.03.2024;09:05;10.60;10.60;10.60;10.60;10.60;420396;0
02.03.2024;10:05;10.60;10.75;10.45;10.67;10.60;6536816;0
02.03.2024;11:05;10.67;11.05;10.62;10.93;10.83;5751510;0
02.03.2024;12:05;10.94;11.01;10.83;10.95;10.92;1185161;0
08.03.2024;09:05;10.56;10.56;10.56;10.56;10.56;511284;0
08.03.2024;10:05;10.63;10.84;10.47;10.58;10.66;11786610;0
08.03.2024;11:05;10.58;10.68;10.53;10.56;10.60;4086960;0
08.03.2024;12:05;10.55;10.64;10.53;10.63;10.58;5825508;0
08.03.2024;13:05;10.60;10.62;10.43;10.45;10.52;3602469;0
08.03.2024;14:05;10.45;10.53;10.41;10.50;10.47;3501776;0
08.03.2024;15:05;10.50;10.51;10.43;10.47;10.47;3030788;0
08.03.2024;16:05;10.47;10.49;10.32;10.47;10.41;2920994;0
08.03.2024;17:05;10.45;10.47;10.34;10.42;10.41;5403925;0
08.03.2024;18:05;10.38;10.38;10.38;10.38;10.38;490974;0
09.03.2024;09:05;10.38;10.38;10.38;10.38;10.38;27611;0
09.03.2024;10:05;10.38;10.38;9.88;9.90;10.13;7885762;0
09.03.2024;11:05;9.90;9.92;9.76;9.77;9.84;6092500;0
09.03.2024;12:05;9.81;9.86;9.70;9.83;9.78;4090334;0
09.03.2024;13:05;9.85;9.87;9.80;9.87;9.83;2444068;0
09.03.2024;14:05;9.87;9.92;9.79;9.90;9.85;3010242;0
09.03.2024;15:05;9.90;9.92;9.82;9.82;9.87;1179949;0
09.03.2024;16:05;9.82;9.86;9.76;9.81;9.81;1098041;0
09.03.2024;17:05;9.81;9.87;9.74;9.81;9.81;2573071;0
09.03.2024;18:05;9.81;9.81;9.81;9.81;9.81;349664;0
10.03.2024;09:05;9.81;9.81;9.81;9.81;9.81;79421;0
10.03.2024;10:05;9.82;10.02;9.82;9.90;9.92;4441784;0
10.03.2024;11:05;9.95;10.07;9.93;10.02;10.00;2093547;0
10.03.2024;12:05;10.01;10.09;9.95;9.97;10.02;1471311;0
10.03.2024;13:05;10.00;10.00;9.87;9.87;9.94;1529876;0
10.03.2024;14:05;9.88;9.91;9.83;9.90;9.87;1404475;0
10.03.2024;15:05;9.86;9.89;9.77;9.82;9.83;1794515;0
10.03.2024;16:05;9.82;9.86;9.78;9.78;9.82;975021;0
10.03.2024;17:05;9.81;9.88;9.79;9.84;9.83;1187808;0
10.03.2024;18:05;9.86;9.86;9.86;9.86;9.86;190197;0
11.03.2024;09:05;9.86;9.86;9.86;9.86;9.86;211900;0
11.03.2024;10:05;9.89;9.99;9.81;9.86;9.90;3302143;0
11.03.2024;11:05;9.86;9.95;9.85;9.95;9.90;1010272;0
11.03.2024;12:05;9.95;10.14;9.95;9.99;10.05;2262433;0
11.03.2024;13:05;9.97;9.99;9.90;9.95;9.95;611959;0
11.03.2024;14:05;9.95;9.95;9.90;9.91;9.93;443049;0
11.03.2024;15:05;9.93;9.94;9.87;9.90;9.91;692275;0
11.03.2024;16:05;9.92;9.93;9.89;9.93;9.91;1049404;0
11.03.2024;17:05;9.93;10.00;9.89;9.94;9.95;1161968;0
11.03.2024;18:05;9.94;9.94;9.94;9.94;9.94;2387;0
12.03.2024;09:05;9.79;9.79;9.79;9.79;9.79;36205;0
12.03.2024;10:05;9.78;10.08;9.78;9.98;9.93;4426465;0
12.03.2024;11:05;9.98;9.98;9.86;9.94;9.92;438330;0
12.03.2024;12:05;9.94;9.95;9.87;9.93;9.91;691699;0
12.03.2024;13:05;9.93;9.98;9.84;9.95;9.91;890186;0
12.03.2024;14:05;9.95;10.03;9.93;9.99;9.98;977005;0
12.03.2024;15:05;9.99;10.10;9.97;10.06;10.04;1283194;0
12.03.2024;16:05;10.08;10.11;10.01;10.08;10.06;3068667;0
12.03.2024;17:05;10.08;10.28;10.00;10.05;10.14;2324817;0
12.03.2024;18:05;10.15;10.15;10.15;10.15;10.15;174900;0
15.03.2024;09:05;10.14;10.14;10.14;10.14;10.14;73211;0
15.03.2024;10:05;10.14;10.45;10.02;10.42;10.24;7469064;0
15.03.2024;11:05;10.42;10.45;10.29;10.44;10.37;2332749;0
15.03.2024;12:05;10.44;10.57;10.38;10.55;10.48;5192147;0
15.03.2024;13:05;10.52;10.62;10.47;10.47;10.54;2921325;0
15.03.2024;14:05;10.47;10.50;10.40;10.49;10.45;1235327;0
15.03.2024;15:05;10.48;10.51;10.45;10.47;10.48;896321;0
15.03.2024;16:05;10.47;10.49;10.36;10.45;10.43;1400629;0
15.03.2024;17:05;10.39;10.42;10.23;10.37;10.32;4504430;0
15.03.2024;18:05;10.45;10.45;10.45;10.45;10.45;210780;0
17.03.2024;09:05;10.48;10.48;10.48;10.48;10.48;94485;0
17.03.2024;10:05;10.48;10.70;10.45;10.50;10.57;6018646;0
17.03.2024;11:05;10.50;10.50;10.39;10.44;10.45;3596452;0
17.03.2024;12:05;10.44;10.50;10.43;10.44;10.47;1438404;0
17.03.2024;13:05;10.43;10.44;10.34;10.35;10.39;1704604;0
17.03.2024;14:05;10.36;10.41;10.28;10.28;10.34;1614353;0
17.03.2024;15:05;10.28;10.31;10.26;10.31;10.28;2390286;0
17.03.2024;16:05;10.31;10.35;10.28;10.30;10.32;400187;0
17.03.2024;17:05;10.34;10.38;10.27;10.34;10.32;2141933;0
17.03.2024;18:05;10.35;10.35;10.35;10.35;10.35;36846;0
18.03.2024;09:05;10.43;10.43;10.43;10.43;10.43;11676;0
18.03.2024;10:05;10.43;10.47;10.30;10.34;10.39;2208759;0
18.03.2024;11:05;10.34;10.42;10.24;10.35;10.33;2679237;0
18.03.2024;12:05;10.35;10.41;10.35;10.39;10.38;959718;0
18.03.2024;13:05;10.39;10.50;10.38;10.48;10.44;2603180;0
18.03.2024;14:05;10.48;10.62;10.47;10.59;10.54;5659326;0
18.03.2024;15:05;10.59;10.61;10.47;10.51;10.54;2162216;0
18.03.2024;16:05;10.49;10.54;10.41;10.41;10.48;1877598;0
18.03.2024;17:05;10.41;10.50;10.40;10.47;10.45;1062006;0
18.03.2024;18:05;10.47;10.47;10.47;10.47;10.47;12355;0
19.03.2024;09:05;10.49;10.49;10.49;10.49;10.49;87025;0
19.03.2024;10:05;10.49;10.78;10.48;10.73;10.63;15505520;0
19.03.2024;11:05;10.73;10.78;10.70;10.73;10.74;7227906;0
19.03.2024;12:05;10.72;10.79;10.60;10.67;10.70;10886140;0
19.03.2024;13:05;10.67;10.73;10.55;10.60;10.64;8636016;0
19.03.2024;14:05;10.60;10.62;10.54;10.62;10.58;1912087;0
19.03.2024;15:05;10.58;10.65;10.57;10.61;10.61;2594398;0
19.03.2024;16:05;10.61;10.72;10.61;10.62;10.66;5755970;0
19.03.2024;17:05;10.61;10.70;10.55;10.63;10.62;6409035;0
19.03.2024;18:05;10.63;10.63;10.63;10.63;10.63;79263;0
22.03.2024;09:05;11.68;11.68;11.68;11.68;11.68;1101662;0
22.03.2024;10:05;11.68;11.68;11.68;11.68;11.68;7141404;0
22.03.2024;11:05;11.68;11.68;11.68;11.68;11.68;1060764;0
22.03.2024;12:05;11.68;11.68;11.68;11.68;11.68;270625;0
22.03.2024;13:05;11.68;11.68;11.68;11.68;11.68;322740;0
22.03.2024;14:05;11.68;11.68;11.68;11.68;11.68;166628;0
22.03.2024;15:05;11.68;11.68;11.68;11.68;11.68;80627;0
22.03.2024;16:05;11.68;11.68;11.68;11.68;11.68;81561;0
22.03.2024;17:05;11.68;11.68;11.68;11.68;11.68;1045574;0
22.03.2024;18:05;11.68;11.68;11.68;11.68;11.68;1169;0
23.03.2024;09:05;12.85;12.85;12.85;12.85;12.85;2460261;0
23.03.2024;10:05;12.85;12.85;12.85;12.85;12.85;4695647;0
23.03.2024;11:05;12.85;12.85;12.85;12.85;12.85;468511;0
23.03.2024;12:05;12.85;12.85;12.85;12.85;12.85;341553;0
23.03.2024;13:05;12.85;12.85;12.85;12.85;12.85;317652;0
23.03.2024;14:05;12.85;12.85;12.85;12.85;12.85;278588;0
23.03.2024;15:05;12.85;12.85;12.85;12.85;12.85;122332;0
23.03.2024;16:05;12.85;12.85;12.85;12.85;12.85;422508;0
23.03.2024;17:05;12.85;12.85;12.85;12.85;12.85;507575;0
23.03.2024;18:05;12.85;12.85;12.85;12.85;12.85;23130;0
27.03.2024;09:05;14.13;14.13;14.13;14.13;14.13;34676568;0
27.03.2024;10:05;14.13;14.13;13.43;14.13;13.78;99806752;0
27.03.2024;11:05;14.13;14.13;14.13;14.13;14.13;722635;0
27.03.2024;12:05;14.13;14.13;14.13;14.13;14.13;1072370;0
27.03.2024;13:05;14.13;14.13;14.13;14.13;14.13;841568;0
27.03.2024;14:05;14.13;14.13;14.13;14.13;14.13;431943;0
27.03.2024;15:05;14.13;14.13;14.13;14.13;14.13;284195;0
27.03.2024;16:05;14.13;14.13;14.13;14.13;14.13;191253;0
27.03.2024;17:05;14.13;14.13;14.13;14.13;14.13;431095;0
28.03.2024;09:05;15.23;15.23;15.23;15.23;15.23;23620650;0
28.03.2024;10:05;15.21;15.54;14.51;15.29;15.03;326227584;0
28.03.2024;11:05;15.30;15.35;14.91;15.05;15.13;63269288;0
28.03.2024;12:05;15.01;15.24;14.63;14.77;14.93;37174528;0
28.03.2024;13:05;14.78;14.90;14.56;14.69;14.73;37270808;0
28.03.2024;14:05;14.69;15.49;14.54;15.29;15.02;51738048;0
28.03.2024;15:05;15.28;15.35;15.10;15.35;15.23;22457340;0
28.03.2024;16:05;15.35;15.54;15.29;15.54;15.41;73980280;0
28.03.2024;17:05;15.54;15.54;15.54;15.54;15.54;14051490;0
28.03.2024;18:05;15.54;15.54;15.54;15.54;15.54;91671;0
31.03.2024;09:05;16.24;16.24;16.24;16.24;16.24;7326366;0
31.03.2024;10:05;16.24;17.09;15.71;17.09;16.40;165590496;0
31.03.2024;11:05;17.09;17.09;17.09;17.09;17.09;3696368;0
31.03.2024;12:05;17.09;17.09;17.09;17.09;17.09;993126;0
31.03.2024;13:05;17.09;17.09;17.09;17.09;17.09;1735748;0
31.03.2024;14:05;17.09;17.09;17.09;17.09;17.09;1565899;0
31.03.2024;15:05;17.09;17.09;17.09;17.09;17.09;820200;0
31.03.2024;16:05;17.09;17.09;17.09;17.09;17.09;2933924;0
31.03.2024;17:05;17.09;17.09;17.09;17.09;17.09;1556330;0
31.03.2024;18:05;17.09;17.09;17.09;17.09;17.09;19480;0
01.04.2024;09:05;18.01;18.01;18.01;18.01;18.01;15500880;0
01.04.2024;10:05;18.01;18.79;17.54;18.04;18.16;247436608;0
01.04.2024;11:05;18.04;18.19;17.65;17.91;17.92;60204400;0
01.04.2024;12:05;17.89;18.58;17.84;18.41;18.21;53468240;0
01.04.2024;13:05;18.41;18.60;18.24;18.36;18.42;33575200;0
01.04.2024;14:05;18.38;18.68;18.33;18.63;18.50;32343090;0
01.04.2024;15:05;18.61;18.79;17.78;17.87;18.28;174826496;0
01.04.2024;16:05;17.87;18.13;16.98;17.58;17.56;95044720;0
01.04.2024;17:05;17.51;17.74;16.25;17.09;17.00;87144488;0
01.04.2024;18:05;17.09;17.09;17.09;17.09;17.09;5231169;0
02.04.2024;09:05;17.03;17.03;17.03;17.03;17.03;1075299;0
02.04.2024;10:05;17.02;17.09;16.19;17.01;16.64;128718496;0
02.04.2024;11:05;16.93;17.79;16.93;17.40;17.36;103249400;0
02.04.2024;12:05;17.39;17.57;16.69;17.02;17.13;23854310;0
02.04.2024;13:05;17.06;17.06;16.56;16.79;16.81;39338420;0
02.04.2024;14:05;16.79;16.83;16.50;16.57;16.67;23832840;0
02.04.2024;15:05;16.56;16.69;16.41;16.43;16.55;16189030;0
02.04.2024;16:05;16.43;16.49;16.18;16.18;16.33;17841310;0
