Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
23.08.2011;00:00;0.22;0.22;0.22;0.22;0.22;13682;0
05.09.2011;00:00;0.22;0.22;0.22;0.22;0.22;59;0
07.09.2011;00:00;0.22;0.22;0.16;0.22;0.19;150;0
10.09.2011;00:00;0.27;0.33;0.27;0.33;0.30;31691;0
11.09.2011;00:00;0.33;0.46;0.33;0.46;0.39;22229;0
12.09.2011;00:00;0.57;0.72;0.57;0.72;0.64;102192;0
13.09.2011;00:00;0.89;1.12;0.89;1.12;1.01;65523;0
15.09.2011;00:00;1.40;1.75;1.40;1.75;1.58;327234;0
18.09.2011;00:00;1.75;1.75;1.20;1.20;1.47;85926;0
19.09.2011;00:00;0.90;0.90;0.68;0.68;0.79;55922;0
20.09.2011;00:00;0.51;0.52;0.50;0.52;0.51;61851;0
21.09.2011;00:00;0.57;0.79;0.57;0.79;0.68;112938;0
22.09.2011;00:00;0.88;0.96;0.88;0.96;0.92;176799;0
25.09.2011;00:00;1.05;1.15;1.05;1.15;1.10;157685;0
26.09.2011;00:00;1.11;1.11;0.96;0.96;1.04;37382;0
27.09.2011;00:00;0.87;0.87;0.78;0.78;0.82;34748;0
28.09.2011;00:00;0.70;0.70;0.63;0.63;0.67;114594;0
29.09.2011;00:00;0.69;0.76;0.69;0.76;0.73;196784;0
02.10.2011;00:00;0.69;0.69;0.62;0.67;0.65;96753;0
03.10.2011;00:00;0.69;0.69;0.67;0.67;0.68;112462;0
04.10.2011;00:00;0.62;0.63;0.62;0.62;0.63;131120;0
05.10.2011;00:00;0.62;0.62;0.61;0.61;0.61;23891;0
06.10.2011;00:00;0.60;0.60;0.58;0.58;0.59;48256;0
09.10.2011;00:00;0.57;0.57;0.52;0.52;0.54;81766;0
10.10.2011;00:00;0.50;0.55;0.50;0.55;0.52;96739;0
11.10.2011;00:00;0.54;0.54;0.51;0.51;0.53;104094;0
12.10.2011;00:00;0.50;0.50;0.49;0.50;0.50;48550;0
13.10.2011;00:00;0.48;0.48;0.47;0.47;0.47;56760;0
18.10.2011;00:00;0.44;0.43;0.43;0.43;0.43;32469;0
19.10.2011;00:00;0.43;0.43;0.43;0.43;0.43;15776;0
20.10.2011;00:00;0.43;0.43;0.43;0.43;0.43;11681;0
21.10.2011;00:00;0.44;0.45;0.45;0.45;0.45;24966;0
22.10.2011;00:00;0.45;0.45;0.45;0.45;0.45;22788;0
25.10.2011;00:00;0.40;0.40;0.40;0.40;0.40;35186;0
26.10.2011;00:00;0.40;0.40;0.40;0.40;0.40;9396;0
27.10.2011;00:00;0.40;0.40;0.35;0.35;0.37;35353;0
28.10.2011;00:00;0.35;0.40;0.35;0.40;0.37;57058;0
29.10.2011;00:00;0.42;0.42;0.42;0.42;0.42;61858;0
01.11.2011;00:00;0.42;0.42;0.37;0.37;0.39;79134;0
02.11.2011;00:00;0.37;0.39;0.37;0.39;0.38;19248;0
03.11.2011;00:00;0.40;0.40;0.39;0.39;0.40;36447;0
04.11.2011;00:00;0.39;0.40;0.39;0.40;0.40;27579;0
05.11.2011;00:00;0.36;0.37;0.36;0.37;0.37;26714;0
08.11.2011;00:00;0.37;0.37;0.37;0.37;0.37;31475;0
09.11.2011;00:00;0.37;0.37;0.37;0.37;0.37;10752;0
10.11.2011;00:00;0.37;0.37;0.31;0.33;0.34;18719;0
11.11.2011;00:00;0.33;0.35;0.33;0.35;0.34;13355;0
12.11.2011;00:00;0.35;0.36;0.35;0.36;0.36;13719;0
15.11.2011;00:00;0.37;0.39;0.37;0.37;0.38;12020;0
16.11.2011;00:00;0.35;0.35;0.34;0.35;0.35;13589;0
18.11.2011;00:00;0.35;0.35;0.35;0.35;0.35;14020;0
19.11.2011;00:00;0.36;0.36;0.34;0.34;0.35;11585;0
20.11.2011;00:00;0.34;0.34;0.32;0.32;0.33;24230;0
23.11.2011;00:00;0.32;0.33;0.32;0.33;0.32;32692;0
24.11.2011;00:00;0.33;0.33;0.33;0.33;0.33;25467;0
25.11.2011;00:00;0.33;0.33;0.33;0.33;0.33;32950;0
26.11.2011;00:00;0.33;0.33;0.33;0.33;0.33;11470;0
27.11.2011;00:00;0.32;0.32;0.32;0.32;0.32;6042;0
30.11.2011;00:00;0.29;0.29;0.29;0.29;0.29;41856;0
01.12.2011;00:00;0.29;0.30;0.29;0.30;0.30;22240;0
02.12.2011;00:00;0.30;0.30;0.29;0.30;0.30;9030;0
03.12.2011;00:00;0.31;0.32;0.31;0.32;0.31;18301;0
04.12.2011;00:00;0.33;0.33;0.32;0.32;0.32;8793;0
09.12.2011;00:00;0.31;0.31;0.29;0.31;0.30;3664;0
10.12.2011;00:00;0.31;0.31;0.31;0.31;0.31;34682;0
11.12.2011;00:00;0.29;0.31;0.29;0.31;0.30;18108;0
14.12.2011;00:00;0.30;0.30;0.30;0.30;0.30;8360;0
15.12.2011;00:00;0.27;0.30;0.27;0.27;0.29;30792;0
16.12.2011;00:00;0.30;0.30;0.27;0.27;0.29;85673;0
18.12.2011;00:00;0.29;0.29;0.29;0.29;0.29;21555;0
22.12.2011;00:00;0.29;0.29;0.28;0.28;0.29;23716;0
23.12.2011;00:00;0.28;0.28;0.28;0.28;0.28;10629;0
24.12.2011;00:00;0.28;0.28;0.28;0.28;0.28;58564;0
25.12.2011;00:00;0.31;0.31;0.31;0.31;0.31;64218;0
26.12.2011;00:00;0.31;0.31;0.29;0.29;0.30;30336;0
29.12.2011;00:00;0.30;0.30;0.30;0.30;0.30;37221;0
30.12.2011;00:00;0.30;0.30;0.30;0.30;0.30;42680;0
31.12.2011;00:00;0.29;0.29;0.29;0.29;0.29;14212;0
01.01.2012;00:00;0.29;0.29;0.27;0.27;0.28;41665;0
02.01.2012;00:00;0.28;0.28;0.28;0.28;0.28;20756;0
05.01.2012;00:00;0.28;0.28;0.28;0.28;0.28;8565;0
06.01.2012;00:00;0.27;0.27;0.27;0.27;0.27;7633;0
07.01.2012;00:00;0.27;0.27;0.27;0.27;0.27;10182;0
08.01.2012;00:00;0.28;0.28;0.27;0.27;0.28;12263;0
09.01.2012;00:00;0.27;0.27;0.27;0.27;0.27;9587;0
12.01.2012;00:00;0.27;0.27;0.27;0.27;0.27;11810;0
13.01.2012;00:00;0.27;0.27;0.27;0.27;0.27;2154;0
14.01.2012;00:00;0.28;0.28;0.27;0.27;0.28;12600;0
15.01.2012;00:00;0.27;0.27;0.27;0.27;0.27;5571;0
16.01.2012;00:00;0.26;0.26;0.24;0.24;0.25;21110;0
21.01.2012;00:00;0.24;0.24;0.24;0.24;0.24;8781;0
22.01.2012;00:00;0.24;0.24;0.24;0.24;0.24;9642;0
23.01.2012;00:00;0.25;0.25;0.22;0.22;0.23;8139;0
24.01.2012;00:00;0.22;0.22;0.22;0.22;0.22;43053;0
25.01.2012;00:00;0.22;0.22;0.22;0.22;0.22;14794;0
28.01.2012;00:00;0.22;0.22;0.20;0.21;0.21;18070;0
29.01.2012;00:00;0.20;0.21;0.20;0.21;0.21;3928;0
30.01.2012;00:00;0.21;0.21;0.20;0.20;0.20;9069;0
31.01.2012;00:00;0.21;0.21;0.20;0.20;0.20;14578;0
01.02.2012;00:00;0.20;0.20;0.20;0.20;0.20;15224;0
04.02.2012;00:00;0.20;0.20;0.20;0.20;0.20;8688;0
05.02.2012;00:00;0.20;0.20;0.20;0.20;0.20;7630;0
06.02.2012;00:00;0.20;0.20;0.20;0.20;0.20;5852;0
07.02.2012;00:00;0.18;0.19;0.18;0.19;0.19;6363;0
08.02.2012;00:00;0.19;0.19;0.19;0.19;0.19;3543;0
11.02.2012;00:00;0.19;0.19;0.19;0.19;0.19;4342;0
12.02.2012;00:00;0.20;0.20;0.18;0.19;0.19;3379;0
13.02.2012;00:00;0.19;0.19;0.19;0.19;0.19;80;0
19.02.2012;00:00;0.19;0.19;0.19;0.19;0.19;9511;0
20.02.2012;00:00;0.19;0.19;0.19;0.19;0.19;7043;0
22.02.2012;00:00;0.19;0.20;0.19;0.20;0.19;6348;0
23.02.2012;00:00;0.20;0.20;0.19;0.19;0.19;6930;0
26.02.2012;00:00;0.19;0.19;0.18;0.19;0.19;4713;0
27.02.2012;00:00;0.19;0.19;0.17;0.19;0.18;4593;0
28.02.2012;00:00;0.19;0.19;0.18;0.19;0.19;5670;0
29.02.2012;00:00;0.17;0.18;0.17;0.18;0.18;13216;0
01.03.2012;00:00;0.18;0.18;0.18;0.18;0.18;9552;0
04.03.2012;00:00;0.18;0.18;0.18;0.18;0.18;6340;0
05.03.2012;00:00;0.19;0.19;0.18;0.18;0.19;16937;0
06.03.2012;00:00;0.18;0.18;0.18;0.18;0.18;2980;0
07.03.2012;00:00;0.17;0.18;0.17;0.18;0.18;3960;0
08.03.2012;00:00;0.18;0.18;0.18;0.18;0.18;4933;0
11.03.2012;00:00;0.18;0.18;0.18;0.18;0.18;1677;0
12.03.2012;00:00;0.18;0.18;0.17;0.17;0.18;9945;0
13.03.2012;00:00;0.18;0.18;0.16;0.16;0.17;3976;0
14.03.2012;00:00;0.16;0.17;0.16;0.17;0.16;10505;0
15.03.2012;00:00;0.17;0.17;0.16;0.16;0.17;11409;0
