Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;2.03;2.03;2.03;2.03;2.03;916793;0
24.08.2025;11:30;2.03;2.04;2.03;2.03;2.03;1098283;0
24.08.2025;11:45;2.03;2.04;2.03;2.03;2.03;680781;0
24.08.2025;12:00;2.03;2.03;2.02;2.02;2.03;1083631;0
24.08.2025;12:15;2.02;2.02;2.02;2.02;2.02;1220238;0
24.08.2025;12:30;2.02;2.03;2.02;2.02;2.02;1030934;0
24.08.2025;12:45;2.02;2.03;2.02;2.02;2.02;241810;0
24.08.2025;13:00;2.02;2.03;2.02;2.02;2.02;1066271;0
24.08.2025;13:15;2.02;2.02;2.01;2.01;2.02;341383;0
24.08.2025;13:30;2.01;2.01;2.01;2.01;2.01;795878;0
24.08.2025;13:45;2.01;2.03;2.01;2.03;2.02;434825;0
24.08.2025;14:00;2.02;2.02;2.00;2.01;2.01;4498660;0
24.08.2025;14:15;2.01;2.01;2.00;2.00;2.00;1810883;0
24.08.2025;14:30;2.00;2.01;2.00;2.01;2.00;630967;0
24.08.2025;14:45;2.01;2.01;2.00;2.00;2.00;1768465;0
24.08.2025;15:00;2.00;2.00;1.99;2.00;2.00;1278941;0
24.08.2025;15:15;2.00;2.00;2.00;2.00;2.00;526909;0
24.08.2025;15:30;2.00;2.01;2.00;2.01;2.00;968535;0
24.08.2025;15:45;2.01;2.01;2.00;2.01;2.01;195497;0
24.08.2025;16:00;2.01;2.01;2.00;2.01;2.01;330270;0
24.08.2025;16:15;2.01;2.01;2.00;2.01;2.00;254517;0
24.08.2025;16:30;2.01;2.01;2.00;2.00;2.00;361773;0
24.08.2025;16:45;2.00;2.04;1.99;2.03;2.01;3652797;0
24.08.2025;17:00;2.03;2.04;2.02;2.02;2.03;1202778;0
24.08.2025;17:15;2.02;2.02;2.01;2.01;2.02;891876;0
24.08.2025;17:30;2.01;2.01;2.00;2.00;2.00;682146;0
24.08.2025;17:45;2.01;2.01;2.00;2.01;2.00;1704454;0
24.08.2025;18:00;2.00;2.01;1.99;1.99;2.00;701820;0
27.08.2025;10:00;1.97;1.97;1.94;1.96;1.96;3854235;0
27.08.2025;10:15;1.96;1.97;1.95;1.97;1.96;1598747;0
27.08.2025;10:30;1.97;1.98;1.96;1.97;1.97;982474;0
27.08.2025;10:45;1.97;1.97;1.96;1.97;1.96;704976;0
27.08.2025;11:00;1.96;1.97;1.95;1.96;1.96;852112;0
27.08.2025;11:15;1.96;1.96;1.95;1.96;1.96;351035;0
27.08.2025;11:30;1.95;1.96;1.95;1.95;1.96;312674;0
27.08.2025;11:45;1.95;1.96;1.95;1.95;1.95;774652;0
27.08.2025;12:00;1.96;1.96;1.95;1.95;1.95;456218;0
27.08.2025;12:15;1.95;1.96;1.94;1.96;1.95;818023;0
27.08.2025;12:30;1.95;1.96;1.95;1.96;1.95;818876;0
27.08.2025;12:45;1.96;1.97;1.96;1.96;1.96;498172;0
27.08.2025;13:00;1.96;1.96;1.96;1.96;1.96;262034;0
27.08.2025;13:15;1.96;1.96;1.95;1.95;1.95;610919;0
27.08.2025;13:30;1.95;1.96;1.95;1.95;1.95;742250;0
27.08.2025;13:45;1.95;1.96;1.95;1.96;1.95;542584;0
27.08.2025;14:00;1.96;1.96;1.96;1.96;1.96;289707;0
27.08.2025;14:15;1.96;1.96;1.95;1.95;1.95;697070;0
27.08.2025;14:30;1.95;1.95;1.94;1.94;1.95;409620;0
27.08.2025;14:45;1.95;1.95;1.94;1.95;1.94;347539;0
27.08.2025;15:00;1.95;1.95;1.94;1.95;1.95;858089;0
27.08.2025;15:15;1.95;1.96;1.95;1.95;1.96;1097399;0
27.08.2025;15:30;1.95;1.95;1.94;1.95;1.95;212998;0
27.08.2025;15:45;1.94;1.94;1.93;1.93;1.94;1829047;0
27.08.2025;16:00;1.94;1.95;1.94;1.94;1.94;490888;0
27.08.2025;16:15;1.94;1.95;1.94;1.95;1.95;691822;0
27.08.2025;16:30;1.95;1.95;1.94;1.95;1.95;335911;0
27.08.2025;16:45;1.95;1.96;1.95;1.95;1.95;470956;0
27.08.2025;17:00;1.95;1.96;1.95;1.95;1.95;145530;0
27.08.2025;17:15;1.96;1.97;1.95;1.97;1.96;2528163;0
27.08.2025;17:30;1.96;1.96;1.95;1.95;1.95;839176;0
27.08.2025;17:45;1.95;1.95;1.94;1.94;1.95;693733;0
27.08.2025;18:00;1.94;1.95;1.94;1.95;1.94;1254733;0
28.08.2025;10:00;1.95;1.98;1.95;1.96;1.96;1842451;0
28.08.2025;10:15;1.96;1.96;1.94;1.95;1.95;1439874;0
28.08.2025;10:30;1.95;1.96;1.95;1.96;1.95;394899;0
28.08.2025;10:45;1.96;1.96;1.94;1.95;1.95;845476;0
28.08.2025;11:00;1.95;1.95;1.95;1.95;1.95;362759;0
28.08.2025;11:15;1.95;1.96;1.94;1.95;1.95;293844;0
28.08.2025;11:30;1.94;1.95;1.94;1.95;1.95;246753;0
28.08.2025;11:45;1.95;1.95;1.94;1.94;1.95;94469;0
28.08.2025;12:00;1.95;1.95;1.94;1.94;1.94;465818;0
28.08.2025;12:15;1.94;1.95;1.94;1.95;1.94;518073;0
28.08.2025;12:30;1.95;1.95;1.95;1.95;1.95;122791;0
28.08.2025;12:45;1.94;1.95;1.94;1.95;1.95;213756;0
28.08.2025;13:00;1.95;1.95;1.94;1.95;1.95;450810;0
28.08.2025;13:15;1.95;1.96;1.95;1.95;1.95;465479;0
28.08.2025;13:30;1.95;1.96;1.95;1.95;1.95;252934;0
28.08.2025;13:45;1.95;1.95;1.94;1.95;1.95;122384;0
28.08.2025;14:00;1.95;1.95;1.94;1.95;1.95;583203;0
28.08.2025;14:15;1.95;1.95;1.94;1.95;1.95;505579;0
28.08.2025;14:30;1.95;1.98;1.94;1.97;1.96;2781432;0
28.08.2025;14:45;1.97;2.01;1.97;1.99;1.99;6692497;0
28.08.2025;15:00;1.99;2.00;1.98;2.00;1.99;1587245;0
28.08.2025;15:15;1.99;1.99;1.96;1.96;1.98;6167678;0
28.08.2025;15:30;1.96;1.97;1.96;1.96;1.96;1354454;0
28.08.2025;15:45;1.96;1.96;1.95;1.95;1.96;580387;0
28.08.2025;16:00;1.96;1.96;1.95;1.95;1.95;1120884;0
28.08.2025;16:15;1.95;1.95;1.94;1.94;1.94;830802;0
28.08.2025;16:30;1.94;1.94;1.94;1.94;1.94;1771484;0
28.08.2025;16:45;1.94;1.94;1.92;1.94;1.93;1700368;0
28.08.2025;17:00;1.94;1.95;1.94;1.94;1.94;448662;0
28.08.2025;17:15;1.94;1.95;1.94;1.94;1.94;297373;0
28.08.2025;17:30;1.94;1.95;1.94;1.94;1.94;1502332;0
28.08.2025;17:45;1.94;1.94;1.93;1.93;1.94;1700095;0
28.08.2025;18:00;1.93;1.93;1.93;1.93;1.93;1043845;0
29.08.2025;10:00;1.94;1.95;1.94;1.95;1.95;765037;0
29.08.2025;10:15;1.95;1.95;1.94;1.94;1.94;743106;0
29.08.2025;10:30;1.94;1.96;1.94;1.95;1.95;1530576;0
29.08.2025;10:45;1.95;1.96;1.95;1.95;1.95;346672;0
29.08.2025;11:00;1.95;1.95;1.94;1.94;1.94;1282140;0
29.08.2025;11:15;1.94;1.95;1.94;1.94;1.94;552667;0
29.08.2025;11:30;1.94;1.94;1.92;1.93;1.93;1476189;0
29.08.2025;11:45;1.93;1.94;1.93;1.93;1.93;680669;0
29.08.2025;12:00;1.93;1.94;1.93;1.93;1.94;963653;0
29.08.2025;12:15;1.93;1.94;1.93;1.94;1.93;682232;0
29.08.2025;12:30;1.94;1.95;1.94;1.95;1.94;195120;0
29.08.2025;12:45;1.94;1.94;1.94;1.94;1.94;32676;0
29.08.2025;13:00;1.94;1.94;1.93;1.93;1.93;323804;0
29.08.2025;13:15;1.94;1.94;1.93;1.93;1.94;222424;0
29.08.2025;13:30;1.94;1.94;1.93;1.94;1.94;72128;0
29.08.2025;13:45;1.94;1.94;1.93;1.93;1.93;61664;0
29.08.2025;14:00;1.93;1.94;1.93;1.94;1.94;115535;0
29.08.2025;14:15;1.94;1.95;1.94;1.95;1.94;831204;0
29.08.2025;14:30;1.95;1.96;1.94;1.94;1.95;375456;0
29.08.2025;14:45;1.94;1.95;1.94;1.94;1.94;492433;0
29.08.2025;15:00;1.95;1.95;1.94;1.94;1.94;154142;0
29.08.2025;15:15;1.94;1.95;1.94;1.94;1.94;136582;0
29.08.2025;15:30;1.94;1.95;1.94;1.94;1.94;301845;0
29.08.2025;15:45;1.94;1.94;1.94;1.94;1.94;83056;0
29.08.2025;16:00;1.94;1.96;1.94;1.96;1.95;944285;0
29.08.2025;16:15;1.95;1.96;1.95;1.96;1.96;416061;0
29.08.2025;16:30;1.96;1.96;1.95;1.95;1.96;896134;0
29.08.2025;16:45;1.95;1.96;1.94;1.95;1.95;334524;0
29.08.2025;17:00;1.95;1.96;1.94;1.95;1.95;1738935;0
29.08.2025;17:15;1.95;1.95;1.94;1.94;1.94;1003994;0
29.08.2025;17:30;1.94;1.94;1.93;1.94;1.94;635520;0
29.08.2025;17:45;1.94;1.94;1.93;1.94;1.94;586663;0
29.08.2025;18:00;1.94;1.94;1.93;1.93;1.93;1377545;0
30.08.2025;10:00;1.94;1.98;1.94;1.97;1.96;2612585;0
30.08.2025;10:15;1.97;1.97;1.96;1.97;1.97;988716;0
30.08.2025;10:30;1.97;1.97;1.96;1.97;1.96;685832;0
30.08.2025;10:45;1.97;1.98;1.96;1.98;1.97;954615;0
30.08.2025;11:00;1.98;1.98;1.97;1.97;1.98;499002;0
30.08.2025;11:15;1.97;1.98;1.97;1.97;1.97;422412;0
30.08.2025;11:30;1.97;1.97;1.96;1.97;1.97;721632;0
30.08.2025;11:45;1.97;1.98;1.97;1.98;1.97;1390449;0
30.08.2025;12:00;1.98;1.99;1.98;1.98;1.98;748830;0
30.08.2025;12:15;1.98;1.98;1.97;1.98;1.98;583507;0
30.08.2025;12:30;1.98;2.04;1.98;2.03;2.01;4628279;0
30.08.2025;12:45;2.03;2.07;2.02;2.05;2.04;8730664;0
30.08.2025;13:00;2.06;2.07;2.05;2.06;2.06;2263223;0
30.08.2025;13:15;2.06;2.09;2.05;2.08;2.07;6049550;0
30.08.2025;13:30;2.08;2.10;2.07;2.07;2.08;3495809;0
30.08.2025;13:45;2.07;2.07;2.05;2.07;2.06;4324495;0
30.08.2025;14:00;2.07;2.07;2.04;2.04;2.05;3257544;0
30.08.2025;14:15;2.04;2.05;2.04;2.05;2.04;1172697;0
30.08.2025;14:30;2.05;2.05;2.03;2.04;2.04;1272500;0
30.08.2025;14:45;2.04;2.05;2.03;2.04;2.04;1644623;0
30.08.2025;15:00;2.04;2.04;2.03;2.04;2.04;758105;0
30.08.2025;15:15;2.04;2.04;2.02;2.02;2.03;1959528;0
30.08.2025;15:30;2.02;2.04;2.02;2.03;2.03;2372350;0
30.08.2025;15:45;2.03;2.04;2.02;2.03;2.03;1225729;0
30.08.2025;16:00;2.03;2.03;2.02;2.03;2.03;869752;0
30.08.2025;16:15;2.03;2.04;2.03;2.03;2.03;572941;0
30.08.2025;16:30;2.03;2.05;2.03;2.05;2.04;1502964;0
30.08.2025;16:45;2.05;2.05;2.04;2.05;2.05;878953;0
30.08.2025;17:00;2.05;2.05;2.04;2.05;2.04;1168726;0
30.08.2025;17:15;2.05;2.05;2.02;2.02;2.03;2113373;0
30.08.2025;17:30;2.03;2.03;2.01;2.02;2.02;1580305;0
30.08.2025;17:45;2.02;2.02;2.01;2.02;2.01;2015540;0
30.08.2025;18:00;2.02;2.02;1.99;2.01;2.01;2528032;0
31.08.2025;10:00;2.00;2.06;1.99;1.99;2.02;3114463;0
31.08.2025;10:15;2.00;2.00;1.92;1.94;1.96;2318112;0
31.08.2025;10:30;1.94;1.97;1.93;1.94;1.95;2518237;0
31.08.2025;10:45;1.94;1.94;1.92;1.94;1.93;1759845;0
31.08.2025;11:00;1.94;1.96;1.93;1.95;1.95;1690050;0
31.08.2025;11:15;1.94;1.96;1.94;1.94;1.95;873872;0
31.08.2025;11:30;1.94;1.95;1.92;1.93;1.94;343136;0
31.08.2025;11:45;1.93;1.94;1.91;1.93;1.92;905191;0
31.08.2025;12:00;1.93;1.94;1.92;1.92;1.93;360467;0
31.08.2025;12:15;1.92;1.94;1.92;1.94;1.93;328626;0
31.08.2025;12:30;1.94;1.95;1.94;1.95;1.94;335899;0
31.08.2025;12:45;1.96;1.96;1.93;1.93;1.94;403197;0
31.08.2025;13:00;1.94;1.94;1.92;1.93;1.93;596671;0
31.08.2025;13:15;1.93;1.93;1.92;1.92;1.93;263178;0
