Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
23.09.2012;00:00;1.75;1.75;1.72;1.75;1.73;3293973;0
24.09.2012;00:00;1.75;1.75;1.72;1.72;1.73;1716864;0
27.09.2012;00:00;1.73;1.73;1.69;1.70;1.71;773115;0
28.09.2012;00:00;1.70;1.72;1.70;1.70;1.71;458041;0
29.09.2012;00:00;1.70;1.76;1.69;1.70;1.73;1786037;0
30.09.2012;00:00;1.70;1.72;1.69;1.70;1.70;364571;0
01.10.2012;00:00;1.70;1.72;1.69;1.71;1.70;244091;0
05.10.2012;00:00;1.70;1.70;1.52;1.65;1.61;517805;0
06.10.2012;00:00;0.00;1.69;1.65;1.67;1.67;362076;0
07.10.2012;00:00;1.67;1.68;1.66;1.67;1.67;238907;0
08.10.2012;00:00;0.00;1.67;1.61;1.63;1.64;285235;0
09.10.2012;00:00;1.63;1.66;1.62;1.65;1.64;61731;0
12.10.2012;00:00;1.63;1.66;1.63;1.65;1.65;27677;0
13.10.2012;00:00;1.52;1.66;1.52;1.64;1.59;64872;0
14.10.2012;00:00;0.00;1.65;1.61;1.65;1.63;62435;0
15.10.2012;00:00;0.00;1.66;1.65;1.65;1.65;22045;0
16.10.2012;00:00;0.00;1.65;1.64;1.65;1.65;78540;0
19.10.2012;00:00;1.64;1.64;1.62;1.63;1.63;24797;0
20.10.2012;00:00;0.00;1.64;1.62;1.63;1.63;62498;0
21.10.2012;00:00;0.00;1.65;1.61;1.64;1.63;41148;0
22.10.2012;00:00;1.62;1.65;1.55;1.60;1.60;116737;0
23.10.2012;00:00;0.00;1.64;1.59;1.63;1.62;68361;0
26.10.2012;00:00;0.00;1.62;1.58;1.61;1.60;10345;0
27.10.2012;00:00;1.49;1.62;1.49;1.61;1.55;6728;0
28.10.2012;00:00;0.00;1.65;1.61;1.65;1.63;65666;0
29.10.2012;00:00;0.00;1.66;1.62;1.66;1.64;120069;0
30.10.2012;00:00;0.00;1.66;1.63;1.63;1.65;58954;0
04.11.2012;00:00;0.00;1.66;1.63;1.63;1.65;18853;0
05.11.2012;00:00;1.64;1.64;1.63;1.64;1.63;13446;0
06.11.2012;00:00;1.64;1.65;1.62;1.62;1.63;21095;0
07.11.2012;00:00;0.00;1.64;1.63;1.63;1.63;9620;0
