Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
25.08.2012;00:00;3.81;3.92;3.79;3.84;3.86;207083200;0
28.08.2012;00:00;3.85;3.86;3.72;3.72;3.79;92357160;0
29.08.2012;00:00;3.72;3.76;3.72;3.74;3.74;14365420;0
02.09.2012;00:00;3.75;3.81;3.73;3.80;3.77;25616380;0
03.09.2012;00:00;3.80;3.82;3.76;3.77;3.79;23338740;0
06.09.2012;00:00;3.79;3.81;3.76;3.77;3.78;12933880;0
07.09.2012;00:00;3.77;3.80;3.73;3.74;3.76;13586640;0
08.09.2012;00:00;3.74;3.77;3.74;3.75;3.75;7688721;0
09.09.2012;00:00;3.76;3.82;3.75;3.81;3.78;24688310;0
10.09.2012;00:00;3.81;3.88;3.77;3.88;3.83;29847950;0
13.09.2012;00:00;3.86;3.90;3.85;3.87;3.88;22139750;0
14.09.2012;00:00;3.88;3.91;3.85;3.90;3.88;17247020;0
15.09.2012;00:00;3.91;3.98;3.88;3.98;3.93;25720190;0
16.09.2012;00:00;3.98;4.39;3.96;4.37;4.17;131336096;0
17.09.2012;00:00;4.38;4.85;4.30;4.54;4.58;261319808;0
20.09.2012;00:00;4.54;4.84;4.54;4.75;4.69;119188600;0
21.09.2012;00:00;4.77;5.09;4.77;4.98;4.93;206363600;0
22.09.2012;00:00;5.01;5.14;4.87;4.89;5.00;80870624;0
23.09.2012;00:00;4.85;4.85;4.61;4.71;4.73;68287264;0
24.09.2012;00:00;4.74;4.84;4.72;4.73;4.78;54652900;0
27.09.2012;00:00;4.79;4.81;4.69;4.70;4.75;32273930;0
28.09.2012;00:00;4.72;4.93;4.71;4.85;4.82;101075200;0
29.09.2012;00:00;4.84;4.91;4.53;4.54;4.72;80481552;0
30.09.2012;00:00;4.55;4.61;4.42;4.44;4.52;29443290;0
01.10.2012;00:00;4.46;4.48;4.24;4.29;4.36;33387970;0
05.10.2012;00:00;3.87;4.06;3.70;3.89;3.88;38237460;0
06.10.2012;00:00;3.91;4.31;3.91;4.26;4.11;46935340;0
07.10.2012;00:00;4.26;4.70;4.19;4.63;4.44;130411400;0
