Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;77.02;77.02;77.02;77.02;77.02;160045;0
27.02.2024;10:05;77.02;78.93;76.97;78.79;77.95;6170931;0
27.02.2024;11:05;78.79;79.48;78.49;79.18;78.99;2783293;0
27.02.2024;12:05;79.18;79.18;78.69;78.88;78.94;1212913;0
27.02.2024;13:05;78.79;79.13;78.49;78.88;78.81;1698578;0
27.02.2024;14:05;78.83;79.67;78.64;79.08;79.16;3105264;0
27.02.2024;15:05;79.48;79.53;78.93;79.28;79.23;1803301;0
27.02.2024;16:05;79.28;79.67;79.08;79.48;79.38;2914226;0
27.02.2024;17:05;79.48;80.32;79.38;80.22;79.85;3646341;0
27.02.2024;18:05;79.38;79.38;79.38;79.38;79.38;2054865;0
01.03.2024;09:05;80.07;80.07;80.07;80.07;80.07;145625;0
01.03.2024;10:05;79.77;81.34;78.79;80.51;80.07;12464630;0
01.03.2024;11:05;80.42;80.65;79.72;79.82;80.19;4677460;0
01.03.2024;12:05;79.82;81.10;79.62;80.90;80.36;12567750;0
01.03.2024;13:05;80.90;83.80;79.67;83.06;81.74;23989140;0
01.03.2024;14:05;82.83;83.21;81.74;82.04;82.48;6623983;0
01.03.2024;15:05;81.89;82.04;81.20;81.64;81.62;3689243;0
01.03.2024;16:05;81.64;83.21;81.49;83.11;82.35;12193740;0
01.03.2024;17:05;83.06;87.30;82.96;87.20;85.13;54160952;0
01.03.2024;18:05;87.25;87.25;87.25;87.25;87.25;705165;0
02.03.2024;09:05;87.45;87.45;87.45;87.45;87.45;790232;0
02.03.2024;10:05;87.45;89.51;84.49;85.19;87.00;14443110;0
02.03.2024;11:05;85.28;86.56;84.74;85.77;85.65;7402729;0
02.03.2024;12:05;85.82;86.86;85.42;86.16;86.14;3934529;0
08.03.2024;09:05;84.45;84.45;84.45;84.45;84.45;602581;0
08.03.2024;10:05;84.25;84.89;82.68;84.05;83.78;10773060;0
08.03.2024;11:05;84.05;85.62;84.05;84.64;84.84;4218887;0
08.03.2024;12:05;84.64;85.09;84.05;84.99;84.57;2911388;0
08.03.2024;13:05;84.69;84.99;83.65;83.70;84.32;2808124;0
08.03.2024;14:05;83.70;83.90;83.06;83.61;83.48;3054766;0
08.03.2024;15:05;83.61;86.07;83.36;84.35;84.72;7716274;0
08.03.2024;16:05;84.35;85.57;84.35;84.79;84.96;3461524;0
08.03.2024;17:05;84.59;84.59;83.31;83.41;83.95;5355647;0
08.03.2024;18:05;85.57;85.57;85.57;85.57;85.57;1300998;0
09.03.2024;09:05;85.52;85.52;85.52;85.52;85.52;76951;0
09.03.2024;10:05;85.47;85.47;81.29;81.89;83.38;8979234;0
09.03.2024;11:05;81.89;82.48;81.29;81.39;81.88;4033145;0
09.03.2024;12:05;81.29;81.49;80.70;81.39;81.10;2511068;0
09.03.2024;13:05;81.49;81.94;80.70;81.79;81.32;2841274;0
09.03.2024;14:05;81.99;83.75;80.75;82.73;82.25;6871147;0
09.03.2024;15:05;82.58;84.15;82.33;83.31;83.24;3245646;0
09.03.2024;16:05;83.31;85.47;83.31;84.94;84.39;6784217;0
09.03.2024;17:05;84.89;85.09;83.16;84.69;84.12;14006190;0
09.03.2024;18:05;85.09;85.09;85.09;85.09;85.09;644685;0
10.03.2024;09:05;86.16;86.16;86.16;86.16;86.16;297402;0
10.03.2024;10:05;86.31;89.51;85.62;88.77;87.57;18743940;0
10.03.2024;11:05;88.77;90.19;88.77;89.61;89.48;12059450;0
10.03.2024;12:05;89.76;89.86;89.07;89.17;89.46;4338764;0
10.03.2024;13:05;89.17;90.49;89.02;90.44;89.76;8038007;0
10.03.2024;14:05;90.05;90.05;88.67;89.27;89.36;4219918;0
10.03.2024;15:05;89.07;89.41;87.55;87.93;88.48;9224013;0
10.03.2024;16:05;87.88;87.93;85.97;85.97;86.95;4510074;0
10.03.2024;17:05;86.02;87.00;85.77;86.21;86.39;4348373;0
10.03.2024;18:05;86.16;86.16;86.16;86.16;86.16;235644;0
11.03.2024;09:05;86.21;86.21;86.21;86.21;86.21;129634;0
11.03.2024;10:05;86.56;87.64;85.37;85.72;86.51;8090428;0
11.03.2024;11:05;85.28;85.92;84.84;85.62;85.38;2830525;0
11.03.2024;12:05;85.87;86.36;85.47;85.47;85.92;1294590;0
11.03.2024;13:05;85.47;85.67;84.74;84.99;85.21;1767045;0
11.03.2024;14:05;84.99;86.26;84.64;85.97;85.45;3600838;0
11.03.2024;15:05;85.87;85.97;84.84;85.37;85.40;1692888;0
11.03.2024;16:05;85.14;85.47;84.64;84.69;85.06;1815524;0
11.03.2024;17:05;84.64;87.55;83.51;85.52;85.53;8368205;0
11.03.2024;18:05;85.47;85.47;85.47;85.47;85.47;255312;0
12.03.2024;09:05;85.24;85.24;85.24;85.24;85.24;60222;0
12.03.2024;10:05;85.24;85.24;83.46;84.20;84.35;4949103;0
12.03.2024;11:05;83.95;83.95;82.68;83.21;83.31;3399285;0
12.03.2024;12:05;83.21;83.75;82.73;83.36;83.24;2188203;0
12.03.2024;13:05;83.36;84.05;83.31;83.56;83.68;1256549;0
12.03.2024;14:05;83.65;84.10;83.65;84.00;83.88;1304482;0
12.03.2024;15:05;83.90;86.51;83.70;86.07;85.11;8176820;0
12.03.2024;16:05;86.11;87.05;85.97;86.16;86.51;4074287;0
12.03.2024;17:05;86.16;87.78;85.97;85.97;86.88;4681684;0
12.03.2024;18:05;85.97;85.97;85.97;85.97;85.97;1547767;0
15.03.2024;09:05;86.31;86.31;86.31;86.31;86.31;124781;0
15.03.2024;10:05;86.36;88.23;86.36;87.50;87.30;6768387;0
