Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;34.94;35.06;34.90;35.00;34.98;387645;0
24.08.2025;11:30;34.98;35.34;34.96;35.02;35.15;1457167;0
24.08.2025;11:45;35.04;35.20;35.02;35.16;35.11;721252;0
24.08.2025;12:00;35.16;35.18;35.00;35.02;35.09;119420;0
24.08.2025;12:15;35.08;35.50;35.02;35.10;35.26;1906739;0
24.08.2025;12:30;35.04;35.10;35.00;35.02;35.05;399799;0
24.08.2025;12:45;35.02;35.06;34.98;35.06;35.02;214769;0
24.08.2025;13:00;35.00;35.16;34.92;35.10;35.04;641114;0
24.08.2025;13:15;35.10;35.10;34.86;34.90;34.98;278473;0
24.08.2025;13:30;34.90;34.92;34.84;34.84;34.88;230225;0
24.08.2025;13:45;34.86;35.12;34.86;35.08;34.99;370333;0
24.08.2025;14:00;35.08;35.18;34.92;35.16;35.05;756748;0
24.08.2025;14:15;35.20;35.36;35.00;35.24;35.18;1689193;0
24.08.2025;14:30;35.24;35.34;35.18;35.24;35.26;317542;0
24.08.2025;14:45;35.24;35.78;35.02;35.22;35.40;4289367;0
24.08.2025;15:00;35.16;35.24;34.96;35.06;35.10;2203442;0
24.08.2025;15:15;35.06;35.18;35.02;35.18;35.10;511467;0
24.08.2025;15:30;35.20;35.30;35.06;35.28;35.18;400876;0
24.08.2025;15:45;35.26;35.28;35.14;35.16;35.21;916938;0
24.08.2025;16:00;35.16;35.24;35.16;35.16;35.20;102543;0
24.08.2025;16:15;35.16;35.24;35.12;35.12;35.18;54202;0
24.08.2025;16:30;35.18;35.36;35.18;35.30;35.27;496888;0
24.08.2025;16:45;35.24;35.64;35.24;35.40;35.44;2361064;0
24.08.2025;17:00;35.42;35.86;35.42;35.58;35.64;3409499;0
24.08.2025;17:15;35.54;35.68;35.52;35.62;35.60;736041;0
24.08.2025;17:30;35.56;35.64;35.44;35.50;35.54;607262;0
24.08.2025;17:45;35.56;35.66;35.26;35.52;35.46;1953143;0
24.08.2025;18:00;35.52;35.52;35.34;35.34;35.43;1976627;0
27.08.2025;10:00;35.00;35.00;34.02;34.80;34.51;2998509;0
27.08.2025;10:15;34.72;35.12;34.50;35.08;34.81;2672936;0
27.08.2025;10:30;35.06;35.16;34.92;34.94;35.04;1601556;0
27.08.2025;10:45;35.04;35.66;34.88;35.56;35.27;1600882;0
27.08.2025;11:00;35.54;35.64;35.36;35.62;35.50;1739745;0
27.08.2025;11:15;35.56;35.72;35.54;35.56;35.63;1483019;0
27.08.2025;11:30;35.56;36.32;35.40;35.92;35.86;5440754;0
27.08.2025;11:45;35.98;36.00;35.60;35.70;35.80;3117432;0
27.08.2025;12:00;35.64;35.98;35.58;35.86;35.78;1181649;0
27.08.2025;12:15;35.86;35.96;35.74;35.74;35.85;822120;0
27.08.2025;12:30;35.74;35.78;35.66;35.78;35.72;537710;0
27.08.2025;12:45;35.80;35.82;35.70;35.72;35.76;140220;0
27.08.2025;13:00;35.72;35.76;35.70;35.70;35.73;113636;0
27.08.2025;13:15;35.70;35.76;35.58;35.70;35.67;471397;0
27.08.2025;13:30;35.70;35.80;35.64;35.64;35.72;1086469;0
27.08.2025;13:45;35.70;35.70;35.26;35.40;35.48;2794664;0
27.08.2025;14:00;35.40;35.50;35.16;35.50;35.33;2989712;0
27.08.2025;14:15;35.58;35.70;35.24;35.28;35.47;2193666;0
27.08.2025;14:30;35.38;35.42;34.92;35.16;35.17;1870051;0
27.08.2025;14:45;35.10;35.16;34.98;35.02;35.07;189817;0
27.08.2025;15:00;35.00;35.14;34.98;35.06;35.06;252750;0
27.08.2025;15:15;35.08;35.10;35.02;35.08;35.06;375005;0
27.08.2025;15:30;35.02;35.02;33.26;33.26;34.14;1892278;0
27.08.2025;15:45;33.10;34.52;33.10;34.14;33.81;4309947;0
27.08.2025;16:00;34.14;34.30;34.14;34.26;34.22;825150;0
27.08.2025;16:15;34.28;34.38;34.22;34.36;34.30;271476;0
27.08.2025;16:30;34.38;34.62;34.30;34.46;34.46;752045;0
27.08.2025;16:45;34.44;34.56;34.40;34.48;34.48;867773;0
27.08.2025;17:00;34.50;34.74;34.46;34.70;34.60;2694228;0
27.08.2025;17:15;34.70;34.72;34.52;34.58;34.62;463720;0
27.08.2025;17:30;34.62;34.68;34.44;34.48;34.56;466984;0
27.08.2025;17:45;34.42;34.56;34.30;34.46;34.43;778716;0
27.08.2025;18:00;34.40;34.40;34.24;34.24;34.32;496274;0
28.08.2025;10:00;34.28;34.88;34.28;34.76;34.58;900649;0
28.08.2025;10:15;34.84;35.02;34.70;34.98;34.86;1125016;0
28.08.2025;10:30;34.96;35.02;34.62;34.70;34.82;1442898;0
28.08.2025;10:45;34.78;34.78;34.32;34.56;34.55;601779;0
28.08.2025;11:00;34.56;34.64;34.54;34.64;34.59;197164;0
28.08.2025;11:15;34.66;34.70;34.52;34.60;34.61;221338;0
28.08.2025;11:30;34.60;34.62;34.44;34.44;34.53;438624;0
28.08.2025;11:45;34.44;34.50;34.40;34.40;34.45;232214;0
28.08.2025;12:00;34.42;34.56;34.42;34.50;34.49;491148;0
28.08.2025;12:15;34.50;34.56;34.50;34.54;34.53;200081;0
28.08.2025;12:30;34.54;34.58;34.48;34.54;34.53;661035;0
28.08.2025;12:45;34.52;34.54;34.40;34.48;34.47;520451;0
28.08.2025;13:00;34.48;34.60;34.40;34.60;34.50;122126;0
28.08.2025;13:15;34.56;34.64;34.50;34.64;34.57;103690;0
28.08.2025;13:30;34.64;34.64;34.52;34.60;34.58;57709;0
28.08.2025;13:45;34.60;34.60;34.46;34.48;34.53;154228;0
28.08.2025;14:00;34.48;34.60;34.48;34.52;34.54;234177;0
28.08.2025;14:15;34.60;34.60;34.40;34.48;34.50;195789;0
28.08.2025;14:30;34.48;34.48;34.44;34.44;34.46;13682;0
28.08.2025;14:45;34.44;34.54;34.44;34.50;34.49;166002;0
28.08.2025;15:00;34.48;34.54;34.38;34.46;34.46;633288;0
28.08.2025;15:15;34.46;34.52;34.44;34.50;34.48;553468;0
28.08.2025;15:30;34.46;34.58;34.38;34.38;34.48;241215;0
28.08.2025;15:45;34.38;34.44;34.20;34.40;34.32;1674693;0
28.08.2025;16:00;34.40;34.42;34.30;34.30;34.36;484499;0
28.08.2025;16:15;34.30;34.30;34.20;34.22;34.25;203106;0
28.08.2025;16:30;34.20;34.34;34.20;34.30;34.27;241994;0
28.08.2025;16:45;34.28;34.28;33.96;34.20;34.12;729270;0
28.08.2025;17:00;34.18;34.40;34.14;34.36;34.27;716038;0
28.08.2025;17:15;34.36;34.42;34.20;34.38;34.31;1410505;0
28.08.2025;17:30;34.42;34.74;34.36;34.38;34.55;2004386;0
28.08.2025;17:45;34.38;34.38;34.22;34.32;34.30;1971559;0
