Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:30;130.10;130.40;129.80;129.90;130.10;4180558;0
24.08.2025;11:45;129.90;130.40;129.50;129.80;129.95;5829326;0
24.08.2025;12:00;129.70;130.20;129.40;129.60;129.80;2926140;0
24.08.2025;12:15;129.70;130.00;129.20;129.40;129.60;6973656;0
24.08.2025;12:30;129.20;129.50;129.20;129.50;129.35;1253451;0
24.08.2025;12:45;129.40;129.70;129.30;129.40;129.50;1228189;0
24.08.2025;13:00;129.40;129.70;129.30;129.50;129.50;1421885;0
24.08.2025;13:15;129.60;129.60;129.30;129.30;129.45;297229;0
24.08.2025;13:30;129.30;129.60;129.10;129.30;129.35;1419904;0
24.08.2025;13:45;129.30;129.40;128.80;129.30;129.10;3061678;0
24.08.2025;14:00;129.30;129.30;128.60;128.90;128.95;4015277;0
24.08.2025;14:15;128.90;129.30;128.70;129.10;129.00;1373003;0
24.08.2025;14:30;129.10;129.40;129.00;129.30;129.20;780944;0
24.08.2025;14:45;129.30;129.30;128.80;128.80;129.05;1154614;0
24.08.2025;15:00;128.80;128.80;128.20;128.50;128.50;5739831;0
24.08.2025;15:15;128.60;128.60;128.10;128.10;128.35;2702153;0
24.08.2025;15:30;128.10;128.50;128.10;128.50;128.30;2140512;0
24.08.2025;15:45;128.50;128.50;127.90;128.00;128.20;2098467;0
24.08.2025;16:00;128.00;128.20;127.70;128.00;127.95;6469335;0
24.08.2025;16:15;127.90;128.20;127.70;128.10;127.95;3624577;0
24.08.2025;16:30;128.10;128.50;127.90;128.30;128.20;2752305;0
24.08.2025;16:45;128.10;129.80;127.90;128.70;128.85;4960825;0
24.08.2025;17:00;128.70;129.20;128.30;128.50;128.75;7272624;0
24.08.2025;17:15;128.40;129.00;128.40;128.50;128.70;3583635;0
24.08.2025;17:30;128.60;128.80;127.80;128.00;128.30;7631472;0
24.08.2025;17:45;128.00;128.30;127.10;127.40;127.70;8782119;0
24.08.2025;18:00;127.40;127.50;126.90;127.10;127.20;12770861;0
27.08.2025;10:00;125.00;126.70;124.00;126.10;125.35;13303283;0
27.08.2025;10:15;126.20;126.50;125.50;126.10;126.00;9132038;0
27.08.2025;10:30;126.00;126.40;125.70;125.70;126.05;4472726;0
27.08.2025;10:45;125.70;127.40;125.60;126.50;126.50;5930728;0
27.08.2025;11:00;126.50;126.80;125.60;125.70;126.20;4251099;0
27.08.2025;11:15;125.60;126.00;125.30;125.50;125.65;4406402;0
27.08.2025;11:30;125.70;125.70;124.50;124.80;125.10;5463459;0
27.08.2025;11:45;124.80;125.10;124.60;124.90;124.85;2673236;0
27.08.2025;12:00;124.90;124.90;124.40;124.70;124.65;585077;0
27.08.2025;12:15;124.60;125.30;124.60;125.20;124.95;797739;0
27.08.2025;12:30;125.20;125.90;125.00;125.80;125.45;1787429;0
27.08.2025;12:45;125.90;126.20;125.70;126.10;125.95;1167560;0
27.08.2025;13:00;126.20;126.60;126.10;126.50;126.35;1428922;0
27.08.2025;13:15;126.50;126.50;125.80;125.80;126.15;2065466;0
27.08.2025;13:30;125.80;126.60;125.80;126.30;126.20;1744950;0
27.08.2025;13:45;126.40;126.40;125.80;126.20;126.10;1017838;0
27.08.2025;14:00;126.20;126.30;126.00;126.30;126.15;240981;0
27.08.2025;14:15;126.10;126.40;126.00;126.00;126.20;873266;0
27.08.2025;14:30;126.00;126.40;126.00;126.10;126.20;1337201;0
27.08.2025;14:45;126.10;126.20;125.00;125.30;125.60;3641547;0
27.08.2025;15:00;125.30;125.80;125.20;125.50;125.50;1575593;0
27.08.2025;15:15;125.40;125.80;125.20;125.50;125.50;3153305;0
27.08.2025;15:30;125.50;125.70;125.30;125.40;125.50;399731;0
27.08.2025;15:45;125.30;125.80;125.00;125.70;125.40;1128141;0
27.08.2025;16:00;125.40;125.80;125.40;125.50;125.60;2503097;0
27.08.2025;16:15;125.70;125.90;125.50;125.80;125.70;1370954;0
27.08.2025;16:30;125.60;126.30;125.60;126.00;125.95;1040853;0
27.08.2025;16:45;126.20;126.20;125.00;125.60;125.60;2465530;0
27.08.2025;17:00;125.60;125.70;125.00;125.50;125.35;3150865;0
27.08.2025;17:15;125.40;125.80;124.90;125.10;125.35;3340375;0
27.08.2025;17:30;125.20;125.40;124.80;125.20;125.10;1592534;0
27.08.2025;17:45;125.10;125.20;124.70;124.80;124.95;2928405;0
27.08.2025;18:00;124.80;125.30;124.70;125.00;125.00;4461555;0
28.08.2025;10:00;124.50;126.00;124.50;125.00;125.25;7559544;0
28.08.2025;10:15;124.90;125.00;123.70;123.80;124.35;11541479;0
28.08.2025;10:30;123.70;124.10;123.40;124.10;123.75;3082967;0
28.08.2025;10:45;124.10;124.10;123.10;123.40;123.60;4679167;0
28.08.2025;11:00;123.50;123.50;123.00;123.30;123.25;1943027;0
28.08.2025;11:15;123.20;123.40;123.00;123.40;123.20;1872746;0
28.08.2025;11:30;123.40;123.40;122.40;122.60;122.90;4703285;0
28.08.2025;11:45;122.60;122.90;122.40;122.70;122.65;2283634;0
28.08.2025;12:00;122.70;122.80;122.30;122.50;122.55;3050342;0
28.08.2025;12:15;122.50;123.00;122.30;122.70;122.65;4372994;0
28.08.2025;12:30;122.70;122.80;122.30;122.70;122.55;4690740;0
28.08.2025;12:45;122.50;123.50;122.40;122.90;122.95;7184896;0
28.08.2025;13:00;122.80;122.90;122.70;122.70;122.80;1341575;0
28.08.2025;13:15;122.70;123.00;122.40;122.90;122.70;1871270;0
28.08.2025;13:30;122.90;123.10;122.70;122.80;122.90;870109;0
28.08.2025;13:45;122.70;123.00;122.40;122.80;122.70;2799420;0
28.08.2025;14:00;122.70;122.90;122.60;122.80;122.75;291479;0
28.08.2025;14:15;122.80;122.90;122.70;122.70;122.80;1549390;0
28.08.2025;14:30;122.80;123.60;122.80;122.90;123.20;2323580;0
28.08.2025;14:45;122.90;122.90;122.70;122.80;122.80;815613;0
28.08.2025;15:00;122.90;122.90;122.70;122.80;122.80;575176;0
28.08.2025;15:15;122.90;123.00;122.80;122.80;122.90;522232;0
28.08.2025;15:30;122.80;123.10;122.70;122.80;122.90;897318;0
28.08.2025;15:45;122.90;122.90;122.50;122.60;122.70;1071047;0
28.08.2025;16:00;122.60;122.70;121.60;121.80;122.15;6643657;0
28.08.2025;16:15;121.90;122.20;121.10;121.70;121.65;6098909;0
28.08.2025;16:30;121.60;121.70;121.00;121.00;121.35;5767766;0
28.08.2025;16:45;121.10;121.50;120.40;121.20;120.95;6898304;0
28.08.2025;17:00;121.10;121.40;120.90;121.10;121.15;2954491;0
28.08.2025;17:15;121.10;122.50;121.10;122.10;121.80;7760533;0
28.08.2025;17:30;122.30;123.00;121.60;122.00;122.30;9760065;0
28.08.2025;17:45;122.20;122.30;120.30;120.50;121.30;19870486;0
28.08.2025;18:00;120.60;123.10;120.00;120.00;121.55;8954445;0
29.08.2025;10:00;120.20;121.00;119.80;120.50;120.40;7976401;0
29.08.2025;10:15;120.60;121.10;120.40;121.00;120.75;3024755;0
29.08.2025;10:30;121.00;121.20;120.40;120.40;120.80;3025810;0
29.08.2025;10:45;120.50;120.70;120.20;120.50;120.45;1006717;0
29.08.2025;11:00;120.50;121.10;120.30;121.00;120.70;1614722;0
29.08.2025;11:15;120.90;121.00;120.40;120.70;120.70;1247457;0
29.08.2025;11:30;120.70;120.80;120.40;120.70;120.60;777933;0
29.08.2025;11:45;120.90;121.70;120.90;121.20;121.30;5730725;0
29.08.2025;12:00;121.20;121.50;121.00;121.30;121.25;1470662;0
29.08.2025;12:15;121.30;121.30;121.00;121.10;121.15;589061;0
