Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:00;24.00;24.14;24.00;24.08;24.07;925843;0
24.08.2025;10:15;24.04;24.12;24.00;24.00;24.06;336568;0
24.08.2025;10:30;24.06;24.16;24.00;24.06;24.08;954340;0
24.08.2025;10:45;24.04;24.08;23.92;24.02;24.00;538463;0
24.08.2025;11:00;24.02;24.08;23.96;24.06;24.02;165529;0
24.08.2025;11:15;24.06;24.10;23.96;24.00;24.03;375853;0
24.08.2025;11:30;24.02;24.08;24.02;24.08;24.05;9811;0
24.08.2025;11:45;24.06;24.06;24.02;24.06;24.04;113960;0
24.08.2025;12:00;23.98;24.06;23.98;24.06;24.02;275250;0
24.08.2025;12:15;23.98;24.08;23.88;23.96;23.98;443127;0
24.08.2025;12:30;23.96;24.10;23.96;24.10;24.03;645168;0
24.08.2025;12:45;24.02;24.08;23.96;24.00;24.02;101713;0
24.08.2025;13:00;24.00;24.04;23.96;23.96;24.00;258844;0
24.08.2025;13:15;23.98;24.02;23.92;23.92;23.97;39866;0
24.08.2025;13:30;23.92;23.92;23.84;23.92;23.88;729241;0
24.08.2025;13:45;23.84;24.16;23.82;24.12;23.99;894397;0
24.08.2025;14:00;24.12;24.16;23.96;23.98;24.06;980067;0
24.08.2025;14:15;23.98;24.06;23.94;24.00;24.00;443788;0
24.08.2025;14:30;23.98;24.28;23.98;24.22;24.13;2925590;0
24.08.2025;14:45;24.22;24.36;24.22;24.32;24.29;1122925;0
24.08.2025;15:00;24.32;24.58;24.32;24.58;24.45;3997396;0
24.08.2025;15:15;24.58;24.68;24.48;24.56;24.58;5396656;0
24.08.2025;15:30;24.54;25.42;24.48;25.14;24.95;15294796;0
24.08.2025;15:45;25.20;25.58;24.98;25.06;25.28;10673453;0
24.08.2025;16:00;25.04;25.18;25.02;25.14;25.10;1831877;0
24.08.2025;16:15;25.12;25.12;24.90;25.02;25.01;1736939;0
24.08.2025;16:30;25.04;25.06;24.70;24.84;24.88;1138309;0
24.08.2025;16:45;24.82;25.18;24.78;25.10;24.98;4858144;0
24.08.2025;17:00;25.06;25.10;24.98;25.04;25.04;1321532;0
24.08.2025;17:15;25.04;25.30;24.88;25.30;25.09;2950994;0
24.08.2025;17:30;25.28;25.42;25.00;25.36;25.21;4816393;0
24.08.2025;17:45;25.30;25.36;24.90;25.02;25.13;3804580;0
24.08.2025;18:00;25.10;25.36;25.00;25.36;25.18;1398537;0
27.08.2025;10:00;25.18;25.32;24.32;25.12;24.82;5421802;0
27.08.2025;10:15;25.16;25.20;24.90;24.98;25.05;2256943;0
27.08.2025;10:30;25.00;25.02;24.76;24.80;24.89;1453701;0
27.08.2025;10:45;24.80;24.92;24.74;24.92;24.83;730361;0
27.08.2025;11:00;24.92;24.96;24.80;24.90;24.88;1020912;0
27.08.2025;11:15;24.92;24.98;24.80;24.80;24.89;312599;0
27.08.2025;11:30;24.80;24.90;24.80;24.88;24.85;33989;0
27.08.2025;11:45;24.82;24.90;24.82;24.88;24.86;296488;0
27.08.2025;12:00;24.88;25.00;24.88;25.00;24.94;724693;0
27.08.2025;12:15;25.00;25.12;24.90;25.10;25.01;621221;0
27.08.2025;12:30;25.14;25.26;24.98;25.08;25.12;2381226;0
27.08.2025;12:45;25.12;25.14;25.00;25.00;25.07;822338;0
27.08.2025;13:00;25.08;25.08;24.98;24.98;25.03;156034;0
27.08.2025;13:15;25.06;25.50;24.98;25.36;25.24;3357233;0
27.08.2025;13:30;25.36;25.36;25.14;25.16;25.25;1915162;0
27.08.2025;13:45;25.16;25.40;25.00;25.40;25.20;2748575;0
27.08.2025;14:00;25.32;25.32;25.14;25.18;25.23;603017;0
27.08.2025;14:15;25.18;25.30;25.12;25.12;25.21;975052;0
27.08.2025;14:30;25.10;25.16;25.06;25.12;25.11;382651;0
27.08.2025;14:45;25.16;25.18;25.08;25.10;25.13;500803;0
27.08.2025;15:00;25.10;25.16;24.96;25.10;25.06;1522558;0
27.08.2025;15:15;25.10;25.12;25.02;25.06;25.07;218645;0
27.08.2025;15:30;25.04;25.36;25.02;25.24;25.19;1259363;0
27.08.2025;15:45;25.24;25.24;24.96;25.20;25.10;1039665;0
27.08.2025;16:00;25.18;25.22;25.08;25.14;25.15;77442;0
27.08.2025;16:15;25.20;25.22;25.12;25.22;25.17;966023;0
27.08.2025;16:30;25.22;25.24;25.12;25.12;25.18;279965;0
27.08.2025;16:45;25.14;25.18;25.08;25.14;25.13;319369;0
27.08.2025;17:00;25.14;25.20;25.10;25.16;25.15;153208;0
27.08.2025;17:15;25.16;25.16;25.08;25.14;25.12;279109;0
27.08.2025;17:30;25.10;25.12;25.04;25.10;25.08;231798;0
27.08.2025;17:45;25.10;25.24;25.04;25.24;25.14;402798;0
27.08.2025;18:00;25.14;25.18;25.04;25.08;25.11;452435;0
28.08.2025;10:00;25.22;25.58;25.22;25.32;25.40;2320825;0
28.08.2025;10:15;25.32;25.40;25.12;25.26;25.26;1831020;0
28.08.2025;10:30;25.26;25.54;25.10;25.30;25.32;2082356;0
28.08.2025;10:45;25.26;25.26;25.16;25.16;25.21;607094;0
28.08.2025;11:00;25.16;25.28;25.12;25.18;25.20;277105;0
28.08.2025;11:15;25.24;25.28;25.22;25.26;25.25;412235;0
28.08.2025;11:30;25.22;25.54;25.22;25.40;25.38;2774740;0
28.08.2025;11:45;25.46;25.46;25.34;25.34;25.40;357335;0
28.08.2025;12:00;25.34;25.46;25.34;25.40;25.40;688484;0
28.08.2025;12:15;25.40;25.90;25.34;25.80;25.62;2206558;0
28.08.2025;12:30;25.78;26.12;25.70;25.70;25.91;2302097;0
28.08.2025;12:45;25.72;25.74;25.38;25.48;25.56;1325524;0
28.08.2025;13:00;25.46;25.58;25.28;25.50;25.43;1103534;0
28.08.2025;13:15;25.50;25.50;25.42;25.50;25.46;414888;0
28.08.2025;13:30;25.50;25.56;25.48;25.50;25.52;343086;0
28.08.2025;13:45;25.50;25.50;25.44;25.44;25.47;92463;0
