Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
22.08.2025;13:45;8.66;8.75;8.65;8.66;8.70;36333;0
22.08.2025;14:00;8.67;8.74;8.55;8.72;8.64;168488;0
22.08.2025;14:15;8.71;8.71;8.65;8.70;8.68;129837;0
22.08.2025;14:30;8.70;8.70;8.65;8.69;8.67;52993;0
22.08.2025;14:45;8.66;8.74;8.66;8.74;8.70;72346;0
22.08.2025;15:00;8.74;8.74;8.70;8.70;8.72;8158;0
22.08.2025;15:15;8.74;8.74;8.72;8.72;8.73;6156;0
22.08.2025;15:30;8.72;8.72;8.70;8.72;8.71;41854;0
22.08.2025;15:45;8.72;8.75;8.72;8.75;8.74;28902;0
22.08.2025;16:00;8.74;8.76;8.74;8.76;8.75;27809;0
22.08.2025;16:15;8.76;8.76;8.75;8.76;8.76;32965;0
22.08.2025;16:30;8.75;8.77;8.72;8.72;8.75;151697;0
22.08.2025;16:45;8.74;8.85;8.74;8.85;8.80;575372;0
22.08.2025;17:00;8.84;8.95;8.84;8.93;8.89;706932;0
22.08.2025;17:15;8.92;8.99;8.88;8.99;8.93;289734;0
22.08.2025;17:30;8.99;9.05;8.98;9.04;9.01;1096607;0
22.08.2025;17:45;9.00;9.04;8.97;9.02;9.01;210024;0
22.08.2025;18:00;9.00;9.05;8.93;9.05;8.99;233931;0
23.08.2025;10:00;9.05;9.08;9.00;9.08;9.04;451507;0
23.08.2025;10:15;9.07;9.11;9.07;9.07;9.09;369651;0
23.08.2025;10:30;9.07;9.08;9.00;9.04;9.04;345135;0
23.08.2025;10:45;9.04;9.07;9.04;9.07;9.05;205156;0
23.08.2025;11:00;9.07;9.08;9.04;9.06;9.06;138547;0
23.08.2025;11:15;9.06;9.06;9.06;9.06;9.06;95619;0
23.08.2025;11:30;9.05;9.06;9.04;9.06;9.05;62703;0
23.08.2025;11:45;9.06;9.06;9.04;9.04;9.05;74602;0
23.08.2025;12:00;9.03;9.06;8.93;9.06;9.00;409494;0
23.08.2025;12:15;9.02;9.05;9.02;9.05;9.04;14004;0
