Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;7.84;7.84;7.70;7.72;7.77;84848863;0
24.08.2025;11:30;7.71;7.81;7.71;7.78;7.76;32486474;0
24.08.2025;11:45;7.79;7.82;7.74;7.78;7.78;25207997;0
24.08.2025;12:00;7.77;7.85;7.75;7.81;7.80;30548266;0
24.08.2025;12:15;7.81;7.85;7.80;7.82;7.83;14486869;0
24.08.2025;12:30;7.82;7.83;7.80;7.80;7.82;5729217;0
24.08.2025;12:45;7.81;7.83;7.80;7.80;7.82;3515826;0
24.08.2025;13:00;7.81;7.82;7.80;7.81;7.81;5151071;0
24.08.2025;13:15;7.81;7.87;7.81;7.85;7.84;22646084;0
24.08.2025;13:30;7.85;7.88;7.79;7.80;7.84;14649672;0
24.08.2025;13:45;7.80;7.82;7.80;7.81;7.81;2766444;0
24.08.2025;14:00;7.80;7.80;7.73;7.75;7.77;26602886;0
24.08.2025;14:15;7.75;7.79;7.73;7.78;7.76;12634405;0
24.08.2025;14:30;7.79;7.83;7.78;7.81;7.81;17589485;0
24.08.2025;14:45;7.82;7.83;7.80;7.81;7.82;4416115;0
24.08.2025;15:00;7.81;7.81;7.74;7.78;7.77;17475917;0
24.08.2025;15:15;7.78;7.78;7.75;7.76;7.77;5262953;0
24.08.2025;15:30;7.75;7.80;7.75;7.77;7.78;8574790;0
24.08.2025;15:45;7.77;7.79;7.75;7.78;7.77;4873242;0
24.08.2025;16:00;7.77;7.80;7.75;7.79;7.78;11003449;0
24.08.2025;16:15;7.79;7.79;7.76;7.76;7.78;5094047;0
24.08.2025;16:30;7.77;7.77;7.75;7.76;7.76;6177756;0
24.08.2025;16:45;7.76;7.85;7.67;7.81;7.76;71901802;0
24.08.2025;17:00;7.81;7.83;7.76;7.78;7.80;33878143;0
24.08.2025;17:15;7.78;7.79;7.69;7.71;7.74;49282031;0
24.08.2025;17:30;7.70;7.71;7.60;7.60;7.65;22478932;0
24.08.2025;17:45;7.60;7.61;7.27;7.44;7.44;85961697;0
24.08.2025;18:00;7.44;7.53;7.41;7.46;7.47;47180843;0
27.08.2025;10:00;7.25;7.43;7.22;7.43;7.32;66345936;0
27.08.2025;10:15;7.43;7.45;7.36;7.39;7.40;28016647;0
27.08.2025;10:30;7.39;7.41;7.36;7.41;7.38;15424706;0
