Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
21.12.2017;00:00;10.11;10.11;9.66;9.66;9.88;125899904;0
24.12.2017;00:00;9.71;9.92;9.67;9.75;9.80;19277440;0
25.12.2017;00:00;9.79;9.90;9.79;9.88;9.84;30019600;0
26.12.2017;00:00;9.84;9.87;9.65;9.65;9.76;54971880;0
27.12.2017;00:00;9.80;10.22;9.80;9.93;10.01;37173760;0
28.12.2017;00:00;10.03;10.14;10.01;10.06;10.08;14053550;0
31.12.2017;00:00;10.14;10.17;10.09;10.14;10.13;26682060;0
01.01.2018;00:00;10.14;10.18;10.11;10.14;10.14;17875600;0
02.01.2018;00:00;10.15;10.16;10.08;10.13;10.12;20319930;0
03.01.2018;00:00;10.14;10.17;10.00;10.00;10.09;9573692;0
05.01.2018;00:00;9.90;10.05;9.86;10.01;9.95;8459877;0
08.01.2018;00:00;10.01;10.05;9.81;9.84;9.93;14107260;0
09.01.2018;00:00;9.84;9.93;9.70;9.71;9.82;2327505;0
10.01.2018;00:00;9.93;9.95;8.88;9.14;9.41;22230750;0
11.01.2018;00:00;9.47;9.61;9.03;9.18;9.32;14772310;0
12.01.2018;00:00;9.12;9.56;9.00;9.20;9.28;9468228;0
15.01.2018;00:00;9.26;9.26;7.71;8.58;8.49;89712560;0
16.01.2018;00:00;8.79;9.04;8.21;8.46;8.62;34000700;0
17.01.2018;00:00;8.44;9.10;8.03;8.60;8.57;58506400;0
18.01.2018;00:00;8.80;9.68;8.72;8.74;9.20;31175220;0
22.01.2018;00:00;8.74;8.98;8.52;8.60;8.75;11568730;0
23.01.2018;00:00;8.76;8.76;8.34;8.43;8.55;14757570;0
24.01.2018;00:00;8.43;8.47;7.81;7.86;8.14;17475440;0
25.01.2018;00:00;7.92;7.98;7.65;7.79;7.82;21859750;0
26.01.2018;00:00;7.82;8.10;7.78;7.92;7.94;18795750;0
29.01.2018;00:00;7.92;8.31;7.48;7.68;7.90;17920170;0
30.01.2018;00:00;7.75;7.99;7.66;7.82;7.82;15035100;0
31.01.2018;00:00;7.82;8.12;7.80;8.08;7.96;20780140;0
01.02.2018;00:00;8.07;8.72;8.02;8.43;8.37;39672380;0
02.02.2018;00:00;8.48;8.52;8.34;8.38;8.43;56418900;0
07.02.2018;00:00;8.30;8.39;8.12;8.28;8.26;7603808;0
08.02.2018;00:00;8.33;8.51;8.26;8.28;8.39;19045620;0
09.02.2018;00:00;8.30;8.33;8.13;8.23;8.23;5386449;0
10.02.2018;00:00;8.25;8.45;8.25;8.39;8.35;10669150;0
11.02.2018;00:00;8.39;8.58;8.37;8.49;8.47;11462670;0
14.02.2018;00:00;8.48;8.56;8.26;8.36;8.41;11691960;0
15.02.2018;00:00;8.21;8.30;8.06;8.20;8.18;8538960;0
16.02.2018;00:00;8.10;8.12;7.80;8.10;7.96;10629220;0
17.02.2018;00:00;7.93;8.09;7.73;8.07;7.91;13833090;0
18.02.2018;00:00;7.97;8.45;7.97;8.43;8.21;5767410;0
21.02.2018;00:00;8.42;8.48;8.21;8.27;8.34;15461940;0
22.02.2018;00:00;8.27;8.37;8.10;8.30;8.24;5946368;0
23.02.2018;00:00;8.30;8.38;8.18;8.34;8.28;8383397;0
24.02.2018;00:00;8.39;8.45;8.11;8.16;8.28;6825309;0
25.02.2018;00:00;8.17;8.24;8.15;8.18;8.19;5671754;0
28.02.2018;00:00;8.20;8.39;8.18;8.29;8.29;11344520;0
01.03.2018;00:00;8.31;8.44;7.97;8.29;8.20;11138480;0
02.03.2018;00:00;8.20;8.64;8.15;8.37;8.39;13068380;0
