Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;180.20;180.20;180.20;180.20;180.20;2201504;0
27.02.2024;10:05;180.60;182.00;179.70;181.50;180.85;104305400;0
27.02.2024;11:05;181.40;182.90;181.30;182.60;182.10;79252416;0
27.02.2024;12:05;182.60;183.80;182.10;183.30;182.95;59085888;0
27.02.2024;13:05;183.20;183.80;182.70;183.30;183.25;34774072;0
27.02.2024;14:05;183.30;183.40;182.70;183.40;183.05;32322120;0
27.02.2024;15:05;183.40;185.40;182.50;185.00;183.95;60639712;0
27.02.2024;16:05;185.00;187.30;184.80;186.80;186.05;118838800;0
27.02.2024;17:05;186.80;187.60;186.20;186.90;186.90;76817344;0
27.02.2024;18:05;187.40;187.40;187.40;187.40;187.40;10382150;0
01.03.2024;09:05;187.50;187.50;187.50;187.50;187.50;2619938;0
01.03.2024;10:05;187.50;193.10;187.50;193.00;190.30;295785216;0
01.03.2024;11:05;193.00;193.60;191.90;193.20;192.75;104171504;0
01.03.2024;12:05;193.10;194.30;192.70;194.00;193.50;88965616;0
01.03.2024;13:05;194.00;195.40;193.90;195.10;194.65;84365088;0
01.03.2024;14:05;195.00;195.30;194.80;195.20;195.05;33730540;0
01.03.2024;15:05;195.20;197.60;194.10;197.40;195.85;101914496;0
01.03.2024;16:05;197.40;199.00;196.90;198.20;197.95;118347600;0
01.03.2024;17:05;198.20;198.90;196.20;197.90;197.55;75517888;0
01.03.2024;18:05;197.50;197.50;197.50;197.50;197.50;4094768;0
02.03.2024;09:05;197.80;197.80;197.80;197.80;197.80;2688101;0
02.03.2024;10:05;197.70;204.40;197.50;204.20;200.95;280175712;0
02.03.2024;11:05;204.20;206.30;202.30;203.50;204.30;136555504;0
02.03.2024;12:05;203.50;206.00;203.10;206.00;204.55;59374920;0
08.03.2024;09:05;206.00;206.00;206.00;206.00;206.00;18318550;0
08.03.2024;10:05;205.90;210.90;198.90;199.50;204.90;355553408;0
08.03.2024;11:05;199.50;200.70;199.00;200.40;199.85;144730208;0
08.03.2024;12:05;200.30;200.80;198.50;198.50;199.65;74668256;0
08.03.2024;13:05;198.40;198.60;196.70;196.90;197.65;83081664;0
08.03.2024;14:05;196.90;198.20;196.50;197.90;197.35;50962400;0
08.03.2024;15:05;197.90;198.40;196.80;197.00;197.60;45888000;0
08.03.2024;16:05;197.00;198.80;196.30;198.60;197.55;69116224;0
08.03.2024;17:05;198.60;199.40;197.50;198.20;198.45;96621248;0
08.03.2024;18:05;198.10;198.10;198.10;198.10;198.10;11635790;0
09.03.2024;09:05;197.70;197.70;197.70;197.70;197.70;2383077;0
09.03.2024;10:05;197.60;197.80;191.70;192.30;194.75;179189600;0
09.03.2024;11:05;192.30;192.70;191.00;191.50;191.85;71695232;0
09.03.2024;12:05;191.60;191.60;190.50;191.30;191.05;52080220;0
09.03.2024;13:05;191.30;191.70;190.80;191.40;191.25;14777600;0
09.03.2024;14:05;191.40;194.80;191.00;194.00;192.90;75846288;0
09.03.2024;15:05;194.00;194.20;192.60;193.50;193.40;53385680;0
09.03.2024;16:05;193.50;197.20;193.30;196.00;195.25;63917800;0
09.03.2024;17:05;196.10;196.60;195.00;195.20;195.80;68357504;0
09.03.2024;18:05;195.10;195.10;195.10;195.10;195.10;11031150;0
10.03.2024;09:05;196.10;196.10;196.10;196.10;196.10;1838438;0
10.03.2024;10:05;196.20;199.00;195.80;198.90;197.40;169337408;0
10.03.2024;11:05;198.80;199.50;197.10;197.30;198.30;65043232;0
10.03.2024;12:05;197.40;197.90;197.00;197.30;197.45;25664910;0
10.03.2024;13:05;197.30;200.50;197.20;199.70;198.85;75838688;0
10.03.2024;14:05;199.60;200.40;199.10;199.40;199.75;77614544;0
10.03.2024;15:05;199.40;199.80;198.70;199.20;199.25;39820280;0
10.03.2024;16:05;199.10;200.20;199.10;199.20;199.65;47438208;0
10.03.2024;17:05;199.20;199.90;197.70;198.40;198.80;86690256;0
10.03.2024;18:05;198.40;198.40;198.40;198.40;198.40;10309660;0
11.03.2024;09:05;199.50;199.50;199.50;199.50;199.50;3011453;0
11.03.2024;10:05;199.80;200.80;194.60;195.90;197.70;104246600;0
11.03.2024;11:05;195.70;196.00;194.00;195.30;195.00;37201020;0
11.03.2024;12:05;195.30;195.30;194.30;194.70;194.80;16524180;0
11.03.2024;13:05;194.60;194.80;193.00;193.40;193.90;28611800;0
11.03.2024;14:05;193.40;196.10;193.30;196.10;194.70;56888368;0
11.03.2024;15:05;196.00;196.30;194.50;195.10;195.40;23948640;0
11.03.2024;16:05;195.00;195.20;192.80;193.10;194.00;63127700;0
