Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;40.27;40.27;40.27;40.27;40.27;938834;0
27.02.2024;10:05;40.21;40.85;40.01;40.67;40.43;35988220;0
27.02.2024;11:05;40.67;41.21;40.65;40.93;40.93;37290552;0
27.02.2024;12:05;40.93;41.13;40.69;40.99;40.91;25608030;0
27.02.2024;13:05;41.03;41.05;40.81;40.89;40.93;9151879;0
27.02.2024;14:05;40.89;41.01;40.83;40.95;40.92;6582979;0
27.02.2024;15:05;40.95;41.48;40.73;41.23;41.11;39781440;0
27.02.2024;16:05;41.27;41.88;41.21;41.60;41.54;33774800;0
27.02.2024;17:05;41.62;42.04;41.60;41.98;41.82;27392470;0
27.02.2024;18:05;41.88;41.88;41.88;41.88;41.88;4890708;0
01.03.2024;09:05;41.92;41.92;41.92;41.92;41.92;1534684;0
01.03.2024;10:05;42.04;42.90;41.86;42.84;42.38;75652088;0
01.03.2024;11:05;42.84;42.92;42.36;42.68;42.64;30078590;0
01.03.2024;12:05;42.68;42.76;42.50;42.58;42.63;9775287;0
01.03.2024;13:05;42.58;42.70;42.46;42.54;42.58;9409012;0
01.03.2024;14:05;42.54;42.70;42.22;42.30;42.46;11751570;0
01.03.2024;15:05;42.30;42.52;42.16;42.52;42.34;14554960;0
01.03.2024;16:05;42.52;42.70;42.34;42.44;42.52;14390810;0
01.03.2024;17:05;42.46;42.56;42.28;42.52;42.42;25011280;0
01.03.2024;18:05;42.48;42.48;42.48;42.48;42.48;2510139;0
02.03.2024;09:05;42.50;42.50;42.50;42.50;42.50;386435;0
02.03.2024;10:05;42.58;42.60;42.06;42.30;42.33;33876832;0
02.03.2024;11:05;42.30;42.74;42.22;42.74;42.48;25540120;0
02.03.2024;12:05;42.74;42.80;42.56;42.72;42.68;15488440;0
08.03.2024;09:05;42.34;42.34;42.34;42.34;42.34;1125992;0
08.03.2024;10:05;42.34;42.66;41.31;41.31;41.98;62475880;0
08.03.2024;11:05;41.31;43.89;41.29;41.86;42.59;108163400;0
08.03.2024;12:05;41.86;42.02;41.74;41.74;41.88;16346610;0
08.03.2024;13:05;41.74;41.82;41.34;41.36;41.58;32963500;0
08.03.2024;14:05;41.36;41.50;41.11;41.42;41.31;32950350;0
08.03.2024;15:05;41.40;41.58;41.29;41.44;41.43;19084860;0
08.03.2024;16:05;41.42;41.90;41.40;41.72;41.65;24979070;0
08.03.2024;17:05;41.72;41.78;41.25;41.36;41.51;31237630;0
08.03.2024;18:05;41.40;41.40;41.40;41.40;41.40;1578595;0
09.03.2024;09:05;41.21;41.21;41.21;41.21;41.21;1349143;0
09.03.2024;10:05;41.19;41.29;40.45;40.51;40.87;66324912;0
09.03.2024;11:05;40.51;40.75;40.33;40.63;40.54;22821640;0
09.03.2024;12:05;40.65;40.65;40.33;40.57;40.49;18138590;0
09.03.2024;13:05;40.57;42.28;40.51;41.01;41.39;29345510;0
09.03.2024;14:05;41.03;41.36;40.89;41.21;41.13;24468170;0
09.03.2024;15:05;41.21;41.23;40.81;40.89;41.02;15952900;0
09.03.2024;16:05;40.87;40.95;40.43;40.55;40.69;15758710;0
09.03.2024;17:05;40.55;40.95;40.37;40.71;40.66;26852510;0
09.03.2024;18:05;40.75;40.75;40.75;40.75;40.75;1898061;0
10.03.2024;09:05;40.91;40.91;40.91;40.91;40.91;592868;0
10.03.2024;10:05;40.93;41.90;40.93;41.72;41.41;67334632;0
10.03.2024;11:05;41.72;41.72;40.69;40.81;41.21;58149328;0
10.03.2024;12:05;40.81;40.87;40.27;40.31;40.57;45454100;0
10.03.2024;13:05;40.31;40.31;39.87;39.89;40.09;51410048;0
10.03.2024;14:05;39.89;39.91;39.63;39.63;39.77;33303550;0
10.03.2024;15:05;39.63;39.73;39.55;39.57;39.64;27910510;0
10.03.2024;16:05;39.57;39.65;39.35;39.41;39.50;32761600;0
10.03.2024;17:05;39.41;39.45;38.98;39.04;39.21;66569672;0
10.03.2024;18:05;38.90;38.90;38.90;38.90;38.90;13094760;0
11.03.2024;09:05;39.35;39.35;39.35;39.35;39.35;11008890;0
11.03.2024;10:05;39.37;39.89;39.02;39.41;39.45;97431528;0
11.03.2024;11:05;39.37;39.67;39.23;39.59;39.45;34991712;0
11.03.2024;12:05;39.61;40.99;39.59;40.59;40.29;103808200;0
11.03.2024;13:05;40.57;40.77;40.37;40.71;40.57;30941800;0
11.03.2024;14:05;40.69;40.83;40.49;40.79;40.66;14658920;0
11.03.2024;15:05;40.79;40.87;40.41;40.47;40.64;16210500;0
11.03.2024;16:05;40.43;40.49;40.19;40.25;40.34;14729450;0
11.03.2024;17:05;40.25;40.91;40.19;40.91;40.55;46084560;0
11.03.2024;18:05;40.67;40.67;40.67;40.67;40.67;6362230;0
12.03.2024;09:05;41.80;41.80;41.80;41.80;41.80;8546748;0
12.03.2024;10:05;41.80;42.78;41.46;42.44;42.12;166452000;0
12.03.2024;11:05;42.44;42.80;42.30;42.78;42.55;41156608;0
12.03.2024;12:05;42.80;43.36;42.78;42.88;43.07;71224888;0
12.03.2024;13:05;42.88;43.10;42.82;42.90;42.96;16781630;0
12.03.2024;14:05;42.94;43.79;42.86;43.24;43.33;74022736;0
12.03.2024;15:05;43.24;44.19;43.14;43.63;43.66;91405448;0
12.03.2024;16:05;43.63;44.23;43.57;44.11;43.90;54804968;0
12.03.2024;17:05;44.07;44.73;43.87;44.73;44.30;119492096;0
12.03.2024;18:05;44.73;44.73;44.73;44.73;44.73;227801;0
15.03.2024;09:05;45.17;45.17;45.17;45.17;45.17;7098709;0
15.03.2024;10:05;45.17;45.29;44.11;44.61;44.70;218456608;0
15.03.2024;11:05;44.59;46.56;44.49;45.58;45.53;277189696;0
15.03.2024;12:05;45.58;46.28;45.37;45.88;45.82;78055848;0
15.03.2024;13:05;45.86;45.92;45.49;45.60;45.70;34545472;0
15.03.2024;14:05;45.62;45.72;45.31;45.60;45.52;30175250;0
15.03.2024;15:05;45.62;45.76;45.25;45.53;45.51;26862510;0
15.03.2024;16:05;45.55;45.55;44.89;45.05;45.22;44113420;0
15.03.2024;17:05;45.03;45.27;44.59;44.87;44.93;49483380;0
15.03.2024;18:05;44.65;44.65;44.65;44.65;44.65;4282020;0
17.03.2024;09:05;44.89;44.89;44.89;44.89;44.89;1178102;0
17.03.2024;10:05;44.91;45.39;44.47;44.67;44.93;92179216;0
17.03.2024;11:05;44.63;46.32;44.61;45.86;45.47;156601696;0
17.03.2024;12:05;45.86;45.94;45.27;45.62;45.60;44391688;0
17.03.2024;13:05;45.58;45.94;44.97;45.72;45.46;94795984;0
17.03.2024;14:05;45.72;45.80;45.43;45.72;45.61;43806560;0
17.03.2024;15:05;45.72;46.16;45.68;46.12;45.92;84144160;0
17.03.2024;16:05;46.10;46.82;45.96;46.44;46.39;160200096;0
17.03.2024;17:05;46.44;46.50;45.98;46.18;46.24;67735536;0
17.03.2024;18:05;45.88;45.88;45.88;45.88;45.88;10414500;0
