Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
21.08.2017;00:00;12.65;13.07;12.26;13.07;12.66;72142768;0
22.08.2017;00:00;14.15;15.37;14.08;14.77;14.72;280176800;0
23.08.2017;00:00;14.83;14.89;13.12;13.18;14.01;128963800;0
26.08.2017;00:00;13.24;13.46;12.32;12.64;12.89;99845776;0
27.08.2017;00:00;12.53;12.61;11.83;11.85;12.22;41188728;0
28.08.2017;00:00;11.74;12.06;11.42;11.48;11.74;39895552;0
30.08.2017;00:00;11.50;11.89;11.47;11.57;11.68;42225420;0
31.08.2017;00:00;11.60;11.71;11.30;11.31;11.51;18432270;0
03.09.2017;00:00;11.34;11.84;11.10;11.31;11.47;44005740;0
04.09.2017;00:00;11.05;11.31;10.99;11.08;11.15;22396360;0
05.09.2017;00:00;11.17;11.22;11.03;11.03;11.12;13795790;0
06.09.2017;00:00;11.07;11.60;10.87;10.98;11.24;36758888;0
07.09.2017;00:00;10.88;10.93;10.77;10.79;10.85;11513440;0
10.09.2017;00:00;10.90;11.14;10.80;10.80;10.97;16530200;0
11.09.2017;00:00;10.83;10.92;10.47;10.47;10.70;10954240;0
12.09.2017;00:00;10.55;10.63;10.02;10.06;10.33;15957820;0
13.09.2017;00:00;10.14;10.23;10.12;10.14;10.17;6980414;0
14.09.2017;00:00;10.17;11.13;10.12;10.44;10.62;63412100;0
17.09.2017;00:00;10.51;10.55;10.17;10.20;10.36;8495198;0
18.09.2017;00:00;10.22;10.52;9.84;9.93;10.18;11744960;0
19.09.2017;00:00;10.12;10.50;10.01;10.17;10.26;12291370;0
20.09.2017;00:00;10.18;10.24;10.12;10.13;10.18;3329350;0
21.09.2017;00:00;10.19;10.27;10.10;10.14;10.19;4751531;0
24.09.2017;00:00;10.15;10.29;10.12;10.14;10.20;4631449;0
25.09.2017;00:00;10.16;10.40;10.14;10.19;10.27;11481360;0
26.09.2017;00:00;10.18;10.42;10.16;10.32;10.29;9303231;0
01.10.2017;00:00;10.39;10.42;10.14;10.15;10.28;7621599;0
02.10.2017;00:00;10.15;10.22;10.06;10.08;10.14;2756439;0
05.10.2017;00:00;10.10;10.24;10.07;10.17;10.15;3359663;0
06.10.2017;00:00;10.20;10.39;10.15;10.32;10.27;14329270;0
07.10.2017;00:00;10.34;10.38;10.23;10.25;10.30;4170496;0
08.10.2017;00:00;10.25;10.32;10.20;10.20;10.26;2361785;0
09.10.2017;00:00;10.20;10.25;10.12;10.16;10.18;2239301;0
12.10.2017;00:00;10.19;10.30;10.18;10.30;10.24;4927170;0
13.10.2017;00:00;10.29;10.30;10.19;10.19;10.24;2942981;0
14.10.2017;00:00;10.19;10.22;10.11;10.12;10.16;3475983;0
15.10.2017;00:00;10.15;10.20;10.09;10.09;10.14;2434210;0
16.10.2017;00:00;10.09;10.15;10.06;10.10;10.11;2641114;0
19.10.2017;00:00;10.10;10.14;10.07;10.08;10.11;2608133;0
20.10.2017;00:00;10.10;10.50;10.09;10.32;10.30;18109380;0
21.10.2017;00:00;10.36;10.73;10.33;10.71;10.53;24767590;0
22.10.2017;00:00;10.72;11.05;10.72;10.75;10.89;13794180;0
23.10.2017;00:00;10.62;10.80;10.36;10.72;10.58;9964434;0
26.10.2017;00:00;10.89;10.89;10.59;10.60;10.74;4501835;0
27.10.2017;00:00;10.63;10.71;10.36;10.46;10.53;6865442;0
28.10.2017;00:00;10.46;10.53;10.35;10.39;10.44;7164723;0
29.10.2017;00:00;10.47;10.52;10.37;10.39;10.45;4768826;0
30.10.2017;00:00;10.42;10.46;10.18;10.19;10.32;8221470;0
03.11.2017;00:00;10.21;10.24;10.12;10.12;10.18;2986990;0
04.11.2017;00:00;10.13;10.17;10.09;10.11;10.13;3416462;0
05.11.2017;00:00;10.11;10.14;9.98;10.00;10.06;4522351;0
06.11.2017;00:00;10.01;10.10;9.99;10.05;10.05;3560053;0
07.11.2017;00:00;10.02;10.22;10.02;10.19;10.12;2935787;0
10.11.2017;00:00;10.20;10.23;9.98;9.98;10.10;4011553;0
11.11.2017;00:00;10.02;10.05;9.41;9.57;9.73;3932744;0
12.11.2017;00:00;9.57;9.67;8.49;9.19;9.08;5595307;0
13.11.2017;00:00;9.14;9.81;8.92;9.48;9.37;14691350;0
14.11.2017;00:00;9.57;9.63;9.38;9.63;9.51;5326907;0
17.11.2017;00:00;9.63;9.95;9.62;9.82;9.78;7095522;0
18.11.2017;00:00;9.84;9.93;9.33;9.33;9.63;6219197;0
19.11.2017;00:00;9.33;9.57;9.20;9.54;9.38;4807846;0
20.11.2017;00:00;9.55;9.83;9.49;9.67;9.66;13305870;0
21.11.2017;00:00;9.69;9.76;9.61;9.70;9.68;3121692;0
25.11.2017;00:00;9.71;9.76;9.63;9.68;9.70;3025670;0
26.11.2017;00:00;9.68;9.74;9.49;9.49;9.61;3815698;0
27.11.2017;00:00;9.51;9.64;9.42;9.50;9.53;2000614;0
28.11.2017;00:00;9.51;9.58;9.49;9.52;9.53;1325839;0
01.12.2017;00:00;9.57;9.57;9.24;9.38;9.40;2478719;0
05.12.2017;00:00;9.22;9.49;9.22;9.23;9.36;3718420;0
06.12.2017;00:00;9.26;9.28;9.11;9.20;9.19;1129429;0
07.12.2017;00:00;9.18;9.28;9.03;9.12;9.15;1271708;0
10.12.2017;00:00;9.11;9.11;8.96;9.00;9.03;899713;0
11.12.2017;00:00;9.00;9.05;8.70;8.82;8.88;1414558;0
12.12.2017;00:00;8.82;9.06;8.45;8.77;8.76;1974043;0
13.12.2017;00:00;8.80;8.85;8.68;8.78;8.77;965813;0
14.12.2017;00:00;8.79;8.82;8.73;8.76;8.77;977392;0
