Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;12.86;12.89;12.82;12.85;12.86;3989589;0
24.08.2025;11:30;12.85;12.93;12.84;12.90;12.88;3235419;0
24.08.2025;11:45;12.91;12.98;12.90;12.95;12.94;9268684;0
24.08.2025;12:00;12.95;12.99;12.93;12.96;12.96;5234211;0
24.08.2025;12:15;12.97;13.03;12.96;12.97;12.99;4043831;0
24.08.2025;12:30;12.97;13.00;12.92;12.97;12.96;5000245;0
24.08.2025;12:45;12.97;12.97;12.95;12.96;12.96;2634704;0
24.08.2025;13:00;12.96;13.02;12.92;13.02;12.97;10614718;0
24.08.2025;13:15;13.02;13.07;12.94;12.96;13.00;9819177;0
24.08.2025;13:30;12.96;12.96;12.90;12.91;12.93;4577764;0
24.08.2025;13:45;12.92;12.96;12.91;12.94;12.93;2902471;0
24.08.2025;14:00;12.95;12.95;12.77;12.90;12.86;11656199;0
24.08.2025;14:15;12.90;12.94;12.89;12.92;12.91;5823523;0
24.08.2025;14:30;12.92;12.98;12.90;12.95;12.94;5387549;0
24.08.2025;14:45;12.95;12.97;12.92;12.95;12.94;2050405;0
24.08.2025;15:00;12.95;13.01;12.93;13.01;12.97;4689275;0
24.08.2025;15:15;13.00;13.02;12.97;13.00;13.00;7962174;0
24.08.2025;15:30;13.00;13.03;12.97;13.02;13.00;4096971;0
24.08.2025;15:45;13.02;13.02;12.97;12.97;13.00;1803874;0
24.08.2025;16:00;12.98;13.06;12.97;13.02;13.01;5901095;0
24.08.2025;16:15;13.03;13.05;12.99;13.02;13.02;2821752;0
24.08.2025;16:30;13.02;13.06;13.02;13.05;13.04;1859272;0
24.08.2025;16:45;13.04;13.32;12.96;13.05;13.14;71096499;0
24.08.2025;17:00;13.06;13.23;13.02;13.05;13.13;30144288;0
24.08.2025;17:15;13.05;13.13;12.97;13.02;13.05;8746748;0
24.08.2025;17:30;13.00;13.03;12.93;12.97;12.98;11147335;0
24.08.2025;17:45;12.97;13.00;12.85;12.87;12.93;13886057;0
24.08.2025;18:00;12.87;12.90;12.80;12.80;12.85;5947913;0
27.08.2025;10:00;12.52;12.73;12.45;12.73;12.59;19025576;0
27.08.2025;10:15;12.74;12.76;12.67;12.69;12.71;8766049;0
27.08.2025;10:30;12.69;12.72;12.56;12.58;12.64;6444498;0
27.08.2025;10:45;12.58;12.59;12.51;12.54;12.55;4455521;0
