Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;52.65;52.80;52.60;52.80;52.70;23889248;0
24.08.2025;11:30;52.75;52.95;52.65;52.70;52.80;22626929;0
24.08.2025;11:45;52.70;52.85;52.60;52.70;52.72;28404099;0
24.08.2025;12:00;52.70;53.00;52.65;52.80;52.83;47725294;0
24.08.2025;12:15;52.85;52.90;52.75;52.85;52.83;8142766;0
24.08.2025;12:30;52.85;52.95;52.75;52.90;52.85;21974827;0
24.08.2025;12:45;52.85;52.90;52.75;52.90;52.83;9944790;0
24.08.2025;13:00;52.85;53.00;52.85;53.00;52.92;24951986;0
24.08.2025;13:15;53.00;53.05;52.85;52.95;52.95;25943491;0
24.08.2025;13:30;52.95;53.05;52.95;53.05;53.00;16466162;0
24.08.2025;13:45;53.00;53.15;52.95;53.05;53.05;41900423;0
24.08.2025;14:00;53.05;53.05;52.65;52.90;52.85;88762370;0
24.08.2025;14:15;52.90;52.95;52.75;52.80;52.85;23896273;0
24.08.2025;14:30;52.85;53.05;52.80;52.95;52.92;43660156;0
24.08.2025;14:45;52.95;53.00;52.75;52.80;52.88;37834811;0
24.08.2025;15:00;52.85;52.90;52.80;52.85;52.85;26668666;0
24.08.2025;15:15;52.85;53.00;52.70;52.95;52.85;26058561;0
24.08.2025;15:30;52.95;53.25;52.75;53.20;53.00;47794566;0
24.08.2025;15:45;53.15;53.20;53.00;53.10;53.10;20447670;0
24.08.2025;16:00;53.10;53.40;53.10;53.35;53.25;43670929;0
24.08.2025;16:15;53.35;53.35;53.05;53.20;53.20;23555660;0
24.08.2025;16:30;53.15;53.30;53.05;53.10;53.17;41941087;0
24.08.2025;16:45;53.10;53.70;52.85;53.35;53.27;223322841;0
24.08.2025;17:00;53.35;53.75;53.25;53.30;53.50;78552754;0
24.08.2025;17:15;53.30;53.45;53.10;53.20;53.27;45011374;0
24.08.2025;17:30;53.20;53.25;52.80;52.85;53.02;44209837;0
24.08.2025;17:45;52.85;53.05;52.65;52.95;52.85;63498380;0
24.08.2025;18:00;52.95;53.05;52.90;52.90;52.98;41763889;0
27.08.2025;10:00;52.40;52.40;51.60;52.25;52.00;85569074;0
27.08.2025;10:15;52.30;52.35;51.95;52.20;52.15;31781198;0
27.08.2025;10:30;52.15;52.30;51.80;51.80;52.05;28814352;0
27.08.2025;10:45;51.85;51.95;51.50;51.60;51.73;42502467;0
27.08.2025;11:00;51.60;51.75;51.30;51.65;51.52;26374493;0
27.08.2025;11:15;51.65;51.75;51.45;51.55;51.60;14700527;0
27.08.2025;11:30;51.55;51.65;51.45;51.55;51.55;9736649;0
27.08.2025;11:45;51.55;51.70;51.50;51.60;51.60;15852700;0
27.08.2025;12:00;51.60;52.05;51.55;51.85;51.80;32866396;0
27.08.2025;12:15;51.85;51.95;51.80;51.80;51.88;6265572;0
27.08.2025;12:30;51.85;51.85;51.65;51.75;51.75;11436450;0
27.08.2025;12:45;51.80;52.00;51.75;52.00;51.88;7127641;0
27.08.2025;13:00;52.00;52.00;51.70;51.75;51.85;9039019;0
27.08.2025;13:15;51.75;51.75;51.50;51.55;51.62;14394076;0
27.08.2025;13:30;51.55;51.70;51.50;51.60;51.60;12742272;0
27.08.2025;13:45;51.60;51.60;51.25;51.40;51.42;55337979;0
27.08.2025;14:00;51.45;51.50;51.25;51.35;51.38;21013148;0
27.08.2025;14:15;51.35;51.50;51.05;51.10;51.27;48519268;0
27.08.2025;14:30;51.10;51.35;50.95;51.00;51.15;34355635;0
27.08.2025;14:45;51.00;51.15;50.90;51.00;51.03;28778527;0
27.08.2025;15:00;51.00;51.15;50.95;51.10;51.05;22188221;0
27.08.2025;15:15;51.10;51.30;51.00;51.15;51.15;21290063;0
27.08.2025;15:30;51.15;51.20;51.05;51.10;51.12;9404191;0
27.08.2025;15:45;51.10;51.15;50.75;51.10;50.95;30939708;0
27.08.2025;16:00;51.10;51.35;50.95;51.20;51.15;39033336;0
27.08.2025;16:15;51.20;51.40;51.05;51.30;51.23;25548936;0
27.08.2025;16:30;51.30;51.30;51.05;51.05;51.17;25176406;0
27.08.2025;16:45;51.05;51.20;50.90;51.20;51.05;34267937;0
27.08.2025;17:00;51.20;51.30;51.05;51.20;51.17;22542422;0
27.08.2025;17:15;51.20;51.35;51.05;51.20;51.20;30823490;0
27.08.2025;17:30;51.20;51.25;51.00;51.15;51.12;30569571;0
27.08.2025;17:45;51.15;51.20;50.95;51.10;51.08;25852563;0
27.08.2025;18:00;51.10;51.10;50.95;51.10;51.02;52863067;0
28.08.2025;10:00;51.25;51.45;51.10;51.10;51.27;61000487;0
28.08.2025;10:15;51.15;51.30;50.90;51.15;51.10;67271489;0
28.08.2025;10:30;51.15;51.15;50.80;50.85;50.98;66419004;0
28.08.2025;10:45;50.85;50.95;50.65;50.70;50.80;38059144;0
28.08.2025;11:00;50.70;50.75;50.60;50.65;50.67;22020996;0
28.08.2025;11:15;50.65;50.70;50.40;50.45;50.55;58473189;0
28.08.2025;11:30;50.45;50.55;50.35;50.50;50.45;26747626;0
28.08.2025;11:45;50.50;50.55;50.35;50.40;50.45;18586170;0
28.08.2025;12:00;50.40;50.55;50.35;50.45;50.45;19577687;0
28.08.2025;12:15;50.45;50.50;50.40;50.50;50.45;10847293;0
28.08.2025;12:30;50.50;51.25;50.45;51.15;50.85;100408051;0
28.08.2025;12:45;51.15;51.20;50.75;50.80;50.98;38944737;0
28.08.2025;13:00;50.75;50.95;50.75;50.85;50.85;12830482;0
