Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;2.39;2.39;2.39;2.39;2.39;617425;0
27.02.2024;10:05;2.39;2.46;2.39;2.45;2.43;36352352;0
27.02.2024;11:05;2.45;2.49;2.45;2.47;2.47;20154150;0
27.02.2024;12:05;2.47;2.48;2.46;2.48;2.47;5623942;0
27.02.2024;13:05;2.48;2.48;2.46;2.47;2.47;5498512;0
27.02.2024;14:05;2.47;2.50;2.47;2.49;2.48;7240951;0
27.02.2024;15:05;2.49;2.50;2.48;2.50;2.49;15187370;0
27.02.2024;16:05;2.50;2.54;2.49;2.52;2.52;30529370;0
27.02.2024;17:05;2.52;2.54;2.52;2.53;2.53;19323360;0
27.02.2024;18:05;2.54;2.54;2.54;2.54;2.54;760267;0
01.03.2024;09:05;2.54;2.54;2.54;2.54;2.54;476169;0
01.03.2024;10:05;2.54;2.58;2.53;2.57;2.55;28157990;0
01.03.2024;11:05;2.57;2.60;2.56;2.57;2.58;18592220;0
01.03.2024;12:05;2.57;2.58;2.56;2.58;2.57;8632453;0
01.03.2024;13:05;2.58;2.59;2.58;2.59;2.59;6931255;0
01.03.2024;14:05;2.59;2.61;2.58;2.59;2.60;9846336;0
01.03.2024;15:05;2.59;2.59;2.58;2.59;2.59;4545940;0
01.03.2024;16:05;2.59;2.62;2.59;2.62;2.61;13136600;0
01.03.2024;17:05;2.62;2.64;2.61;2.63;2.63;16840330;0
01.03.2024;18:05;2.63;2.63;2.63;2.63;2.63;1261428;0
02.03.2024;09:05;2.64;2.64;2.64;2.64;2.64;350422;0
02.03.2024;10:05;2.64;2.65;2.62;2.63;2.63;18700690;0
02.03.2024;11:05;2.64;2.68;2.63;2.67;2.65;14958670;0
02.03.2024;12:05;2.67;2.68;2.65;2.66;2.66;12013370;0
08.03.2024;09:05;2.62;2.62;2.62;2.62;2.62;2226664;0
08.03.2024;10:05;2.62;2.65;2.58;2.65;2.62;39822500;0
08.03.2024;11:05;2.65;2.71;2.65;2.67;2.68;32611330;0
08.03.2024;12:05;2.67;2.73;2.66;2.71;2.69;22258460;0
08.03.2024;13:05;2.71;2.75;2.68;2.72;2.72;29317270;0
08.03.2024;14:05;2.72;2.73;2.70;2.72;2.71;15040930;0
08.03.2024;15:05;2.72;2.72;2.68;2.69;2.70;8633730;0
08.03.2024;16:05;2.69;2.72;2.69;2.71;2.70;9603690;0
08.03.2024;17:05;2.71;2.71;2.69;2.70;2.70;14339230;0
08.03.2024;18:05;2.70;2.70;2.70;2.70;2.70;1927179;0
09.03.2024;09:05;2.69;2.69;2.69;2.69;2.69;590963;0
09.03.2024;10:05;2.69;2.69;2.60;2.61;2.65;39588720;0
09.03.2024;11:05;2.61;2.62;2.60;2.60;2.61;10926370;0
09.03.2024;12:05;2.60;2.64;2.60;2.62;2.62;21269900;0
09.03.2024;13:05;2.62;2.63;2.61;2.63;2.62;7855617;0
09.03.2024;14:05;2.63;2.71;2.63;2.71;2.67;40269680;0
09.03.2024;15:05;2.71;2.71;2.66;2.66;2.68;25435420;0
09.03.2024;16:05;2.66;2.68;2.64;2.65;2.66;17992810;0
09.03.2024;17:05;2.65;2.71;2.64;2.71;2.68;53791880;0
09.03.2024;18:05;2.72;2.72;2.72;2.72;2.72;5986540;0
10.03.2024;09:05;2.72;2.72;2.72;2.72;2.72;1706375;0
10.03.2024;10:05;2.72;2.74;2.71;2.73;2.72;47560152;0
10.03.2024;11:05;2.73;2.74;2.70;2.71;2.72;26701830;0
10.03.2024;12:05;2.71;2.71;2.67;2.68;2.69;22797910;0
10.03.2024;13:05;2.68;2.69;2.67;2.68;2.68;10824570;0
10.03.2024;14:05;2.68;2.68;2.67;2.67;2.68;9323175;0
10.03.2024;15:05;2.67;2.68;2.64;2.64;2.66;13178740;0
10.03.2024;16:05;2.65;2.68;2.64;2.66;2.66;14936670;0
10.03.2024;17:05;2.66;2.66;2.64;2.65;2.65;20625950;0
10.03.2024;18:05;2.64;2.64;2.64;2.64;2.64;3696318;0
11.03.2024;09:05;2.65;2.65;2.65;2.65;2.65;412525;0
11.03.2024;10:05;2.65;2.67;2.64;2.65;2.66;22937110;0
11.03.2024;11:05;2.65;2.68;2.64;2.65;2.66;20011710;0
11.03.2024;12:05;2.65;2.67;2.64;2.66;2.65;15577080;0
