Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;14:05;35.97;36.72;35.77;36.30;36.25;5110551;0
26.02.2024;15:05;36.30;36.30;35.13;35.16;35.72;2571502;0
26.02.2024;16:05;35.13;35.30;34.60;34.71;34.95;2954164;0
26.02.2024;17:05;34.79;35.77;34.60;35.24;35.18;3399171;0
26.02.2024;18:05;35.41;35.41;35.41;35.41;35.41;219651;0
27.02.2024;09:05;35.30;35.30;35.30;35.30;35.30;62469;0
27.02.2024;10:05;35.30;36.30;35.21;35.83;35.76;4330641;0
27.02.2024;11:05;35.86;36.14;35.80;35.83;35.97;1015596;0
27.02.2024;12:05;35.83;35.83;35.60;35.77;35.72;1155288;0
27.02.2024;13:05;35.77;36.08;35.69;35.83;35.88;856638;0
27.02.2024;14:05;35.83;36.97;35.83;36.50;36.40;3664664;0
27.02.2024;15:05;36.36;36.72;36.28;36.50;36.50;1094392;0
27.02.2024;16:05;36.44;37.14;36.42;36.86;36.78;2171388;0
27.02.2024;17:05;36.86;37.51;36.64;37.34;37.07;2454159;0
27.02.2024;18:05;36.92;36.92;36.92;36.92;36.92;166320;0
01.03.2024;09:05;37.23;37.23;37.23;37.23;37.23;174361;0
01.03.2024;10:05;37.23;39.88;37.03;39.46;38.46;6709719;0
01.03.2024;11:05;39.27;39.72;38.43;38.71;39.07;4778968;0
01.03.2024;12:05;38.68;38.88;38.43;38.85;38.65;2662467;0
01.03.2024;13:05;38.82;39.07;38.74;38.76;38.90;1442145;0
01.03.2024;14:05;38.76;39.72;38.65;39.16;39.18;3669811;0
01.03.2024;15:05;39.16;39.58;38.88;39.38;39.23;1281134;0
01.03.2024;16:05;39.49;39.55;39.27;39.55;39.41;1108858;0
01.03.2024;17:05;39.38;40.08;38.93;38.93;39.51;6513429;0
01.03.2024;18:05;39.60;39.60;39.60;39.60;39.60;531000;0
02.03.2024;09:05;39.63;39.63;39.63;39.63;39.63;131781;0
02.03.2024;10:05;39.80;40.69;38.96;40.30;39.83;4736951;0
02.03.2024;11:05;40.44;41.28;40.05;40.89;40.67;6648532;0
02.03.2024;12:05;41.23;41.23;40.64;41.00;40.93;1392910;0
08.03.2024;09:05;40.55;40.55;40.55;40.55;40.55;270425;0
08.03.2024;10:05;40.55;41.39;39.49;41.11;40.44;9407760;0
08.03.2024;11:05;41.11;41.53;40.50;40.78;41.02;5364619;0
08.03.2024;12:05;40.78;41.62;40.61;41.34;41.11;6148642;0
08.03.2024;13:05;41.34;41.70;41.09;41.56;41.39;3559493;0
08.03.2024;14:05;41.53;41.76;41.34;41.76;41.55;1447729;0
08.03.2024;15:05;41.62;42.23;41.37;41.53;41.80;2506929;0
08.03.2024;16:05;41.53;41.73;41.28;41.62;41.51;1519497;0
08.03.2024;17:05;41.45;41.93;41.25;41.53;41.59;2267460;0
08.03.2024;18:05;41.98;41.98;41.98;41.98;41.98;207889;0
09.03.2024;09:05;41.45;41.45;41.45;41.45;41.45;79287;0
09.03.2024;10:05;41.45;42.01;39.58;39.72;40.79;13807010;0
09.03.2024;11:05;39.72;40.05;38.85;39.10;39.45;8739400;0
09.03.2024;12:05;39.10;39.27;38.51;38.63;38.89;7191334;0
09.03.2024;13:05;38.63;38.74;38.26;38.60;38.50;5959547;0
09.03.2024;14:05;38.60;39.30;38.26;38.68;38.78;5222850;0
09.03.2024;15:05;38.68;38.71;38.04;38.09;38.37;6109524;0
09.03.2024;16:05;38.07;38.21;37.79;37.79;38.00;13960570;0
09.03.2024;17:05;37.79;38.01;37.79;37.81;37.90;11688040;0
09.03.2024;18:05;37.79;37.79;37.79;37.79;37.79;87140;0
10.03.2024;09:05;38.76;38.76;38.76;38.76;38.76;336798;0
10.03.2024;10:05;38.60;38.60;37.76;38.18;38.18;6415261;0
10.03.2024;11:05;38.09;38.49;37.70;37.76;38.09;10279180;0
10.03.2024;12:05;37.84;38.21;37.79;37.93;38.00;5017099;0
10.03.2024;13:05;37.95;38.01;37.03;37.45;37.52;4304912;0
10.03.2024;14:05;37.48;37.51;37.09;37.20;37.30;2801947;0
10.03.2024;15:05;37.17;37.42;36.84;36.84;37.13;3273705;0
10.03.2024;16:05;36.92;37.20;36.75;36.75;36.97;1197897;0
10.03.2024;17:05;36.75;37.20;36.11;36.36;36.65;13345150;0
10.03.2024;18:05;36.30;36.30;36.30;36.30;36.30;357599;0
11.03.2024;09:05;36.86;36.86;36.86;36.86;36.86;92919;0
11.03.2024;10:05;36.70;37.09;36.47;36.53;36.78;4183721;0
11.03.2024;11:05;36.53;37.25;36.25;36.36;36.75;5955585;0
11.03.2024;12:05;36.39;36.58;35.07;35.24;35.83;14224460;0
11.03.2024;13:05;35.16;35.66;34.77;35.05;35.21;6619678;0
11.03.2024;14:05;34.96;35.07;34.26;34.88;34.67;12626540;0
11.03.2024;15:05;34.88;34.91;34.54;34.71;34.72;4009149;0
11.03.2024;16:05;34.71;34.91;34.15;34.37;34.53;5447321;0
11.03.2024;17:05;34.32;34.57;33.79;34.26;34.18;12317640;0
11.03.2024;18:05;34.12;34.12;34.12;34.12;34.12;301950;0
12.03.2024;09:05;33.90;33.90;33.90;33.90;33.90;92718;0
12.03.2024;10:05;33.90;34.91;33.56;34.12;34.23;10307160;0
12.03.2024;11:05;34.18;34.26;33.65;34.09;33.95;5909286;0
12.03.2024;12:05;34.07;34.32;33.84;34.29;34.08;3577034;0
12.03.2024;13:05;34.23;34.74;34.12;34.63;34.43;4304885;0
12.03.2024;14:05;34.60;34.68;33.53;34.15;34.11;8565184;0
12.03.2024;15:05;34.15;34.51;34.09;34.46;34.30;3135230;0
12.03.2024;16:05;34.46;34.46;34.04;34.21;34.25;2385023;0
12.03.2024;17:05;34.12;35.07;34.12;35.07;34.60;5883928;0
12.03.2024;18:05;35.38;35.38;35.38;35.38;35.38;606568;0
15.03.2024;09:05;35.46;35.46;35.46;35.46;35.46;155964;0
15.03.2024;10:05;35.46;36.08;34.26;35.41;35.17;6175265;0
15.03.2024;11:05;35.41;35.69;35.21;35.46;35.45;2312735;0
15.03.2024;12:05;35.60;35.63;35.18;35.46;35.41;1201625;0
15.03.2024;13:05;35.46;35.69;35.07;35.52;35.38;1680670;0
15.03.2024;14:05;35.52;35.66;34.79;34.96;35.23;2627609;0
15.03.2024;15:05;34.96;35.21;34.85;34.93;35.03;1445875;0
15.03.2024;16:05;34.99;35.24;34.74;34.96;34.99;1457472;0
15.03.2024;17:05;34.96;35.21;34.77;34.99;34.99;5179106;0
15.03.2024;18:05;35.07;35.07;35.07;35.07;35.07;123519;0
17.03.2024;09:05;35.07;35.07;35.07;35.07;35.07;337326;0
17.03.2024;10:05;35.21;35.91;34.88;35.41;35.39;5954953;0
17.03.2024;11:05;35.52;35.72;35.10;35.41;35.41;2744948;0
17.03.2024;12:05;35.30;35.55;35.24;35.35;35.39;3125053;0
17.03.2024;13:05;35.27;35.27;34.63;34.63;34.95;3887730;0
17.03.2024;14:05;34.63;35.30;34.57;34.91;34.93;3278815;0
17.03.2024;15:05;34.85;34.96;34.68;34.93;34.82;1196655;0
17.03.2024;16:05;34.91;35.16;34.77;34.99;34.96;1023732;0
17.03.2024;17:05;35.07;35.24;34.96;35.13;35.10;1160168;0
17.03.2024;18:05;35.13;35.13;35.13;35.13;35.13;168304;0
18.03.2024;09:05;35.13;35.13;35.13;35.13;35.13;37052;0
18.03.2024;10:05;35.13;35.49;34.79;34.85;35.14;2657049;0
18.03.2024;11:05;34.85;35.27;34.74;34.85;35.00;1319691;0
18.03.2024;12:05;35.02;35.07;34.85;35.07;34.96;1452039;0
18.03.2024;13:05;35.16;35.63;34.99;35.60;35.31;2802356;0
18.03.2024;14:05;35.60;36.14;35.16;35.24;35.65;6981267;0
18.03.2024;15:05;35.24;35.30;34.96;35.10;35.13;2318544;0
18.03.2024;16:05;35.02;35.13;34.68;34.82;34.91;2741125;0
18.03.2024;17:05;34.82;35.38;34.82;35.30;35.10;3021278;0
18.03.2024;18:05;35.38;35.38;35.38;35.38;35.38;394680;0
19.03.2024;09:05;35.55;35.55;35.55;35.55;35.55;127736;0
19.03.2024;10:05;35.55;35.72;34.91;35.24;35.31;5298947;0
19.03.2024;11:05;35.24;35.35;35.07;35.13;35.21;3096438;0
19.03.2024;12:05;35.13;35.74;35.10;35.44;35.42;4341721;0
19.03.2024;13:05;35.44;36.02;35.44;35.74;35.73;5761036;0
19.03.2024;14:05;35.74;36.22;35.72;35.88;35.97;3804018;0
19.03.2024;15:05;35.88;36.97;35.88;36.61;36.43;8465160;0
19.03.2024;16:05;36.61;36.70;36.14;36.36;36.42;4006059;0
19.03.2024;17:05;36.36;36.36;35.80;35.80;36.08;12383960;0
19.03.2024;18:05;35.83;35.83;35.83;35.83;35.83;343949;0
22.03.2024;09:05;35.91;35.91;35.91;35.91;35.91;60348;0
22.03.2024;10:05;36.05;36.16;35.49;35.72;35.83;5976780;0
22.03.2024;11:05;35.72;35.80;35.46;35.63;35.63;1802736;0
22.03.2024;12:05;35.60;35.74;35.52;35.58;35.63;1795562;0
22.03.2024;13:05;35.55;35.77;35.55;35.63;35.66;1166080;0
