Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;9.26;9.28;9.25;9.26;9.26;906347;0
24.08.2025;11:30;9.26;9.29;9.26;9.27;9.28;813968;0
24.08.2025;11:45;9.27;9.30;9.26;9.28;9.28;1248796;0
24.08.2025;12:00;9.28;9.30;9.27;9.29;9.29;734367;0
24.08.2025;12:15;9.29;9.29;9.26;9.28;9.28;857928;0
24.08.2025;12:30;9.28;9.29;9.26;9.27;9.28;1474167;0
24.08.2025;12:45;9.27;9.27;9.24;9.24;9.26;2531282;0
24.08.2025;13:00;9.25;9.27;9.24;9.27;9.26;498583;0
24.08.2025;13:15;9.27;9.28;9.24;9.25;9.26;1189323;0
24.08.2025;13:30;9.26;9.27;9.24;9.27;9.26;878414;0
24.08.2025;13:45;9.28;9.28;9.26;9.27;9.27;335706;0
24.08.2025;14:00;9.27;9.27;9.22;9.26;9.25;2743443;0
24.08.2025;14:15;9.25;9.26;9.24;9.25;9.25;1065604;0
24.08.2025;14:30;9.26;9.27;9.24;9.27;9.26;1051179;0
24.08.2025;14:45;9.28;9.29;9.24;9.24;9.26;1839925;0
24.08.2025;15:00;9.24;9.26;9.23;9.25;9.24;1239896;0
24.08.2025;15:15;9.25;9.26;9.23;9.25;9.24;656533;0
24.08.2025;15:30;9.25;9.28;9.23;9.25;9.25;921955;0
24.08.2025;15:45;9.25;9.26;9.23;9.25;9.24;704080;0
24.08.2025;16:00;9.25;9.26;9.24;9.25;9.25;1733276;0
24.08.2025;16:15;9.25;9.25;9.22;9.24;9.24;879150;0
24.08.2025;16:30;9.24;9.31;9.23;9.31;9.27;3476638;0
24.08.2025;16:45;9.31;9.37;9.26;9.35;9.32;10183366;0
24.08.2025;17:00;9.35;9.41;9.31;9.34;9.36;13646739;0
24.08.2025;17:15;9.33;9.35;9.29;9.34;9.32;3062640;0
24.08.2025;17:30;9.33;9.35;9.30;9.32;9.33;3297624;0
24.08.2025;17:45;9.32;9.35;9.29;9.32;9.32;3153397;0
24.08.2025;18:00;9.32;9.34;9.26;9.26;9.30;3392150;0
27.08.2025;10:00;9.12;9.15;8.96;9.14;9.05;9738734;0
