Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;10:30;499.25;501.00;498.75;499.50;499.88;1766789;0
24.08.2025;10:45;499.50;502.50;497.25;498.50;499.88;2503971;0
24.08.2025;11:00;498.50;500.50;498.00;500.50;499.25;363317;0
24.08.2025;11:15;500.50;501.00;499.00;499.75;500.00;819419;0
24.08.2025;11:30;499.75;501.00;498.50;501.00;499.75;1543941;0
24.08.2025;11:45;501.00;502.00;499.25;501.00;500.62;3501777;0
24.08.2025;12:00;502.00;504.50;500.00;501.50;502.25;2541803;0
24.08.2025;12:15;501.50;502.00;499.50;502.00;500.75;1850717;0
24.08.2025;12:30;501.00;502.50;500.00;501.50;501.25;2089737;0
24.08.2025;12:45;501.00;501.50;500.50;501.50;501.00;730382;0
24.08.2025;13:00;501.00;501.50;500.50;501.50;501.00;705747;0
24.08.2025;13:15;501.00;502.50;501.00;502.00;501.75;658881;0
24.08.2025;13:30;502.00;502.00;500.00;500.00;501.00;451052;0
24.08.2025;13:45;500.00;503.00;500.00;502.00;501.50;1489615;0
24.08.2025;14:00;502.00;502.50;500.50;502.50;501.50;1099912;0
24.08.2025;14:15;502.00;503.50;501.00;501.50;502.25;1219203;0
24.08.2025;14:30;502.00;502.00;500.00;500.00;501.00;1444715;0
24.08.2025;14:45;500.00;500.00;498.75;500.00;499.38;1777849;0
24.08.2025;15:00;499.50;501.50;498.75;499.50;500.12;1678817;0
24.08.2025;15:15;499.50;501.50;498.75;501.50;500.12;1291009;0
24.08.2025;15:30;501.50;501.50;499.25;501.50;500.38;4085438;0
24.08.2025;15:45;501.50;505.50;501.50;504.00;503.50;4041371;0
24.08.2025;16:00;504.00;504.50;503.00;503.50;503.75;1603653;0
24.08.2025;16:15;504.00;504.50;502.50;503.00;503.50;2332336;0
24.08.2025;16:30;503.50;504.00;502.50;504.00;503.25;563258;0
24.08.2025;16:45;503.50;505.00;503.00;504.00;504.00;5037606;0
24.08.2025;17:00;504.50;505.00;502.00;502.00;503.50;3913151;0
