Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.11;0.11;0.10;0.10;0.10;3955487;0
08.05.2005;00:00;0.10;0.11;0.10;0.11;0.10;4913465;0
09.05.2005;00:00;0.11;0.11;0.11;0.11;0.11;3422429;0
10.05.2005;00:00;0.11;0.11;0.10;0.11;0.10;3299468;0
14.05.2005;00:00;0.11;0.11;0.10;0.10;0.10;1810584;0
15.05.2005;00:00;0.10;0.10;0.09;0.10;0.09;3804955;0
16.05.2005;00:00;0.10;0.10;0.09;0.09;0.09;2018481;0
17.05.2005;00:00;0.09;0.10;0.09;0.09;0.09;3606526;0
18.05.2005;00:00;0.09;0.10;0.09;0.09;0.09;5064734;0
21.05.2005;00:00;0.09;0.10;0.09;0.10;0.09;7681995;0
22.05.2005;00:00;0.10;0.10;0.09;0.09;0.09;3786127;0
23.05.2005;00:00;0.09;0.10;0.09;0.09;0.09;13210750;0
25.05.2005;00:00;0.09;0.10;0.09;0.10;0.09;12342470;0
26.05.2005;00:00;0.10;0.10;0.10;0.10;0.10;2959683;0
29.05.2005;00:00;0.10;0.10;0.09;0.09;0.09;2749036;0
30.05.2005;00:00;0.09;0.09;0.09;0.09;0.09;1715082;0
31.05.2005;00:00;0.09;0.10;0.09;0.09;0.09;1923876;0
01.06.2005;00:00;0.09;0.09;0.09;0.09;0.09;1297020;0
02.06.2005;00:00;0.09;0.09;0.09;0.09;0.09;2006475;0
05.06.2005;00:00;0.09;0.09;0.08;0.09;0.08;795382;0
06.06.2005;00:00;0.08;0.09;0.08;0.08;0.08;1700028;0
07.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;976271;0
08.06.2005;00:00;0.08;0.09;0.08;0.08;0.08;1955187;0
09.06.2005;00:00;0.09;0.09;0.08;0.08;0.08;2181095;0
12.06.2005;00:00;0.08;0.09;0.08;0.08;0.08;1471489;0
13.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;862759;0
14.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;1428436;0
15.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;2383895;0
16.06.2005;00:00;0.08;0.08;0.07;0.07;0.07;2034873;0
19.06.2005;00:00;0.08;0.08;0.07;0.07;0.07;1399620;0
20.06.2005;00:00;0.07;0.07;0.07;0.07;0.07;1349533;0
21.06.2005;00:00;0.07;0.07;0.07;0.07;0.07;3384065;0
22.06.2005;00:00;0.07;0.07;0.07;0.07;0.07;3020052;0
23.06.2005;00:00;0.07;0.08;0.07;0.07;0.07;6881674;0
28.06.2005;00:00;0.07;0.08;0.07;0.08;0.07;12379450;0
29.06.2005;00:00;0.08;0.08;0.07;0.08;0.07;5756384;0
30.06.2005;00:00;0.08;0.08;0.07;0.07;0.07;2328227;0
01.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;2699881;0
02.07.2005;00:00;0.07;0.08;0.07;0.07;0.07;2699989;0
05.07.2005;00:00;0.07;0.08;0.07;0.07;0.07;2690594;0
06.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;2860483;0
07.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;3004702;0
08.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;1761880;0
09.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;3872051;0
12.07.2005;00:00;0.07;0.07;0.06;0.06;0.06;2196652;0
13.07.2005;00:00;0.06;0.07;0.06;0.07;0.06;2370122;0
14.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;2602810;0
15.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;3258559;0
16.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;2485080;0
19.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;1304005;0
20.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;2051473;0
21.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;4398496;0
22.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;4393584;0
23.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;1726892;0
26.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;674571;0
28.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;1494051;0
29.07.2005;00:00;0.07;0.07;0.07;0.07;0.07;1036363;0
