Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
04.09.2025;18:00;67.43;67.60;67.37;67.45;67.49;75007448;0
05.09.2025;09:30;67.28;67.41;65.45;67.36;66.43;66222116;0
05.09.2025;09:45;67.38;67.46;67.32;67.37;67.39;22089846;0
05.09.2025;10:00;67.38;67.72;67.16;67.38;67.44;190988770;0
05.09.2025;10:15;67.37;67.45;67.13;67.40;67.29;110071512;0
05.09.2025;10:30;67.43;67.63;67.38;67.41;67.50;103477359;0
05.09.2025;10:45;67.40;67.49;67.06;67.17;67.27;130624607;0
05.09.2025;11:00;67.16;67.37;67.12;67.22;67.25;191162122;0
05.09.2025;11:15;67.22;67.31;67.12;67.22;67.22;90944182;0
05.09.2025;11:30;67.23;67.30;67.10;67.12;67.20;45052770;0
05.09.2025;11:45;67.12;67.20;67.06;67.16;67.13;38507781;0
05.09.2025;12:00;67.17;67.31;67.16;67.21;67.24;23413639;0
05.09.2025;12:15;67.21;67.23;67.10;67.15;67.17;25899653;0
05.09.2025;12:30;67.16;67.16;66.99;67.07;67.08;64366680;0
05.09.2025;12:45;67.07;67.15;67.03;67.04;67.09;26773885;0
05.09.2025;13:00;67.05;67.16;67.05;67.11;67.11;15341423;0
05.09.2025;13:15;67.12;67.32;67.09;67.22;67.20;124163356;0
05.09.2025;13:30;67.23;67.23;66.96;67.10;67.10;108771398;0
05.09.2025;13:45;67.08;67.25;67.06;67.25;67.15;27953716;0
05.09.2025;14:00;67.25;67.39;67.06;67.27;67.22;116654230;0
05.09.2025;14:15;67.29;67.84;67.29;67.74;67.56;293326467;0
05.09.2025;14:30;67.74;67.84;67.49;67.54;67.66;109889564;0
05.09.2025;14:45;67.54;67.58;67.27;67.34;67.42;74556911;0
05.09.2025;15:00;67.32;67.43;67.26;67.33;67.35;32487655;0
05.09.2025;15:15;67.33;67.45;67.33;67.40;67.39;43395569;0
05.09.2025;15:30;67.37;67.39;67.30;67.33;67.35;17811988;0
05.09.2025;15:45;67.32;67.60;67.32;67.56;67.46;66605505;0
05.09.2025;16:00;67.56;67.96;67.50;67.88;67.73;188089028;0
05.09.2025;16:15;67.89;68.17;67.88;67.98;68.02;229633046;0
