Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;55.68;55.73;54.97;55.35;55.35;15681380;0
27.02.2024;10:05;55.42;56.50;55.41;56.33;55.95;86467320;0
27.02.2024;11:05;56.33;57.00;56.09;56.87;56.55;75106320;0
27.02.2024;12:05;56.88;57.02;56.61;56.71;56.82;48488072;0
27.02.2024;13:05;56.70;56.86;56.43;56.59;56.65;28853250;0
27.02.2024;14:05;56.60;58.29;56.55;58.24;57.42;101206304;0
27.02.2024;15:05;58.28;58.78;58.04;58.58;58.41;93938368;0
27.02.2024;16:05;58.60;59.59;58.60;59.35;59.09;185479296;0
27.02.2024;17:05;59.33;60.01;59.02;59.37;59.51;114176400;0
27.02.2024;18:05;59.37;59.75;58.92;59.62;59.33;17901540;0
01.03.2024;09:05;59.33;60.19;58.52;60.15;59.35;36563480;0
01.03.2024;10:05;60.08;60.59;59.42;60.24;60.00;178660896;0
01.03.2024;11:05;60.24;60.29;59.68;59.81;59.99;51691700;0
01.03.2024;12:05;59.84;60.39;59.75;60.13;60.07;33205920;0
01.03.2024;13:05;60.13;60.23;59.99;60.10;60.11;27434630;0
01.03.2024;14:05;60.13;60.13;59.64;59.75;59.89;42195080;0
01.03.2024;15:05;59.75;60.48;59.64;60.42;60.06;38809140;0
01.03.2024;16:05;60.40;60.50;59.57;59.98;60.03;49957340;0
01.03.2024;17:05;59.96;60.27;59.80;60.06;60.03;41719980;0
01.03.2024;18:05;60.06;60.21;60.00;60.09;60.10;4992874;0
02.03.2024;09:05;60.35;60.50;59.98;60.24;60.24;10463590;0
02.03.2024;10:05;60.25;60.41;59.79;60.20;60.10;36369208;0
02.03.2024;11:05;60.19;60.37;59.92;60.14;60.14;28570320;0
02.03.2024;12:05;60.10;60.14;59.87;60.01;60.00;26083720;0
08.03.2024;09:05;60.30;61.15;60.30;60.85;60.73;40295352;0
08.03.2024;10:05;60.83;61.03;59.88;60.51;60.45;176453696;0
08.03.2024;11:05;60.52;61.30;60.51;60.90;60.90;73057088;0
08.03.2024;12:05;60.90;60.96;60.46;60.60;60.71;39652940;0
08.03.2024;13:05;60.60;60.84;60.41;60.60;60.62;39854120;0
08.03.2024;14:05;60.59;60.75;60.45;60.62;60.60;24672870;0
08.03.2024;15:05;60.62;60.63;60.13;60.32;60.38;35962968;0
08.03.2024;16:05;60.35;60.69;60.24;60.35;60.47;19336030;0
08.03.2024;17:05;60.36;60.49;59.50;59.81;60.00;65934660;0
08.03.2024;18:05;59.81;59.83;59.13;59.13;59.48;10163670;0
09.03.2024;09:05;58.96;59.00;58.25;58.91;58.62;11957890;0
09.03.2024;10:05;58.90;59.90;58.60;59.88;59.25;186392800;0
09.03.2024;11:05;59.90;60.31;59.73;60.20;60.02;119135800;0
09.03.2024;12:05;60.20;60.20;59.40;59.68;59.80;35881832;0
09.03.2024;13:05;59.72;60.15;59.57;60.10;59.86;31356660;0
09.03.2024;14:05;60.10;60.39;59.93;60.18;60.16;62054720;0
09.03.2024;15:05;60.16;60.21;59.68;59.73;59.94;16015480;0
09.03.2024;16:05;59.74;59.99;59.56;59.93;59.78;28719760;0
09.03.2024;17:05;59.93;60.38;59.77;59.86;60.08;67782920;0
09.03.2024;18:05;59.83;60.05;59.80;59.96;59.92;2931119;0
10.03.2024;09:05;60.01;60.30;59.81;60.00;60.06;8109127;0
10.03.2024;10:05;59.97;60.46;59.63;60.44;60.05;92598128;0
10.03.2024;11:05;60.44;60.52;60.01;60.13;60.26;54184440;0
10.03.2024;12:05;60.12;60.25;60.05;60.09;60.15;15938920;0
10.03.2024;13:05;60.09;60.09;59.48;59.49;59.78;46041380;0
10.03.2024;14:05;59.46;60.01;59.08;59.37;59.55;50014500;0
10.03.2024;15:05;59.35;59.44;58.93;59.07;59.18;46497912;0
10.03.2024;16:05;59.07;59.17;58.69;58.74;58.93;42265160;0
10.03.2024;17:05;58.73;59.19;58.35;58.79;58.77;61899900;0
10.03.2024;18:05;58.75;58.95;58.61;58.80;58.78;6617822;0
11.03.2024;09:05;58.90;58.99;58.60;58.72;58.80;3774343;0
11.03.2024;10:05;58.72;59.40;58.57;58.96;58.99;52391152;0
11.03.2024;11:05;58.96;59.30;58.61;58.95;58.95;32982080;0
11.03.2024;12:05;58.94;59.00;58.66;58.92;58.83;18808300;0
11.03.2024;13:05;58.91;58.94;58.60;58.66;58.77;10004360;0
11.03.2024;14:05;58.69;58.92;58.65;58.82;58.78;12883690;0
11.03.2024;15:05;58.86;59.03;58.43;58.59;58.73;42433020;0
11.03.2024;16:05;58.53;58.60;57.83;58.01;58.22;57277260;0
11.03.2024;17:05;58.00;58.69;57.73;58.63;58.21;63474768;0
11.03.2024;18:05;58.59;58.66;58.46;58.62;58.56;2835704;0
12.03.2024;09:05;58.62;59.40;58.14;58.82;58.77;24706100;0
12.03.2024;10:05;58.80;59.10;58.45;58.73;58.77;101377200;0
12.03.2024;11:05;58.71;58.78;58.55;58.60;58.66;43193820;0
12.03.2024;12:05;58.61;58.77;58.47;58.66;58.62;21229020;0
12.03.2024;13:05;58.64;58.70;57.95;57.96;58.33;46796760;0
12.03.2024;14:05;57.94;58.56;57.83;58.38;58.20;60392220;0
12.03.2024;15:05;58.38;59.36;58.37;59.13;58.86;132780896;0
12.03.2024;16:05;59.14;59.70;59.14;59.38;59.42;123029504;0
12.03.2024;17:05;59.36;59.55;59.12;59.21;59.33;72681616;0
12.03.2024;18:05;59.17;59.57;59.15;59.41;59.36;5835742;0
15.03.2024;09:05;59.80;59.84;59.07;59.73;59.45;19556120;0
15.03.2024;10:05;59.76;60.24;59.43;59.85;59.84;110280000;0
15.03.2024;11:05;59.85;60.22;59.62;59.73;59.92;56110440;0
