Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
12.03.2024;00:00;609.01;609.01;562.04;582.00;585.52;17033350;0
15.03.2024;00:00;587.46;604.55;581.01;599.43;592.78;17892070;0
17.03.2024;00:00;603.16;618.75;571.29;595.00;595.02;24853860;0
18.03.2024;00:00;596.39;600.00;585.00;597.00;592.50;21177450;0
19.03.2024;00:00;597.50;600.75;588.84;597.25;594.80;36803392;0
22.03.2024;00:00;608.77;628.87;602.46;617.50;615.67;41833080;0
23.03.2024;00:00;618.50;618.50;592.25;601.00;605.38;37186460;0
27.03.2024;00:00;621.84;643.08;621.84;638.60;632.46;86668064;0
28.03.2024;00:00;639.59;643.00;628.61;632.00;635.80;54245952;0
31.03.2024;00:00;642.00;655.00;635.13;639.10;645.07;82585312;0
01.04.2024;00:00;639.15;642.73;620.44;633.21;631.58;62578800;0
02.04.2024;00:00;639.10;640.76;626.15;633.99;633.46;62683968;0
03.04.2024;00:00;616.00;616.00;597.54;600.00;606.77;72934736;0
04.04.2024;00:00;599.43;601.24;578.38;580.55;589.81;67862760;0
07.04.2024;00:00;523.01;580.55;523.01;557.74;551.78;70669472;0
08.04.2024;00:00;558.03;565.98;552.72;558.48;559.35;70301320;0
09.04.2024;00:00;564.00;566.00;553.00;557.37;559.50;41884832;0
10.04.2024;00:00;557.43;580.00;548.62;566.04;564.31;40564208;0
11.04.2024;00:00;566.00;573.52;558.52;568.95;566.02;87488784;0
14.04.2024;00:00;568.45;575.00;563.30;564.40;569.15;63833440;0
15.04.2024;00:00;564.51;567.83;545.44;547.69;556.64;99346752;0
16.04.2024;00:00;560.00;565.00;537.13;555.74;551.07;84328672;0
17.04.2024;00:00;550.00;559.12;541.14;544.16;550.13;63125312;0
18.04.2024;00:00;540.32;548.15;524.34;524.34;536.25;55197380;0
21.04.2024;00:00;524.34;531.08;519.92;521.98;525.50;63036800;0
22.04.2024;00:00;526.82;527.98;511.70;513.68;519.84;32940140;0
23.04.2024;00:00;513.79;513.79;494.26;503.00;504.02;27318990;0
24.04.2024;00:00;506.97;506.97;495.42;502.69;501.20;40440600;0
25.04.2024;00:00;505.49;512.20;491.05;494.90;501.62;99196120;0
29.04.2024;00:00;504.89;517.50;504.89;511.34;511.20;37371720;0
30.04.2024;00:00;503.00;530.40;503.00;513.35;516.70;67029720;0
01.05.2024;00:00;517.97;521.60;489.46;498.52;505.53;54412032;0
02.05.2024;00:00;497.02;509.75;495.12;498.80;502.43;37325420;0
03.05.2024;00:00;499.00;503.25;488.64;491.90;495.95;25224100;0
06.05.2024;00:00;491.90;491.90;467.02;479.81;479.46;31737920;0
07.05.2024;00:00;480.05;485.00;468.74;477.50;476.87;36829820;0
08.05.2024;00:00;477.52;485.20;471.12;481.61;478.16;41528180;0
09.05.2024;00:00;476.62;487.61;476.62;483.19;482.11;48924112;0
10.05.2024;00:00;488.19;488.19;473.20;480.23;480.70;50486020;0
16.05.2024;00:00;485.09;498.88;480.89;491.58;489.89;39565920;0
17.05.2024;00:00;493.45;498.10;488.80;494.00;493.45;46048712;0
20.05.2024;00:00;493.55;504.00;488.75;488.99;496.38;39213860;0
21.05.2024;00:00;488.86;489.25;477.91;478.41;483.58;43511272;0
22.05.2024;00:00;485.84;485.84;459.00;459.00;472.42;47508080;0
