Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
21.09.2018;00:00;1.60;1.60;1.60;1.60;1.60;160;0
23.09.2018;00:00;1.63;1.63;1.60;1.60;1.62;1603;0
24.09.2018;00:00;1.60;1.58;1.58;1.58;1.58;790;0
25.09.2018;00:00;1.58;1.58;1.56;1.56;1.57;1728;0
30.09.2018;00:00;1.55;1.55;1.47;1.47;1.51;9554;0
01.10.2018;00:00;1.46;1.51;1.46;1.51;1.49;58649;0
05.10.2018;00:00;1.49;1.49;1.48;1.48;1.49;1483;0
06.10.2018;00:00;1.48;1.48;1.48;1.48;1.48;3700;0
07.10.2018;00:00;1.48;1.55;1.35;1.54;1.45;9023;0
08.10.2018;00:00;1.51;1.52;1.51;1.52;1.51;15150;0
09.10.2018;00:00;1.51;1.56;1.51;1.56;1.53;16351;0
12.10.2018;00:00;1.54;1.57;1.54;1.54;1.56;10645;0
13.10.2018;00:00;1.57;1.61;1.57;1.61;1.59;10176;0
14.10.2018;00:00;1.62;1.65;1.62;1.62;1.63;26987;0
15.10.2018;00:00;1.61;1.63;1.61;1.62;1.62;12296;0
20.10.2018;00:00;1.61;1.61;1.53;1.58;1.57;81117;0
23.10.2018;00:00;1.59;1.59;1.56;1.59;1.57;68681;0
24.10.2018;00:00;1.58;1.59;1.57;1.57;1.58;43020;0
25.10.2018;00:00;1.57;1.59;1.55;1.59;1.57;87730;0
26.10.2018;00:00;1.57;1.59;1.56;1.56;1.57;128664;0
27.10.2018;00:00;1.57;1.57;1.54;1.57;1.56;36430;0
30.10.2018;00:00;1.57;1.59;1.55;1.58;1.57;43968;0
31.10.2018;00:00;1.57;1.60;1.57;1.60;1.59;106174;0
01.11.2018;00:00;1.60;1.64;1.59;1.63;1.62;228216;0
02.11.2018;00:00;1.61;1.71;1.61;1.70;1.66;5778372;0
03.11.2018;00:00;1.70;1.77;1.70;1.74;1.74;2636984;0
06.11.2018;00:00;1.74;1.77;1.74;1.75;1.75;408032;0
07.11.2018;00:00;1.75;1.80;1.75;1.78;1.77;1155768;0
08.11.2018;00:00;1.78;1.82;1.69;1.71;1.76;4459114;0
09.11.2018;00:00;1.71;1.71;1.65;1.70;1.68;410460;0
10.11.2018;00:00;1.71;1.71;1.63;1.65;1.67;799624;0
13.11.2018;00:00;1.62;1.63;1.58;1.62;1.61;737516;0
14.11.2018;00:00;1.62;1.63;1.58;1.60;1.61;4858525;0
15.11.2018;00:00;1.61;1.62;1.57;1.57;1.60;940921;0
16.11.2018;00:00;1.59;1.60;1.53;1.60;1.56;1840506;0
17.11.2018;00:00;1.59;1.60;1.55;1.57;1.57;1910556;0
21.11.2018;00:00;1.54;1.58;1.51;1.55;1.55;3009299;0
22.11.2018;00:00;1.54;1.54;1.51;1.52;1.52;1831076;0
23.11.2018;00:00;1.51;1.55;1.48;1.51;1.51;3062782;0
24.11.2018;00:00;1.51;1.54;1.49;1.54;1.51;1319103;0
25.11.2018;00:00;1.54;1.56;1.52;1.53;1.54;2605592;0
28.11.2018;00:00;1.54;1.54;1.50;1.51;1.52;812395;0
29.11.2018;00:00;1.52;1.56;1.51;1.53;1.53;1979126;0
30.11.2018;00:00;1.54;1.54;1.51;1.53;1.52;965275;0
01.12.2018;00:00;1.52;1.53;1.47;1.50;1.50;2492158;0
02.12.2018;00:00;1.48;1.50;1.46;1.49;1.48;777275;0
05.12.2018;00:00;1.50;1.50;1.46;1.47;1.48;530084;0
06.12.2018;00:00;1.47;1.51;1.47;1.50;1.49;1065995;0
07.12.2018;00:00;1.51;1.54;1.49;1.51;1.51;958059;0
08.12.2018;00:00;1.51;1.53;1.48;1.50;1.50;1975474;0
09.12.2018;00:00;1.50;1.50;1.48;1.49;1.49;202188;0
12.12.2018;00:00;1.48;1.48;1.47;1.48;1.48;260074;0
14.12.2018;00:00;1.48;1.50;1.47;1.49;1.49;764741;0
15.12.2018;00:00;1.49;1.50;1.46;1.47;1.48;835164;0
16.12.2018;00:00;1.48;1.49;1.47;1.49;1.48;297947;0
19.12.2018;00:00;1.49;1.50;1.48;1.49;1.49;1273582;0
20.12.2018;00:00;1.50;1.51;1.47;1.50;1.49;2441080;0
24.12.2018;00:00;1.52;1.54;1.48;1.49;1.51;1502195;0
25.12.2018;00:00;1.49;1.49;1.47;1.48;1.48;1007007;0
28.12.2018;00:00;1.47;1.47;1.41;1.45;1.44;1635866;0
29.12.2018;00:00;1.42;1.43;1.40;1.42;1.41;1104091;0
30.12.2018;00:00;1.42;1.44;1.40;1.41;1.42;4728613;0
31.12.2018;00:00;1.42;1.42;1.37;1.38;1.39;1211334;0
