Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;1160.25;1164.00;1148.03;1163.20;1156.02;12956880;0
27.02.2024;10:05;1163.11;1164.00;1143.41;1148.39;1153.71;107296600;0
27.02.2024;11:05;1149.14;1155.28;1148.21;1154.39;1151.74;22008110;0
27.02.2024;12:05;1155.43;1158.00;1148.50;1155.16;1153.25;27546410;0
27.02.2024;13:05;1155.99;1158.48;1152.46;1154.35;1155.47;21250950;0
27.02.2024;14:05;1153.55;1164.85;1153.04;1164.00;1158.95;38176848;0
27.02.2024;15:05;1163.56;1167.28;1160.00;1165.49;1163.64;26190530;0
27.02.2024;16:05;1166.14;1202.98;1166.14;1191.71;1184.56;151088000;0
27.02.2024;17:05;1191.68;1206.98;1191.13;1206.04;1199.05;84427792;0
27.02.2024;18:05;1206.80;1211.00;1206.80;1211.00;1208.90;4351757;0
01.03.2024;09:05;1208.92;1208.92;1193.87;1195.32;1201.40;15333480;0
01.03.2024;10:05;1195.31;1215.10;1190.00;1203.95;1202.55;128948704;0
01.03.2024;11:05;1202.32;1202.32;1188.05;1189.00;1195.18;59797500;0
01.03.2024;12:05;1189.00;1195.20;1188.42;1193.01;1191.81;16698650;0
01.03.2024;13:05;1194.00;1194.00;1189.00;1189.77;1191.50;25605280;0
01.03.2024;14:05;1190.49;1195.20;1189.19;1192.82;1192.19;22178210;0
01.03.2024;15:05;1192.77;1194.39;1190.70;1193.69;1192.54;12997880;0
01.03.2024;16:05;1194.20;1195.00;1188.28;1192.25;1191.64;33858620;0
01.03.2024;17:05;1192.01;1193.99;1188.02;1193.99;1191.01;47130048;0
01.03.2024;18:05;1190.14;1193.80;1190.14;1192.55;1191.97;2385061;0
02.03.2024;09:05;1194.99;1199.52;1190.02;1198.34;1194.77;6579819;0
02.03.2024;10:05;1198.34;1208.00;1193.00;1197.24;1200.50;57337768;0
02.03.2024;11:05;1197.05;1197.05;1189.50;1189.50;1193.28;37075480;0
02.03.2024;12:05;1189.00;1190.97;1185.00;1187.45;1187.98;20189950;0
08.03.2024;09:05;1185.01;1185.01;1178.00;1182.29;1181.51;7446206;0
08.03.2024;10:05;1181.84;1181.84;1160.00;1166.50;1170.92;73579216;0
08.03.2024;11:05;1167.11;1180.09;1166.50;1180.00;1173.29;26322750;0
08.03.2024;12:05;1176.64;1177.01;1172.01;1173.71;1174.51;9048000;0
08.03.2024;13:05;1172.50;1173.71;1165.00;1165.97;1169.35;20358950;0
08.03.2024;14:05;1165.68;1170.50;1164.50;1168.58;1167.50;16451990;0
08.03.2024;15:05;1168.50;1168.50;1161.00;1164.80;1164.75;13146190;0
08.03.2024;16:05;1164.90;1173.21;1164.90;1170.79;1169.05;16251380;0
08.03.2024;17:05;1172.21;1175.83;1165.94;1167.35;1170.88;46495500;0
08.03.2024;18:05;1167.09;1169.00;1160.00;1160.00;1164.50;3954041;0
09.03.2024;09:05;1160.01;1160.07;1150.55;1153.00;1155.31;9349006;0
09.03.2024;10:05;1153.91;1162.34;1151.50;1154.44;1156.92;54924380;0
09.03.2024;11:05;1154.60;1166.35;1154.60;1156.33;1160.47;25287890;0
09.03.2024;12:05;1156.09;1166.00;1154.00;1166.00;1160.00;30118940;0
09.03.2024;13:05;1166.00;1171.06;1163.04;1171.06;1167.05;28238430;0
09.03.2024;14:05;1170.96;1190.23;1170.00;1185.50;1180.11;58107248;0
09.03.2024;15:05;1187.01;1187.01;1174.00;1179.48;1180.51;32473190;0
09.03.2024;16:05;1178.08;1180.00;1168.60;1171.43;1174.30;48530100;0
09.03.2024;17:05;1171.60;1186.50;1170.03;1179.50;1178.27;69272008;0
09.03.2024;18:05;1179.49;1179.59;1177.00;1177.00;1178.29;5065696;0
10.03.2024;09:05;1181.55;1183.60;1176.29;1178.71;1179.95;8976845;0
10.03.2024;10:05;1180.24;1195.00;1173.91;1176.00;1184.46;95883760;0
10.03.2024;11:05;1175.06;1177.00;1165.00;1165.01;1171.00;45466500;0
10.03.2024;12:05;1165.00;1165.25;1158.10;1162.80;1161.67;31025330;0
10.03.2024;13:05;1161.53;1163.36;1153.06;1154.00;1158.21;39545568;0
10.03.2024;14:05;1153.12;1159.19;1147.50;1152.99;1153.34;33779940;0
10.03.2024;15:05;1151.37;1153.02;1148.21;1148.21;1150.61;38998360;0
10.03.2024;16:05;1148.00;1149.75;1143.39;1143.45;1146.57;35341552;0
10.03.2024;17:05;1143.45;1147.00;1137.87;1141.42;1142.43;59202528;0
10.03.2024;18:05;1141.67;1143.99;1140.05;1143.99;1142.02;2169411;0
11.03.2024;09:05;1140.55;1145.60;1140.55;1143.00;1143.08;6628170;0
11.03.2024;10:05;1142.91;1149.00;1132.12;1135.52;1140.56;38438032;0
11.03.2024;11:05;1135.04;1143.09;1128.75;1139.49;1135.92;18955570;0
11.03.2024;12:05;1138.48;1138.78;1132.12;1135.92;1135.45;12365930;0
11.03.2024;13:05;1137.02;1137.02;1130.00;1132.91;1133.51;11666740;0
11.03.2024;14:05;1135.88;1137.79;1132.17;1137.79;1134.98;10904360;0
11.03.2024;15:05;1137.40;1140.80;1129.00;1131.91;1134.90;25106410;0
11.03.2024;16:05;1131.40;1136.14;1129.44;1134.93;1132.79;11108100;0
11.03.2024;17:05;1133.62;1144.10;1132.36;1138.49;1138.23;81847216;0
11.03.2024;18:05;1138.57;1138.57;1133.00;1133.24;1135.78;2955080;0
12.03.2024;09:05;1124.71;1132.09;1119.01;1128.07;1125.55;9681200;0
12.03.2024;10:05;1125.15;1131.35;1111.10;1115.12;1121.22;72254680;0
12.03.2024;11:05;1115.04;1126.00;1113.50;1123.80;1119.75;36567220;0
12.03.2024;12:05;1124.06;1129.12;1122.06;1123.31;1125.59;18465780;0
12.03.2024;13:05;1121.06;1122.86;1119.01;1120.85;1120.93;11542600;0
12.03.2024;14:05;1119.51;1128.20;1118.22;1128.20;1123.21;15158980;0
12.03.2024;15:05;1128.80;1148.86;1125.80;1148.86;1137.33;116914896;0
12.03.2024;16:05;1148.01;1160.15;1147.87;1153.20;1154.01;100177800;0
12.03.2024;17:05;1153.40;1154.00;1134.04;1135.60;1144.02;66160600;0
12.03.2024;18:05;1133.73;1137.12;1132.50;1134.80;1134.81;4195541;0
15.03.2024;09:05;1152.09;1152.09;1132.04;1135.02;1142.07;13966340;0
15.03.2024;10:05;1139.53;1154.99;1135.33;1141.66;1145.16;102344896;0
15.03.2024;11:05;1140.17;1143.59;1131.91;1133.50;1137.75;30881280;0
15.03.2024;12:05;1133.50;1134.36;1129.36;1130.00;1131.86;10632310;0
15.03.2024;13:05;1130.19;1132.42;1128.00;1130.84;1130.21;16504140;0
15.03.2024;14:05;1130.42;1134.02;1126.24;1133.00;1130.13;33343710;0
15.03.2024;15:05;1132.00;1136.52;1131.19;1134.26;1133.85;14629080;0
15.03.2024;16:05;1135.00;1140.46;1133.12;1139.81;1136.79;28992980;0
15.03.2024;17:05;1139.56;1144.09;1135.01;1136.60;1139.55;50600340;0
15.03.2024;18:05;1136.01;1136.98;1135.01;1136.01;1135.99;1817840;0
17.03.2024;09:05;1142.97;1147.36;1138.99;1145.64;1143.17;14073570;0
17.03.2024;10:05;1141.92;1142.99;1115.00;1116.08;1128.99;111376304;0
17.03.2024;11:05;1117.08;1125.00;1117.07;1122.40;1121.03;30729970;0
17.03.2024;12:05;1123.05;1129.60;1123.05;1127.03;1126.33;38998928;0
17.03.2024;13:05;1127.86;1127.86;1119.74;1121.58;1123.80;16067450;0
17.03.2024;14:05;1120.45;1123.25;1115.00;1115.31;1119.12;34599200;0
17.03.2024;15:05;1117.12;1119.04;1115.00;1117.11;1117.02;16750080;0
17.03.2024;16:05;1117.10;1119.80;1112.56;1117.00;1116.18;22774020;0
17.03.2024;17:05;1116.35;1118.78;1114.26;1116.78;1116.52;69808192;0
17.03.2024;18:05;1115.30;1119.59;1115.30;1117.55;1117.45;1677054;0
18.03.2024;09:05;1117.90;1117.90;1110.30;1116.58;1114.10;4791609;0
18.03.2024;10:05;1117.03;1118.24;1105.84;1110.90;1112.04;78503288;0
18.03.2024;11:05;1109.94;1114.90;1109.39;1111.70;1112.15;46377500;0
18.03.2024;12:05;1111.70;1113.00;1108.90;1109.75;1110.95;39345400;0
18.03.2024;13:05;1109.61;1114.17;1109.61;1111.00;1111.89;18905080;0
18.03.2024;14:05;1110.75;1115.69;1109.00;1111.55;1112.34;26817970;0
18.03.2024;15:05;1111.89;1114.04;1101.71;1101.71;1107.88;51381780;0
18.03.2024;16:05;1101.81;1104.90;1091.61;1093.26;1098.26;65212672;0
18.03.2024;17:05;1092.98;1099.58;1092.61;1098.99;1096.09;42570768;0
18.03.2024;18:05;1099.48;1099.49;1097.61;1098.05;1098.55;2197523;0
19.03.2024;09:05;1100.21;1104.54;1100.21;1100.79;1102.38;4959087;0
19.03.2024;10:05;1100.26;1120.47;1100.00;1111.40;1110.23;89509848;0
19.03.2024;11:05;1111.65;1120.00;1109.43;1118.16;1114.72;127064400;0
19.03.2024;12:05;1118.06;1119.94;1115.53;1118.21;1117.73;77799008;0
19.03.2024;13:05;1118.27;1118.46;1112.90;1116.14;1115.68;48116512;0
19.03.2024;14:05;1115.96;1117.00;1109.88;1109.88;1113.44;52321272;0
19.03.2024;15:05;1109.88;1118.45;1109.50;1114.55;1113.97;87301760;0
19.03.2024;16:05;1115.34;1116.86;1111.50;1113.33;1114.18;74469536;0
19.03.2024;17:05;1113.33;1116.51;1108.76;1112.78;1112.64;67156112;0
19.03.2024;18:05;1114.28;1114.90;1110.90;1111.70;1112.90;2447565;0
22.03.2024;09:05;1117.09;1122.00;1112.80;1121.01;1117.40;9511355;0
22.03.2024;10:05;1119.85;1119.96;1092.00;1096.00;1105.98;125257104;0
22.03.2024;11:05;1095.53;1095.73;1087.77;1090.50;1091.75;47677832;0
22.03.2024;12:05;1089.67;1093.00;1089.67;1092.78;1091.34;46264288;0
22.03.2024;13:05;1092.15;1095.74;1091.39;1091.66;1093.57;25799840;0
22.03.2024;14:05;1091.75;1091.75;1086.31;1088.59;1089.03;42266328;0
22.03.2024;15:05;1087.40;1094.20;1086.07;1091.81;1090.13;39895368;0
22.03.2024;16:05;1092.69;1097.80;1092.02;1097.80;1094.91;43269820;0
22.03.2024;17:05;1098.42;1107.80;1098.21;1106.20;1103.01;65340060;0
22.03.2024;18:05;1106.00;1107.99;1105.26;1107.00;1106.62;3429206;0
23.03.2024;09:05;1106.99;1110.34;1106.99;1108.82;1108.66;8205867;0
23.03.2024;10:05;1108.82;1117.39;1103.11;1108.98;1110.25;79106576;0
23.03.2024;11:05;1108.99;1112.55;1106.04;1111.01;1109.30;47505512;0
23.03.2024;12:05;1111.01;1120.01;1111.01;1118.24;1115.51;55623368;0
23.03.2024;13:05;1118.24;1128.20;1117.00;1125.01;1122.60;43797100;0
23.03.2024;14:05;1125.99;1127.08;1122.25;1122.30;1124.66;24512620;0
23.03.2024;15:05;1122.09;1123.25;1113.60;1114.50;1118.42;46027072;0
23.03.2024;16:05;1114.45;1121.25;1113.10;1120.00;1117.17;56033992;0
23.03.2024;17:05;1119.55;1121.22;1111.80;1116.48;1116.51;49087368;0
23.03.2024;18:05;1124.50;1127.00;1107.08;1114.00;1117.04;894612;0
27.03.2024;09:05;1162.70;1167.90;1162.57;1167.90;1165.23;12936190;0
27.03.2024;10:05;1167.90;1198.55;1167.58;1195.99;1183.07;135397296;0
27.03.2024;11:05;1195.02;1197.01;1187.50;1190.71;1192.26;28950750;0
27.03.2024;12:05;1190.96;1191.92;1187.00;1187.16;1189.46;26168860;0
27.03.2024;13:05;1187.29;1189.86;1182.00;1183.58;1185.93;16591980;0
27.03.2024;14:05;1184.52;1184.99;1178.57;1179.96;1181.78;18442690;0
27.03.2024;15:05;1180.08;1187.10;1177.00;1185.97;1182.05;35341352;0
27.03.2024;16:05;1186.52;1188.09;1182.17;1186.12;1185.13;39240248;0
27.03.2024;17:05;1186.49;1188.00;1177.45;1182.91;1182.72;78182976;0
27.03.2024;18:05;1183.20;1186.21;1181.01;1184.00;1183.61;3195592;0
28.03.2024;09:05;1184.05;1186.85;1182.01;1183.00;1184.43;4854303;0
28.03.2024;10:05;1183.22;1191.19;1175.86;1183.62;1183.52;53098808;0
28.03.2024;11:05;1183.01;1190.00;1180.59;1180.59;1185.29;34463320;0
28.03.2024;12:05;1180.20;1182.95;1178.36;1179.63;1180.65;13222330;0
28.03.2024;13:05;1179.36;1180.00;1174.60;1175.20;1177.30;13645640;0
28.03.2024;14:05;1174.67;1177.48;1172.05;1174.40;1174.77;32317340;0
28.03.2024;15:05;1174.01;1174.15;1167.06;1168.60;1170.61;40867528;0
28.03.2024;16:05;1168.60;1175.74;1164.30;1172.06;1170.02;31563250;0
28.03.2024;17:05;1173.41;1177.00;1167.00;1171.90;1172.00;45925352;0
28.03.2024;18:05;1170.22;1174.33;1170.22;1173.52;1172.27;2345481;0
31.03.2024;09:05;1175.99;1177.08;1168.60;1169.51;1172.84;7978645;0
31.03.2024;10:05;1170.27;1179.07;1161.20;1170.51;1170.13;72493280;0
31.03.2024;11:05;1169.09;1179.98;1168.23;1176.69;1174.10;26652760;0
31.03.2024;12:05;1177.71;1187.24;1176.55;1183.00;1181.90;38050752;0
31.03.2024;13:05;1184.84;1195.00;1182.20;1189.23;1188.60;37088380;0
31.03.2024;14:05;1190.45;1192.75;1184.82;1187.11;1188.78;42823740;0
31.03.2024;15:05;1187.58;1193.45;1184.55;1189.37;1189.00;24402440;0
31.03.2024;16:05;1189.41;1192.75;1185.82;1190.99;1189.28;15700840;0
31.03.2024;17:05;1191.01;1194.15;1188.01;1191.82;1191.08;37393432;0
31.03.2024;18:05;1188.92;1190.00;1188.00;1188.60;1189.00;5110115;0
01.04.2024;09:05;1187.25;1192.00;1187.00;1192.00;1189.50;4280574;0
01.04.2024;10:05;1192.00;1197.58;1180.00;1187.00;1188.79;70846912;0
01.04.2024;11:05;1187.00;1189.54;1183.74;1188.64;1186.64;43871820;0
01.04.2024;12:05;1188.99;1192.80;1175.60;1175.61;1184.20;55056488;0
01.04.2024;13:05;1175.60;1175.60;1164.00;1164.01;1169.80;80192792;0
01.04.2024;14:05;1164.01;1172.52;1163.00;1166.74;1167.76;36303312;0
01.04.2024;15:05;1167.96;1171.00;1166.50;1167.60;1168.75;13318490;0
01.04.2024;16:05;1168.96;1183.06;1165.50;1180.79;1174.28;58036992;0
01.04.2024;17:05;1181.08;1187.93;1176.59;1179.36;1182.26;58128540;0
