Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
04.09.2025;16:30;37.73;37.81;37.66;37.66;37.74;1821600;0
04.09.2025;16:45;37.66;37.70;37.50;37.69;37.60;5929583;0
04.09.2025;17:00;37.69;37.71;37.62;37.62;37.66;587830;0
04.09.2025;17:15;37.61;37.77;37.59;37.69;37.68;5880624;0
04.09.2025;17:30;37.69;37.85;37.69;37.80;37.77;2677211;0
04.09.2025;17:45;37.78;37.80;37.72;37.79;37.76;1246364;0
04.09.2025;18:00;37.79;37.90;37.76;37.84;37.83;2756100;0
05.09.2025;09:30;37.71;37.88;37.52;37.82;37.70;328433;0
05.09.2025;09:45;37.81;37.83;37.81;37.83;37.82;158839;0
05.09.2025;10:00;37.78;37.96;37.61;37.94;37.78;3204690;0
05.09.2025;10:15;37.89;37.99;37.76;37.97;37.88;2200777;0
05.09.2025;10:30;37.99;38.12;37.95;37.99;38.03;2175463;0
05.09.2025;10:45;38.00;38.03;37.85;37.86;37.94;3802840;0
05.09.2025;11:00;37.84;37.90;37.72;37.76;37.81;1837872;0
05.09.2025;11:15;37.79;37.79;37.70;37.78;37.75;766246;0
05.09.2025;11:30;37.78;37.81;37.76;37.81;37.78;392950;0
05.09.2025;11:45;37.82;37.90;37.78;37.86;37.84;877786;0
05.09.2025;12:00;37.84;37.99;37.83;37.95;37.91;1062255;0
05.09.2025;12:15;37.99;38.05;37.91;37.92;37.98;969052;0
05.09.2025;12:30;37.93;37.93;37.81;37.87;37.87;514802;0
05.09.2025;12:45;37.84;37.85;37.83;37.83;37.84;162687;0
05.09.2025;13:00;37.85;37.87;37.84;37.84;37.85;215755;0
05.09.2025;13:15;37.82;37.88;37.82;37.84;37.85;306590;0
05.09.2025;13:30;37.84;37.86;37.64;37.73;37.75;2718503;0
05.09.2025;13:45;37.78;37.79;37.70;37.70;37.75;279312;0
05.09.2025;14:00;37.69;37.70;37.57;37.67;37.64;2421579;0
05.09.2025;14:15;37.67;37.85;37.67;37.78;37.76;3108460;0
05.09.2025;14:30;37.76;37.81;37.70;37.74;37.76;2163714;0
05.09.2025;14:45;37.68;37.71;37.63;37.69;37.67;1231717;0
05.09.2025;15:00;37.68;37.68;37.56;37.58;37.62;2466945;0
05.09.2025;15:15;37.58;37.65;37.50;37.58;37.58;3513973;0
05.09.2025;15:30;37.59;37.63;37.47;37.52;37.55;5072905;0
05.09.2025;15:45;37.49;37.60;37.49;37.59;37.55;2117602;0
05.09.2025;16:00;37.59;37.77;37.57;37.66;37.67;3934874;0
05.09.2025;16:15;37.68;37.75;37.56;37.56;37.66;2907870;0
05.09.2025;16:30;37.56;37.63;37.54;37.63;37.59;3591565;0
05.09.2025;16:45;37.65;37.65;37.48;37.55;37.57;3804871;0
05.09.2025;17:00;37.54;37.54;37.43;37.51;37.49;4547306;0
05.09.2025;17:15;37.50;37.57;37.36;37.53;37.47;3260805;0
05.09.2025;17:30;37.53;37.61;37.50;37.56;37.56;879108;0
05.09.2025;17:45;37.50;37.59;37.49;37.57;37.54;1868879;0
05.09.2025;18:00;37.53;37.59;37.48;37.59;37.53;637817;0
06.09.2025;09:30;37.62;37.62;37.55;37.62;37.58;210333;0
06.09.2025;09:45;37.55;37.69;37.50;37.69;37.59;459029;0
06.09.2025;10:00;37.65;37.85;37.61;37.72;37.73;2926550;0
06.09.2025;10:15;37.71;37.76;37.66;37.73;37.71;803436;0
06.09.2025;10:30;37.70;37.71;37.56;37.65;37.64;1576793;0
06.09.2025;10:45;37.63;37.65;37.55;37.60;37.60;1459045;0
06.09.2025;11:00;37.63;37.66;37.55;37.57;37.60;1139600;0
06.09.2025;11:15;37.57;37.64;37.57;37.59;37.60;955032;0
06.09.2025;11:30;37.61;37.69;37.59;37.62;37.64;1076693;0
06.09.2025;11:45;37.62;37.65;37.53;37.56;37.59;1210027;0
06.09.2025;12:00;37.59;37.63;37.57;37.63;37.60;203062;0
06.09.2025;12:15;37.61;37.67;37.60;37.65;37.63;594816;0
06.09.2025;12:30;37.65;37.67;37.63;37.66;37.65;481899;0
06.09.2025;12:45;37.67;37.73;37.64;37.66;37.68;1126920;0
06.09.2025;13:00;37.67;37.76;37.67;37.76;37.71;727841;0
06.09.2025;13:15;37.74;37.78;37.72;37.74;37.75;3438365;0
06.09.2025;13:30;37.72;37.73;37.69;37.69;37.71;697634;0
06.09.2025;13:45;37.69;37.72;37.66;37.69;37.69;203476;0
06.09.2025;14:00;37.65;37.65;37.60;37.60;37.62;838935;0
06.09.2025;14:15;37.65;37.65;37.58;37.58;37.62;304551;0
06.09.2025;14:30;37.60;37.60;37.47;37.54;37.53;1489811;0
06.09.2025;14:45;37.52;37.54;37.50;37.50;37.52;393903;0
06.09.2025;15:00;37.49;37.51;37.47;37.48;37.49;296197;0
