Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
28.09.2018;00:00;12.60;12.60;12.60;12.60;12.60;2520;0
30.09.2018;00:00;10.76;10.76;10.60;10.60;10.68;5348;0
01.10.2018;00:00;10.22;10.90;10.22;10.90;10.56;2112;0
13.10.2018;00:00;10.90;11.07;11.07;11.07;11.07;1107;0
15.10.2018;00:00;11.07;10.59;10.59;10.59;10.59;1059;0
20.10.2018;00:00;10.80;11.29;10.70;10.70;10.99;18414;0
23.10.2018;00:00;10.70;10.73;10.73;10.73;10.73;2146;0
26.10.2018;00:00;10.45;10.45;10.25;10.25;10.35;4155;0
27.10.2018;00:00;10.25;9.65;9.65;9.65;9.65;4825;0
30.10.2018;00:00;9.03;9.60;9.00;9.60;9.30;4566;0
02.11.2018;00:00;9.60;9.60;9.40;9.40;9.50;5710;0
03.11.2018;00:00;9.38;9.38;9.38;9.38;9.38;1876;0
06.11.2018;00:00;9.39;9.45;9.32;9.32;9.38;19790;0
07.11.2018;00:00;9.41;9.51;9.41;9.51;9.46;7581;0
08.11.2018;00:00;9.46;9.46;8.95;8.95;9.20;11250;0
09.11.2018;00:00;9.90;9.90;9.17;9.17;9.53;4693;0
10.11.2018;00:00;9.16;9.16;8.62;8.62;8.89;134519;0
13.11.2018;00:00;8.62;9.49;8.62;9.09;9.05;22849;0
14.11.2018;00:00;9.01;9.30;9.01;9.30;9.16;2732;0
15.11.2018;00:00;8.95;9.05;8.45;8.64;8.75;153745;0
16.11.2018;00:00;8.69;9.10;8.54;9.10;8.82;36950;0
17.11.2018;00:00;9.04;9.25;8.53;9.15;8.89;111127;0
21.11.2018;00:00;9.45;9.50;9.25;9.47;9.38;107987;0
22.11.2018;00:00;9.50;9.80;9.32;9.55;9.56;188002;0
23.11.2018;00:00;9.63;10.15;9.54;9.57;9.84;431272;0
24.11.2018;00:00;9.57;9.58;9.32;9.40;9.45;190815;0
25.11.2018;00:00;9.43;9.70;9.27;9.33;9.49;255469;0
28.11.2018;00:00;9.36;9.48;9.28;9.31;9.38;114747;0
29.11.2018;00:00;9.35;9.44;9.15;9.44;9.29;37521;0
30.11.2018;00:00;9.34;9.34;9.20;9.29;9.27;10189;0
01.12.2018;00:00;9.23;9.32;9.15;9.15;9.23;36142;0
02.12.2018;00:00;9.20;9.31;9.13;9.26;9.22;26784;0
05.12.2018;00:00;9.35;9.40;9.16;9.26;9.28;32483;0
06.12.2018;00:00;9.35;9.45;9.15;9.22;9.30;40762;0
07.12.2018;00:00;9.26;9.30;9.22;9.24;9.26;32370;0
08.12.2018;00:00;9.23;9.23;9.10;9.18;9.16;20168;0
09.12.2018;00:00;9.20;9.20;9.17;9.17;9.18;3675;0
12.12.2018;00:00;9.04;9.08;9.02;9.08;9.05;19903;0
14.12.2018;00:00;9.08;9.08;8.93;8.93;9.01;34387;0
