Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.12.2012;00:00;9.50;11.50;9.08;11.34;10.29;148236;0
29.01.2013;00:00;11.99;11.99;11.99;11.99;11.99;1199;0
22.06.2013;00:00;9.30;9.30;9.30;9.30;9.30;930;0
25.06.2013;00:00;10.50;11.16;10.50;11.16;10.83;2166;0
25.10.2013;00:00;13.03;13.03;13.03;13.03;13.03;1303;0
03.11.2013;00:00;13.65;13.65;13.65;13.65;13.65;1365;0
06.11.2013;00:00;13.48;13.48;13.48;13.48;13.48;2696;0
07.11.2013;00:00;13.25;13.25;13.25;13.25;13.25;1325;0
15.11.2013;00:00;13.07;13.07;13.07;13.07;13.07;1307;0
23.11.2013;00:00;13.03;13.03;13.03;13.03;13.03;1303;0
24.11.2013;00:00;12.55;12.60;11.00;12.40;11.80;23680;0
23.12.2013;00:00;13.75;13.75;13.75;13.75;13.75;2750;0
01.01.2014;00:00;13.11;13.11;13.11;13.11;13.11;13110;0
06.01.2014;00:00;0.00;0.00;0.00;12.71;0.00;0;0
13.01.2014;00:00;12.75;12.80;12.75;12.75;12.78;2555;0
14.01.2014;00:00;0.00;0.00;0.00;12.80;0.00;0;0
21.01.2014;00:00;12.67;12.67;12.67;12.67;12.67;19005;0
22.01.2014;00:00;12.68;12.68;12.68;12.63;12.68;2536;0
16.02.2014;00:00;0.00;0.00;0.00;12.17;0.00;0;0
20.02.2014;00:00;0.00;0.00;0.00;11.90;0.00;0;0
20.03.2014;00:00;0.00;0.00;0.00;12.19;0.00;0;0
22.03.2014;00:00;0.00;0.00;0.00;12.42;0.00;0;0
25.03.2014;00:00;0.00;0.00;0.00;12.52;0.00;0;0
29.03.2014;00:00;0.00;0.00;0.00;12.91;0.00;0;0
03.04.2014;00:00;0.00;0.00;0.00;12.80;0.00;0;0
17.04.2014;00:00;0.00;0.00;0.00;15.30;0.00;0;0
19.04.2014;00:00;13.44;13.44;13.44;13.59;13.44;1344;0
20.04.2014;00:00;0.00;0.00;0.00;13.84;0.00;0;0
24.04.2014;00:00;0.00;0.00;0.00;14.00;0.00;0;0
03.05.2014;00:00;14.20;14.34;14.20;14.25;14.27;17088;0
05.05.2014;00:00;14.70;14.70;14.70;14.60;14.70;4410;0
06.05.2014;00:00;0.00;0.00;0.00;14.90;0.00;0;0
13.05.2014;00:00;0.00;0.00;0.00;14.00;0.00;0;0
16.05.2014;00:00;0.00;0.00;0.00;13.83;0.00;0;0
30.05.2014;00:00;13.96;13.96;13.85;13.79;13.91;5551;0
31.05.2014;00:00;0.00;0.00;0.00;13.96;0.00;0;0
01.06.2014;00:00;14.01;14.01;14.01;14.31;14.01;8406;0
07.06.2014;00:00;0.00;0.00;0.00;14.63;0.00;0;0
11.06.2014;00:00;0.00;0.00;0.00;14.50;0.00;0;0
15.06.2014;00:00;14.95;15.35;14.92;14.92;15.14;13551;0
17.06.2014;00:00;0.00;0.00;0.00;15.00;0.00;0;0
18.06.2014;00:00;0.00;0.00;0.00;15.10;0.00;0;0
21.06.2014;00:00;0.00;0.00;0.00;15.20;0.00;0;0
22.06.2014;00:00;0.00;0.00;0.00;15.12;0.00;0;0
23.06.2014;00:00;15.20;15.40;15.20;15.60;15.30;4600;0
25.06.2014;00:00;0.00;0.00;0.00;15.20;0.00;0;0
28.06.2014;00:00;14.80;14.80;14.80;14.50;14.80;1480;0
30.06.2014;00:00;0.00;0.00;0.00;14.40;0.00;0;0
01.07.2014;00:00;14.20;14.20;14.12;14.18;14.16;45366;0
06.07.2014;00:00;14.18;14.18;14.18;14.29;14.18;4254;0
07.07.2014;00:00;14.20;14.20;14.15;14.07;14.17;28350;0
10.07.2014;00:00;0.00;0.00;0.00;14.21;0.00;0;0
13.07.2014;00:00;14.31;14.31;14.13;14.13;14.22;1277388;0
14.07.2014;00:00;14.18;14.18;14.17;14.18;14.18;425300;0
15.07.2014;00:00;14.55;14.55;14.55;14.67;14.55;291000;0
16.07.2014;00:00;14.90;14.90;14.90;14.90;14.90;149000;0
