Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.12.2012;00:00;8.18;9.10;9.10;9.10;9.10;8640;0
02.01.2013;00:00;6.93;6.93;6.92;6.92;6.92;3464;0
16.05.2013;00:00;6.36;6.39;6.36;6.39;6.38;9576;0
22.05.2013;00:00;6.92;6.92;6.92;6.92;6.92;692;0
23.05.2013;00:00;6.86;6.88;6.88;6.88;6.88;2750;0
28.05.2013;00:00;7.14;7.20;7.14;7.20;7.17;3588;0
29.05.2013;00:00;7.34;7.34;7.34;7.34;7.34;734;0
30.05.2013;00:00;7.40;7.40;7.40;7.40;7.40;740;0
03.06.2013;00:00;7.06;7.06;7.02;7.02;7.04;1408;0
04.06.2013;00:00;7.20;7.20;7.20;7.20;7.20;720;0
05.06.2013;00:00;7.34;7.34;7.26;7.29;7.30;26955;0
07.06.2013;00:00;7.00;7.00;6.94;6.94;6.97;9028;0
11.06.2013;00:00;6.00;6.00;6.00;6.00;6.00;1200;0
12.06.2013;00:00;7.05;7.05;7.05;7.05;7.05;7050;0
13.06.2013;00:00;7.10;7.10;7.10;7.10;7.10;1420;0
18.06.2013;00:00;7.40;7.40;6.90;6.90;7.15;11620;0
20.06.2013;00:00;7.11;7.11;7.11;7.11;7.11;711;0
21.06.2013;00:00;7.10;7.15;7.10;7.15;7.12;5700;0
26.06.2013;00:00;7.11;7.11;7.11;7.11;7.11;6399;0
28.06.2013;00:00;7.09;7.21;7.08;7.21;7.14;5683;0
02.07.2013;00:00;7.16;7.16;7.16;7.16;7.16;716;0
03.07.2013;00:00;6.82;7.02;6.82;7.02;6.92;1384;0
04.07.2013;00:00;6.77;6.79;6.71;6.79;6.75;2027;0
10.07.2013;00:00;6.70;6.70;6.70;6.70;6.70;7370;0
11.07.2013;00:00;6.69;6.74;6.69;6.74;6.71;14773;0
13.07.2013;00:00;6.31;6.54;6.30;6.54;6.42;5695;0
21.07.2013;00:00;6.50;6.50;6.50;6.50;6.50;3250;0
22.07.2013;00:00;6.65;6.65;6.65;6.65;6.65;665;0
24.07.2013;00:00;6.69;6.69;6.40;6.40;6.55;3985;0
27.07.2013;00:00;6.27;6.27;6.27;6.27;6.27;5643;0
29.07.2013;00:00;6.31;6.31;6.31;6.31;6.31;4417;0
05.08.2013;00:00;5.50;6.54;5.50;6.54;6.02;1838;0
07.08.2013;00:00;6.20;6.20;6.20;6.20;6.20;1240;0
12.08.2013;00:00;6.35;6.40;6.35;6.40;6.38;1915;0
13.08.2013;00:00;6.40;6.40;6.40;6.40;6.40;640;0
17.08.2013;00:00;6.60;6.60;6.60;6.60;6.60;9900;0
20.08.2013;00:00;6.85;6.85;6.85;6.85;6.85;685;0
27.08.2013;00:00;6.81;6.81;6.81;6.81;6.81;681;0
29.08.2013;00:00;6.66;6.66;6.66;6.66;6.66;666;0
03.09.2013;00:00;6.65;6.65;6.65;6.65;6.65;665;0
04.09.2013;00:00;6.75;6.75;6.75;6.75;6.75;675;0
05.09.2013;00:00;6.83;6.83;6.83;6.83;6.83;2049;0
12.09.2013;00:00;6.61;6.61;6.61;6.61;6.61;661;0
24.09.2013;00:00;6.85;6.85;6.69;6.72;6.77;13451;0
01.10.2013;00:00;6.75;6.75;6.75;6.75;6.75;675;0
02.10.2013;00:00;6.85;6.85;6.85;6.85;6.85;2055;0
04.10.2013;00:00;7.06;7.06;7.06;7.06;7.06;1412;0
09.10.2013;00:00;6.86;6.86;6.86;6.86;6.86;1372;0
11.10.2013;00:00;6.99;6.99;6.99;6.99;6.99;2097;0
12.10.2013;00:00;7.24;7.24;7.24;7.24;7.24;724;0
27.10.2013;00:00;7.19;7.19;7.19;7.19;7.19;719;0
31.10.2013;00:00;7.23;7.24;7.20;7.24;7.22;2167;0
01.11.2013;00:00;7.17;7.17;6.95;6.95;7.06;2811;0
02.11.2013;00:00;6.88;6.90;6.88;6.90;6.89;6196;0
03.11.2013;00:00;6.67;6.67;6.66;6.66;6.66;3332;0
06.11.2013;00:00;6.61;6.61;6.53;6.58;6.57;7921;0
07.11.2013;00:00;6.70;6.70;6.68;6.68;6.69;14030;0
15.11.2013;00:00;6.53;6.53;6.53;6.53;6.53;653;0
23.11.2013;00:00;6.55;6.55;6.41;6.41;6.48;1946;0
24.11.2013;00:00;6.40;6.40;6.40;6.40;6.40;640;0
29.11.2013;00:00;6.46;6.46;6.46;6.46;6.46;1292;0
30.11.2013;00:00;6.60;6.62;6.60;6.62;6.61;1984;0
01.12.2013;00:00;6.62;6.79;6.62;6.79;6.70;1341;0
02.12.2013;00:00;6.65;6.65;6.61;6.62;6.63;5297;0
03.12.2013;00:00;6.74;6.74;6.74;6.74;6.74;674;0
06.12.2013;00:00;6.84;6.84;6.84;6.84;6.84;684;0
09.12.2013;00:00;6.80;6.80;6.80;6.80;6.80;1360;0
17.12.2013;00:00;6.61;6.61;6.61;6.61;6.61;1322;0
