Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;14.58;14.64;14.58;14.60;14.61;1307888;0
24.08.2025;11:30;14.61;14.65;14.61;14.62;14.63;1163162;0
24.08.2025;11:45;14.62;14.67;14.60;14.62;14.63;732045;0
24.08.2025;12:00;14.62;14.62;14.58;14.60;14.60;1002156;0
24.08.2025;12:15;14.61;14.62;14.57;14.57;14.60;2054278;0
24.08.2025;12:30;14.57;14.60;14.55;14.55;14.57;729617;0
24.08.2025;12:45;14.55;14.57;14.51;14.54;14.54;1708553;0
24.08.2025;13:00;14.56;14.58;14.55;14.56;14.57;862875;0
24.08.2025;13:15;14.58;14.58;14.55;14.56;14.57;674452;0
24.08.2025;13:30;14.58;14.58;14.54;14.55;14.56;455283;0
24.08.2025;13:45;14.54;14.61;14.54;14.60;14.57;963331;0
24.08.2025;14:00;14.60;14.61;14.56;14.56;14.58;1092699;0
24.08.2025;14:15;14.56;14.57;14.52;14.55;14.55;930181;0
24.08.2025;14:30;14.56;14.58;14.52;14.56;14.55;892312;0
24.08.2025;14:45;14.56;14.56;14.52;14.52;14.54;1015066;0
24.08.2025;15:00;14.51;14.56;14.49;14.52;14.52;2115532;0
24.08.2025;15:15;14.52;14.56;14.48;14.51;14.52;1277510;0
24.08.2025;15:30;14.51;14.55;14.49;14.50;14.52;888021;0
24.08.2025;15:45;14.50;14.52;14.46;14.50;14.49;736997;0
24.08.2025;16:00;14.50;14.58;14.50;14.54;14.54;510776;0
24.08.2025;16:15;14.54;14.55;14.50;14.55;14.52;469817;0
24.08.2025;16:30;14.54;14.55;14.51;14.52;14.53;608083;0
24.08.2025;16:45;14.52;14.68;14.48;14.68;14.58;4153064;0
24.08.2025;17:00;14.67;14.71;14.56;14.62;14.64;2760894;0
24.08.2025;17:15;14.62;14.71;14.56;14.60;14.64;1555344;0
24.08.2025;17:30;14.60;14.62;14.48;14.52;14.55;3220420;0
24.08.2025;17:45;14.50;14.55;14.44;14.44;14.49;3160056;0
24.08.2025;18:00;14.44;14.48;14.43;14.46;14.45;1155814;0
27.08.2025;10:00;14.24;14.24;13.88;14.18;14.06;11678015;0
27.08.2025;10:15;14.18;14.18;14.00;14.18;14.09;5373585;0
27.08.2025;10:30;14.17;14.19;14.04;14.11;14.11;3895750;0
27.08.2025;10:45;14.07;14.11;14.02;14.05;14.07;2903740;0
27.08.2025;11:00;14.05;14.11;14.00;14.07;14.05;2778329;0
27.08.2025;11:15;14.07;14.12;14.05;14.07;14.08;1294605;0
27.08.2025;11:30;14.07;14.10;13.98;14.05;14.04;1858592;0
27.08.2025;11:45;14.04;14.07;14.01;14.01;14.04;651287;0
27.08.2025;12:00;14.01;14.04;13.98;14.00;14.01;861457;0
27.08.2025;12:15;14.00;14.04;13.98;14.01;14.01;1330301;0
27.08.2025;12:30;14.02;14.04;13.99;14.04;14.01;800953;0
27.08.2025;12:45;14.05;14.10;14.04;14.07;14.07;1247330;0
27.08.2025;13:00;14.06;14.10;14.04;14.06;14.07;1075491;0
27.08.2025;13:15;14.06;14.06;14.01;14.02;14.04;527191;0
27.08.2025;13:30;14.02;14.12;14.00;14.10;14.06;1996274;0
27.08.2025;13:45;14.10;14.11;14.05;14.08;14.08;2062336;0
27.08.2025;14:00;14.08;14.11;14.06;14.11;14.08;1767980;0
27.08.2025;14:15;14.08;14.12;14.02;14.05;14.07;1528580;0
27.08.2025;14:30;14.07;14.11;14.00;14.00;14.05;1108787;0
27.08.2025;14:45;14.00;14.04;13.95;13.96;13.99;1025209;0
27.08.2025;15:00;13.98;14.04;13.98;14.02;14.01;1781285;0
27.08.2025;15:15;14.02;14.05;13.96;13.98;14.01;1912769;0
27.08.2025;15:30;13.99;13.99;13.90;13.94;13.95;2378071;0
27.08.2025;15:45;13.94;13.94;13.86;13.92;13.90;2291521;0
27.08.2025;16:00;13.89;14.05;13.89;13.94;13.97;1701730;0
27.08.2025;16:15;13.99;14.00;13.92;13.99;13.96;1333969;0
27.08.2025;16:30;14.00;14.00;13.92;13.99;13.96;889982;0
27.08.2025;16:45;13.98;14.02;13.96;13.98;13.99;1143702;0
27.08.2025;17:00;13.98;14.01;13.96;14.00;13.99;1505817;0
27.08.2025;17:15;14.00;14.07;13.99;14.00;14.03;2342655;0
27.08.2025;17:30;14.00;14.01;13.94;13.94;13.98;1386961;0
27.08.2025;17:45;13.98;13.99;13.89;13.89;13.94;2747859;0
27.08.2025;18:00;13.89;13.92;13.87;13.87;13.89;1708800;0
28.08.2025;10:00;13.88;14.10;13.88;14.01;13.99;3921760;0
28.08.2025;10:15;14.05;14.05;13.92;14.05;13.98;3123706;0
28.08.2025;10:30;14.05;14.07;14.00;14.06;14.04;1530366;0
28.08.2025;10:45;14.07;14.08;14.01;14.06;14.05;1518906;0
28.08.2025;11:00;14.06;14.06;14.01;14.05;14.04;946349;0
28.08.2025;11:15;14.05;14.05;13.90;13.95;13.98;2435199;0
28.08.2025;11:30;13.98;14.01;13.94;14.00;13.98;1886452;0
28.08.2025;11:45;13.99;14.02;13.98;14.02;14.00;371720;0
28.08.2025;12:00;14.02;14.05;14.00;14.00;14.02;465766;0
