Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:00;33.78;34.00;33.72;33.78;33.86;5167668;0
24.08.2025;11:15;33.78;33.90;33.10;33.62;33.50;8538254;0
24.08.2025;11:30;33.60;33.76;33.46;33.74;33.61;3127763;0
24.08.2025;11:45;33.76;33.82;33.64;33.74;33.73;1197832;0
24.08.2025;12:00;33.74;33.74;33.44;33.48;33.59;801404;0
24.08.2025;12:15;33.48;33.62;33.30;33.32;33.46;1047896;0
24.08.2025;12:30;33.32;33.34;33.18;33.26;33.26;456254;0
24.08.2025;12:45;33.30;33.30;33.10;33.22;33.20;873317;0
24.08.2025;13:00;33.26;33.30;33.22;33.22;33.26;217180;0
24.08.2025;13:15;33.28;33.28;33.14;33.20;33.21;331303;0
24.08.2025;13:30;33.20;33.22;33.14;33.20;33.18;372812;0
24.08.2025;13:45;33.18;33.80;33.16;33.38;33.48;1739402;0
24.08.2025;14:00;33.38;33.38;33.22;33.26;33.30;792238;0
24.08.2025;14:15;33.26;33.62;33.22;33.38;33.42;763064;0
24.08.2025;14:30;33.28;33.40;33.28;33.34;33.34;505502;0
24.08.2025;14:45;33.40;33.44;33.32;33.34;33.38;700072;0
24.08.2025;15:00;33.32;33.48;33.32;33.36;33.40;1240086;0
24.08.2025;15:15;33.40;33.42;33.32;33.42;33.37;274731;0
24.08.2025;15:30;33.34;33.60;33.34;33.50;33.47;1120307;0
24.08.2025;15:45;33.48;33.48;33.32;33.32;33.40;811924;0
24.08.2025;16:00;33.40;33.40;33.28;33.34;33.34;1149270;0
24.08.2025;16:15;33.36;33.40;33.22;33.36;33.31;1700481;0
24.08.2025;16:30;33.38;33.40;33.34;33.40;33.37;93344;0
24.08.2025;16:45;33.40;33.94;33.36;33.80;33.65;4310969;0
24.08.2025;17:00;33.80;33.88;33.58;33.64;33.73;2205679;0
24.08.2025;17:15;33.64;33.68;33.48;33.52;33.58;1340648;0
24.08.2025;17:30;33.52;33.56;33.38;33.48;33.47;908067;0
24.08.2025;17:45;33.44;33.52;33.18;33.34;33.35;2808501;0
24.08.2025;18:00;33.34;33.34;33.14;33.16;33.24;1905346;0
27.08.2025;10:00;32.26;32.52;32.10;32.46;32.31;5298000;0
27.08.2025;10:15;32.50;32.72;32.46;32.66;32.59;3035418;0
27.08.2025;10:30;32.66;32.80;32.48;32.50;32.64;1589889;0
27.08.2025;10:45;32.50;32.62;32.48;32.54;32.55;387183;0
27.08.2025;11:00;32.56;32.92;32.46;32.90;32.69;1093594;0
27.08.2025;11:15;32.92;33.00;32.84;32.96;32.92;424242;0
27.08.2025;11:30;32.96;33.24;32.94;33.12;33.09;2864036;0
27.08.2025;11:45;33.10;33.32;33.10;33.32;33.21;1616428;0
27.08.2025;12:00;33.30;33.34;33.02;33.12;33.18;2928251;0
27.08.2025;12:15;33.16;33.56;33.02;33.48;33.29;2855618;0
27.08.2025;12:30;33.46;33.60;33.24;33.32;33.42;2562202;0
