Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;8.96;8.96;8.96;8.96;8.96;2454215;0
24.08.2025;11:30;8.96;8.96;8.96;8.96;8.96;10372867;0
24.08.2025;11:45;8.96;8.96;8.96;8.96;8.96;1721843;0
24.08.2025;12:00;8.96;8.96;8.96;8.96;8.96;1225638;0
24.08.2025;12:15;8.96;8.96;8.96;8.96;8.96;819615;0
24.08.2025;12:30;8.96;8.96;8.96;8.96;8.96;618123;0
24.08.2025;12:45;8.96;8.96;8.96;8.96;8.96;2033570;0
24.08.2025;13:00;8.96;8.96;8.96;8.96;8.96;515737;0
24.08.2025;13:15;8.96;8.96;8.96;8.96;8.96;163860;0
24.08.2025;13:30;8.96;8.96;8.96;8.96;8.96;631760;0
24.08.2025;13:45;8.96;8.96;8.96;8.96;8.96;257017;0
24.08.2025;14:00;8.96;8.96;8.96;8.96;8.96;985770;0
24.08.2025;14:15;8.96;8.96;8.96;8.96;8.96;604271;0
24.08.2025;14:30;8.96;8.96;8.85;8.96;8.91;32555298;0
24.08.2025;14:45;8.96;8.96;8.87;8.96;8.91;11954015;0
24.08.2025;15:00;8.96;8.96;8.96;8.96;8.96;1306063;0
24.08.2025;15:15;8.96;8.96;8.96;8.96;8.96;1508129;0
24.08.2025;15:30;8.96;8.96;8.96;8.96;8.96;5307007;0
24.08.2025;15:45;8.96;8.96;8.96;8.96;8.96;388003;0
24.08.2025;16:00;8.96;8.96;8.96;8.96;8.96;3934156;0
24.08.2025;16:15;8.96;8.96;8.72;8.80;8.84;36006250;0
24.08.2025;16:30;8.80;8.80;8.56;8.65;8.68;60858028;0
24.08.2025;16:45;8.65;8.70;8.48;8.60;8.59;48551047;0
24.08.2025;17:00;8.60;8.60;8.37;8.49;8.49;49638147;0
24.08.2025;17:15;8.49;8.67;8.33;8.41;8.50;32160147;0
24.08.2025;17:30;8.41;8.48;8.30;8.36;8.39;25141761;0
24.08.2025;17:45;8.38;8.41;8.31;8.33;8.36;10076666;0
24.08.2025;18:00;8.33;8.39;8.30;8.30;8.35;7423789;0
27.08.2025;10:00;8.23;8.75;8.00;8.65;8.38;59678340;0
27.08.2025;10:15;8.66;8.84;8.60;8.69;8.72;51812305;0
27.08.2025;10:30;8.69;8.75;8.53;8.53;8.64;22509485;0
27.08.2025;10:45;8.55;8.64;8.49;8.59;8.57;15719742;0
27.08.2025;11:00;8.59;8.63;8.51;8.58;8.57;8392281;0
27.08.2025;11:15;8.57;8.65;8.55;8.57;8.60;6002104;0
27.08.2025;11:30;8.57;8.68;8.56;8.62;8.62;5075448;0
27.08.2025;11:45;8.61;8.61;8.52;8.54;8.57;4847861;0
27.08.2025;12:00;8.55;8.59;8.52;8.53;8.56;3730029;0
27.08.2025;12:15;8.52;8.55;8.49;8.49;8.52;4053767;0
27.08.2025;12:30;8.50;8.53;8.48;8.49;8.50;4290191;0
27.08.2025;12:45;8.49;8.60;8.48;8.60;8.54;5190571;0
27.08.2025;13:00;8.60;8.60;8.47;8.51;8.54;7238320;0
27.08.2025;13:15;8.51;8.51;8.48;8.49;8.49;2042342;0
27.08.2025;13:30;8.49;8.51;8.48;8.49;8.49;2455380;0
27.08.2025;13:45;8.49;8.57;8.49;8.56;8.53;4243566;0
27.08.2025;14:00;8.56;8.61;8.53;8.59;8.57;6832698;0
27.08.2025;14:15;8.57;8.58;8.50;8.50;8.54;3292601;0
27.08.2025;14:30;8.50;8.52;8.45;8.45;8.49;3641046;0
27.08.2025;14:45;8.44;8.46;8.34;8.45;8.40;7156381;0
27.08.2025;15:00;8.45;8.49;8.43;8.46;8.46;2719189;0
27.08.2025;15:15;8.46;8.46;8.39;8.40;8.43;4121423;0
27.08.2025;15:30;8.40;8.41;8.32;8.33;8.36;4352858;0
27.08.2025;15:45;8.33;8.36;8.31;8.35;8.34;4669044;0
27.08.2025;16:00;8.33;8.38;8.32;8.33;8.35;3602146;0
27.08.2025;16:15;8.34;8.36;8.27;8.33;8.32;5628745;0
27.08.2025;16:30;8.34;8.42;8.29;8.38;8.36;4384411;0
27.08.2025;16:45;8.38;8.50;8.38;8.46;8.44;9014388;0
27.08.2025;17:00;8.46;8.47;8.40;8.42;8.43;4829814;0
27.08.2025;17:15;8.42;8.42;8.38;8.41;8.40;2811944;0
27.08.2025;17:30;8.41;8.46;8.37;8.39;8.41;4897814;0
27.08.2025;17:45;8.39;8.39;8.27;8.28;8.33;8344038;0
27.08.2025;18:00;8.28;8.34;8.28;8.32;8.31;4946032;0
28.08.2025;10:00;8.40;8.60;8.36;8.40;8.48;19566779;0
28.08.2025;10:15;8.40;8.41;8.29;8.39;8.35;8226633;0
28.08.2025;10:30;8.38;8.42;8.32;8.35;8.37;5841072;0
28.08.2025;10:45;8.35;8.36;8.24;8.28;8.30;6357206;0
28.08.2025;11:00;8.28;8.28;8.22;8.27;8.25;4107506;0
28.08.2025;11:15;8.26;8.27;8.24;8.26;8.26;3527340;0
28.08.2025;11:30;8.27;8.31;8.25;8.30;8.28;1511818;0
28.08.2025;11:45;8.30;8.42;8.27;8.35;8.35;5482984;0
28.08.2025;12:00;8.36;8.41;8.31;8.39;8.36;8400325;0
28.08.2025;12:15;8.39;8.41;8.31;8.34;8.36;7794143;0
28.08.2025;12:30;8.33;8.34;8.28;8.33;8.31;4939714;0
28.08.2025;12:45;8.32;8.44;8.32;8.37;8.38;6320671;0
28.08.2025;13:00;8.37;8.37;8.30;8.35;8.34;4100840;0
28.08.2025;13:15;8.35;8.36;8.32;8.32;8.34;1554494;0
28.08.2025;13:30;8.34;8.38;8.33;8.35;8.36;1594287;0
28.08.2025;13:45;8.35;8.37;8.32;8.33;8.34;2963875;0
28.08.2025;14:00;8.33;8.34;8.32;8.33;8.33;1821437;0
28.08.2025;14:15;8.34;8.35;8.32;8.32;8.34;5049038;0
28.08.2025;14:30;8.32;8.35;8.32;8.33;8.34;2678049;0
28.08.2025;14:45;8.35;8.35;8.32;8.34;8.34;1936207;0
28.08.2025;15:00;8.34;8.38;8.32;8.36;8.35;3293697;0
28.08.2025;15:15;8.35;8.36;8.32;8.32;8.34;2930718;0
28.08.2025;15:30;8.32;8.34;8.29;8.29;8.32;4225445;0
28.08.2025;15:45;8.29;8.30;8.27;8.27;8.29;1959791;0
28.08.2025;16:00;8.27;8.28;8.25;8.27;8.26;1914924;0
28.08.2025;16:15;8.27;8.28;8.24;8.26;8.26;2445799;0
28.08.2025;16:30;8.25;8.26;8.21;8.22;8.24;2369334;0
28.08.2025;16:45;8.22;8.23;8.16;8.20;8.19;4714775;0
28.08.2025;17:00;8.21;8.22;8.18;8.19;8.20;2348657;0
28.08.2025;17:15;8.19;8.27;8.18;8.26;8.23;4057507;0
28.08.2025;17:30;8.25;8.27;8.23;8.23;8.25;2108174;0
28.08.2025;17:45;8.23;8.24;8.19;8.23;8.21;2987484;0
28.08.2025;18:00;8.23;8.25;8.22;8.23;8.24;3529928;0
29.08.2025;10:00;8.25;8.40;8.15;8.16;8.27;9007958;0
