Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;0.44;0.44;0.44;0.44;0.44;250085;0
27.02.2024;10:05;0.44;0.46;0.44;0.46;0.45;22235300;0
27.02.2024;11:05;0.46;0.46;0.45;0.46;0.46;10364890;0
27.02.2024;12:05;0.46;0.46;0.46;0.46;0.46;3176444;0
27.02.2024;13:05;0.46;0.46;0.46;0.46;0.46;5404144;0
27.02.2024;14:05;0.46;0.46;0.46;0.46;0.46;3288462;0
27.02.2024;15:05;0.46;0.46;0.46;0.46;0.46;4885137;0
27.02.2024;16:05;0.46;0.47;0.46;0.46;0.46;9699309;0
27.02.2024;17:05;0.46;0.47;0.46;0.46;0.46;11861560;0
27.02.2024;18:05;0.46;0.46;0.46;0.46;0.46;724465;0
01.03.2024;09:05;0.46;0.46;0.46;0.46;0.46;1730329;0
01.03.2024;10:05;0.46;0.48;0.46;0.48;0.47;26703980;0
01.03.2024;11:05;0.48;0.48;0.47;0.48;0.48;16636430;0
01.03.2024;12:05;0.48;0.48;0.47;0.47;0.47;9210230;0
01.03.2024;13:05;0.47;0.47;0.47;0.47;0.47;4816693;0
01.03.2024;14:05;0.47;0.47;0.47;0.47;0.47;7531310;0
01.03.2024;15:05;0.47;0.47;0.47;0.47;0.47;3722262;0
01.03.2024;16:05;0.47;0.48;0.47;0.47;0.47;5228743;0
01.03.2024;17:05;0.47;0.47;0.47;0.47;0.47;5842842;0
01.03.2024;18:05;0.47;0.47;0.47;0.47;0.47;429385;0
02.03.2024;09:05;0.48;0.48;0.48;0.48;0.48;221404;0
02.03.2024;10:05;0.48;0.48;0.47;0.47;0.47;8136555;0
02.03.2024;11:05;0.47;0.48;0.47;0.47;0.47;7739372;0
02.03.2024;12:05;0.48;0.48;0.47;0.48;0.48;5268555;0
08.03.2024;09:05;0.47;0.47;0.47;0.47;0.47;1506425;0
08.03.2024;10:05;0.47;0.48;0.47;0.48;0.47;17635480;0
08.03.2024;11:05;0.48;0.48;0.47;0.48;0.48;14253700;0
08.03.2024;12:05;0.48;0.48;0.47;0.47;0.47;9519876;0
08.03.2024;13:05;0.47;0.47;0.47;0.47;0.47;8409338;0
08.03.2024;14:05;0.47;0.47;0.47;0.47;0.47;5212395;0
08.03.2024;15:05;0.47;0.47;0.47;0.47;0.47;7089499;0
08.03.2024;16:05;0.47;0.47;0.47;0.47;0.47;6660371;0
08.03.2024;17:05;0.47;0.47;0.47;0.47;0.47;29155800;0
08.03.2024;18:05;0.47;0.47;0.47;0.47;0.47;922215;0
09.03.2024;09:05;0.47;0.47;0.47;0.47;0.47;855625;0
09.03.2024;10:05;0.47;0.47;0.45;0.46;0.46;23298240;0
09.03.2024;11:05;0.46;0.46;0.45;0.45;0.46;15984790;0
09.03.2024;12:05;0.45;0.46;0.45;0.46;0.45;11364940;0
09.03.2024;13:05;0.46;0.46;0.45;0.46;0.45;5868214;0
09.03.2024;14:05;0.45;0.46;0.45;0.46;0.45;7767526;0
09.03.2024;15:05;0.46;0.46;0.45;0.45;0.45;7886857;0
09.03.2024;16:05;0.45;0.46;0.45;0.45;0.45;13859390;0
09.03.2024;17:05;0.45;0.46;0.45;0.45;0.45;17927240;0
09.03.2024;18:05;0.45;0.45;0.45;0.45;0.45;665489;0
10.03.2024;09:05;0.45;0.45;0.45;0.45;0.45;313430;0
10.03.2024;10:05;0.45;0.46;0.45;0.45;0.45;31189070;0
10.03.2024;11:05;0.45;0.45;0.45;0.45;0.45;9948235;0
10.03.2024;12:05;0.45;0.45;0.44;0.45;0.45;22472740;0
10.03.2024;13:05;0.45;0.45;0.44;0.45;0.45;8349974;0
10.03.2024;14:05;0.45;0.45;0.44;0.44;0.44;12824880;0
10.03.2024;15:05;0.44;0.44;0.44;0.44;0.44;15885570;0
10.03.2024;16:05;0.44;0.45;0.44;0.44;0.44;10334560;0
10.03.2024;17:05;0.44;0.45;0.44;0.45;0.44;7178862;0
