Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;16:05;7.70;7.72;7.58;7.61;7.65;2137601;0
26.02.2024;17:05;7.61;7.61;7.54;7.54;7.58;2700920;0
26.02.2024;18:05;7.57;7.57;7.57;7.57;7.57;214994;0
27.02.2024;09:05;7.74;7.74;7.74;7.74;7.74;15959;0
27.02.2024;10:05;7.69;7.87;7.60;7.81;7.73;3736003;0
27.02.2024;11:05;7.80;7.82;7.76;7.78;7.79;1714067;0
27.02.2024;12:05;7.78;7.83;7.73;7.82;7.78;1694282;0
27.02.2024;13:05;7.82;7.92;7.82;7.92;7.87;1828151;0
27.02.2024;14:05;7.92;7.97;7.87;7.91;7.92;1750192;0
27.02.2024;15:05;7.92;7.92;7.82;7.84;7.87;2086974;0
27.02.2024;16:05;7.85;7.94;7.84;7.91;7.89;1359533;0
27.02.2024;17:05;7.90;8.03;7.90;7.96;7.96;1552424;0
27.02.2024;18:05;7.96;7.96;7.96;7.96;7.96;87132;0
01.03.2024;09:05;7.97;7.97;7.97;7.97;7.97;11579;0
01.03.2024;10:05;7.97;8.12;7.89;8.12;8.00;5614605;0
01.03.2024;11:05;8.11;8.18;8.07;8.15;8.12;2697102;0
01.03.2024;12:05;8.15;8.17;8.13;8.17;8.15;1697532;0
01.03.2024;13:05;8.17;8.27;8.16;8.19;8.22;2196352;0
01.03.2024;14:05;8.19;8.21;8.16;8.19;8.18;686943;0
01.03.2024;15:05;8.19;8.19;8.17;8.17;8.18;404188;0
01.03.2024;16:05;8.17;8.27;8.17;8.22;8.22;1877243;0
01.03.2024;17:05;8.22;8.29;8.17;8.17;8.23;8727469;0
01.03.2024;18:05;8.17;8.17;8.17;8.17;8.17;644440;0
02.03.2024;09:05;8.27;8.27;8.27;8.27;8.27;63638;0
02.03.2024;10:05;8.27;8.28;8.07;8.22;8.17;1720046;0
02.03.2024;11:05;8.22;8.31;8.17;8.30;8.24;2395066;0
02.03.2024;12:05;8.30;8.58;8.27;8.58;8.43;4392417;0
08.03.2024;09:05;8.46;8.46;8.46;8.46;8.46;335709;0
08.03.2024;10:05;8.45;8.68;8.30;8.57;8.49;7823988;0
08.03.2024;11:05;8.58;8.64;8.53;8.59;8.59;2256357;0
08.03.2024;12:05;8.59;8.59;8.53;8.54;8.56;1577419;0
08.03.2024;13:05;8.54;8.57;8.52;8.54;8.55;774273;0
08.03.2024;14:05;8.53;8.54;8.48;8.50;8.51;1087820;0
08.03.2024;15:05;8.50;8.51;8.45;8.47;8.48;849178;0
