Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;33.27;33.27;33.27;33.27;33.27;820972;0
27.02.2024;10:05;33.27;33.97;33.27;33.90;33.62;38271432;0
27.02.2024;11:05;33.88;34.19;33.88;34.09;34.03;23061000;0
27.02.2024;12:05;34.11;34.36;33.93;34.05;34.15;25474180;0
27.02.2024;13:05;34.07;34.17;33.95;34.11;34.06;8982799;0
27.02.2024;14:05;34.09;34.34;34.09;34.28;34.22;13890060;0
27.02.2024;15:05;34.28;34.58;34.09;34.28;34.34;29135010;0
27.02.2024;16:05;34.30;34.77;34.30;34.54;34.53;25251710;0
27.02.2024;17:05;34.52;35.08;34.48;34.85;34.78;28896250;0
27.02.2024;18:05;34.85;34.85;34.85;34.85;34.85;3952758;0
01.03.2024;09:05;34.87;34.87;34.87;34.87;34.87;816425;0
01.03.2024;10:05;34.89;35.49;34.87;35.45;35.18;42604128;0
01.03.2024;11:05;35.45;35.47;34.97;35.22;35.22;25787570;0
01.03.2024;12:05;35.24;35.57;35.12;35.51;35.34;26564890;0
01.03.2024;13:05;35.51;35.53;35.16;35.33;35.34;16383020;0
01.03.2024;14:05;35.33;35.37;35.02;35.14;35.19;22807420;0
01.03.2024;15:05;35.14;35.30;35.04;35.20;35.17;12309390;0
01.03.2024;16:05;35.22;35.33;35.10;35.30;35.22;12703040;0
01.03.2024;17:05;35.30;35.92;35.18;35.61;35.55;73313840;0
01.03.2024;18:05;35.80;35.80;35.80;35.80;35.80;2058790;0
02.03.2024;09:05;35.98;35.98;35.98;35.98;35.98;1467235;0
02.03.2024;10:05;35.98;36.03;35.43;35.61;35.73;32343440;0
02.03.2024;11:05;35.63;36.58;35.61;36.54;36.10;47708272;0
02.03.2024;12:05;36.54;37.07;36.48;36.95;36.77;67751312;0
08.03.2024;09:05;36.83;36.83;36.83;36.83;36.83;3333585;0
08.03.2024;10:05;36.81;36.83;36.02;36.17;36.43;65488568;0
08.03.2024;11:05;36.17;36.64;36.09;36.40;36.36;40965992;0
08.03.2024;12:05;36.38;37.01;36.33;36.81;36.67;31554320;0
08.03.2024;13:05;36.79;36.95;36.54;36.56;36.75;17819800;0
08.03.2024;14:05;36.56;36.66;36.40;36.64;36.53;12142060;0
08.03.2024;15:05;36.64;36.73;36.46;36.64;36.59;12369410;0
08.03.2024;16:05;36.62;36.87;36.58;36.73;36.73;10134830;0
08.03.2024;17:05;36.73;36.73;36.37;36.38;36.55;25230100;0
08.03.2024;18:05;36.37;36.37;36.37;36.37;36.37;8019647;0
09.03.2024;09:05;36.38;36.38;36.38;36.38;36.38;1310898;0
09.03.2024;10:05;36.38;36.40;35.04;35.04;35.72;56847200;0
09.03.2024;11:05;35.06;35.28;34.91;35.10;35.09;30913200;0
09.03.2024;12:05;35.10;35.22;34.91;35.18;35.07;17247030;0
09.03.2024;13:05;35.18;35.59;35.14;35.53;35.36;17201170;0
09.03.2024;14:05;35.55;35.86;35.41;35.67;35.64;17887370;0
09.03.2024;15:05;35.67;35.74;35.57;35.67;35.66;10386050;0
09.03.2024;16:05;35.65;35.67;35.39;35.49;35.53;10200140;0
09.03.2024;17:05;35.49;35.68;35.37;35.41;35.52;19044620;0
09.03.2024;18:05;35.37;35.37;35.37;35.37;35.37;2795149;0
10.03.2024;09:05;35.49;35.49;35.49;35.49;35.49;490232;0
10.03.2024;10:05;35.51;35.82;35.47;35.72;35.65;23681400;0
10.03.2024;11:05;35.72;36.33;35.59;36.02;35.96;29765340;0
10.03.2024;12:05;36.02;38.23;36.00;36.35;37.11;84093472;0
10.03.2024;13:05;36.37;36.58;36.17;36.40;36.38;16662750;0
10.03.2024;14:05;36.38;36.46;36.21;36.31;36.33;13409010;0
10.03.2024;15:05;36.29;36.40;36.09;36.11;36.25;16740770;0
10.03.2024;16:05;36.11;36.56;36.09;36.21;36.33;18432850;0
10.03.2024;17:05;36.21;36.66;36.03;36.37;36.34;31169950;0
10.03.2024;18:05;36.56;36.56;36.56;36.56;36.56;7382500;0
11.03.2024;09:05;36.64;36.64;36.64;36.64;36.64;857936;0
11.03.2024;10:05;36.64;36.72;36.29;36.31;36.51;22905130;0
11.03.2024;11:05;36.31;36.35;35.88;36.23;36.11;24037810;0
11.03.2024;12:05;36.23;36.27;35.82;36.02;36.05;16163940;0
11.03.2024;13:05;36.02;36.11;35.92;36.05;36.01;7640401;0
11.03.2024;14:05;36.03;36.09;35.96;36.02;36.02;7283421;0
11.03.2024;15:05;36.02;36.21;35.70;35.74;35.95;21122820;0
11.03.2024;16:05;35.74;35.76;35.41;35.49;35.58;24527080;0
11.03.2024;17:05;35.49;35.88;35.37;35.68;35.62;20844090;0
11.03.2024;18:05;35.65;35.65;35.65;35.65;35.65;3176552;0
12.03.2024;09:05;35.04;35.04;35.04;35.04;35.04;657117;0
12.03.2024;10:05;35.04;35.55;35.04;35.45;35.30;21782610;0
12.03.2024;11:05;35.45;36.97;35.30;35.90;36.14;42135408;0
12.03.2024;12:05;35.88;36.00;35.72;35.84;35.86;11421620;0
12.03.2024;13:05;35.82;35.88;35.74;35.78;35.81;2868445;0
12.03.2024;14:05;35.78;35.92;35.45;35.88;35.68;14880480;0
12.03.2024;15:05;35.88;36.31;35.82;36.11;36.07;20439300;0
12.03.2024;16:05;36.15;36.37;36.09;36.21;36.23;10835010;0
12.03.2024;17:05;36.23;36.87;36.11;36.44;36.49;43456152;0
12.03.2024;18:05;36.44;36.44;36.44;36.44;36.44;4232505;0
15.03.2024;09:05;36.56;36.56;36.56;36.56;36.56;1603227;0
15.03.2024;10:05;36.60;37.45;36.60;37.28;37.02;54420048;0
15.03.2024;11:05;37.26;37.45;37.14;37.26;37.30;24684130;0
15.03.2024;12:05;37.26;37.34;36.99;37.01;37.17;13083720;0
15.03.2024;13:05;37.03;37.07;36.75;37.01;36.91;19661340;0
15.03.2024;14:05;37.03;37.05;36.77;36.85;36.91;11678990;0
15.03.2024;15:05;36.83;36.99;36.72;36.73;36.86;11473930;0
15.03.2024;16:05;36.73;36.79;36.46;36.72;36.62;11844290;0
15.03.2024;17:05;36.72;36.72;36.42;36.50;36.57;21997360;0
15.03.2024;18:05;36.48;36.48;36.48;36.48;36.48;3101253;0
17.03.2024;09:05;36.60;36.60;36.60;36.60;36.60;1477218;0
17.03.2024;10:05;36.60;36.83;36.29;36.48;36.56;42194200;0
17.03.2024;11:05;36.46;36.66;36.44;36.54;36.55;14683140;0
17.03.2024;12:05;36.54;36.64;36.37;36.38;36.50;13276180;0
17.03.2024;13:05;36.40;36.44;35.82;35.94;36.13;70333288;0
17.03.2024;14:05;35.92;36.00;35.84;35.92;35.92;50407780;0
17.03.2024;15:05;35.88;36.05;35.84;35.86;35.94;9182532;0
17.03.2024;16:05;35.84;36.07;35.84;36.02;35.95;12120930;0
17.03.2024;17:05;36.02;36.40;36.00;36.23;36.20;22619870;0
17.03.2024;18:05;36.23;36.23;36.23;36.23;36.23;3085533;0
18.03.2024;09:05;36.52;36.52;36.52;36.52;36.52;1181638;0
18.03.2024;10:05;36.46;37.18;36.38;37.12;36.78;68901056;0
18.03.2024;11:05;37.10;37.30;36.93;37.14;37.11;37876280;0
18.03.2024;12:05;37.14;37.40;37.10;37.18;37.25;28628690;0
18.03.2024;13:05;37.20;37.38;37.14;37.14;37.26;19548830;0
18.03.2024;14:05;37.18;37.75;37.18;37.30;37.47;70894552;0
18.03.2024;15:05;37.28;37.59;37.28;37.32;37.43;33844688;0
18.03.2024;16:05;37.32;37.49;37.08;37.36;37.29;32033310;0
18.03.2024;17:05;37.36;37.67;37.30;37.63;37.48;41692100;0
18.03.2024;18:05;37.71;37.71;37.71;37.71;37.71;3703334;0
19.03.2024;09:05;38.39;38.39;38.39;38.39;38.39;3460067;0
19.03.2024;10:05;38.41;38.72;37.67;37.79;38.19;87931904;0
19.03.2024;11:05;37.77;37.92;37.69;37.90;37.80;18269370;0
19.03.2024;12:05;37.92;37.96;37.63;37.65;37.80;21793910;0
19.03.2024;13:05;37.65;37.69;37.38;37.40;37.53;23241120;0
19.03.2024;14:05;37.38;37.51;37.28;37.38;37.39;28976410;0
19.03.2024;15:05;37.40;37.43;37.14;37.38;37.28;28298150;0
19.03.2024;16:05;37.38;37.47;37.08;37.14;37.28;50100152;0
19.03.2024;17:05;37.12;37.69;37.05;37.51;37.37;52765800;0
19.03.2024;18:05;37.51;37.51;37.51;37.51;37.51;11103830;0
22.03.2024;09:05;37.98;37.98;37.98;37.98;37.98;3725543;0
22.03.2024;10:05;38.00;38.74;37.79;38.50;38.27;114449800;0
22.03.2024;11:05;38.50;38.66;38.23;38.39;38.44;75930240;0
22.03.2024;12:05;38.41;38.49;37.92;38.04;38.20;29147000;0
22.03.2024;13:05;38.04;38.12;37.90;37.92;38.01;11143320;0
22.03.2024;14:05;37.92;37.94;37.59;37.61;37.76;24181460;0
22.03.2024;15:05;37.61;38.25;37.53;38.00;37.89;22203050;0
22.03.2024;16:05;38.00;38.23;37.94;38.08;38.08;17606230;0
22.03.2024;17:05;38.08;38.10;37.71;37.71;37.90;29478120;0
22.03.2024;18:05;37.71;37.71;37.71;37.71;37.71;11634470;0
23.03.2024;09:05;37.73;37.73;37.73;37.73;37.73;1648883;0
23.03.2024;10:05;37.73;37.73;37.16;37.34;37.44;45110020;0
23.03.2024;11:05;37.32;37.45;37.16;37.18;37.31;22134030;0
23.03.2024;12:05;37.18;37.34;37.14;37.24;37.24;14841600;0
23.03.2024;13:05;37.24;37.47;37.24;37.26;37.36;16692430;0
23.03.2024;14:05;37.26;37.34;37.14;37.22;37.24;13580170;0
23.03.2024;15:05;37.20;37.30;37.07;37.12;37.18;17183370;0
23.03.2024;16:05;37.08;37.30;36.95;37.22;37.12;23640010;0
23.03.2024;17:05;37.20;37.40;37.14;37.22;37.27;41228968;0
23.03.2024;18:05;37.40;37.40;37.40;37.40;37.40;8218056;0
