Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;88.46;88.46;88.46;88.46;88.46;2087910;0
27.02.2024;10:05;88.42;90.28;88.42;89.84;89.35;48265352;0
27.02.2024;11:05;89.79;90.43;89.44;90.18;89.94;32917430;0
27.02.2024;12:05;90.18;90.38;89.59;89.69;89.99;16400600;0
27.02.2024;13:05;89.74;90.38;89.64;90.18;90.01;13884690;0
27.02.2024;14:05;90.18;91.07;90.03;90.53;90.55;29104300;0
27.02.2024;15:05;90.53;90.62;89.93;90.53;90.28;19846640;0
27.02.2024;16:05;90.48;91.95;90.43;91.27;91.19;30984080;0
27.02.2024;17:05;91.32;92.24;90.62;92.24;91.43;53311260;0
27.02.2024;18:05;92.24;92.24;92.24;92.24;92.24;7979408;0
01.03.2024;09:05;92.39;92.39;92.39;92.39;92.39;5407444;0
01.03.2024;10:05;92.44;97.36;92.39;95.59;94.87;148786304;0
01.03.2024;11:05;95.59;96.47;94.70;95.24;95.59;65320248;0
01.03.2024;12:05;95.24;96.82;95.04;96.13;95.93;71608408;0
01.03.2024;13:05;96.18;96.47;95.78;96.42;96.12;29317780;0
01.03.2024;14:05;96.42;96.52;95.24;95.93;95.88;39953180;0
01.03.2024;15:05;95.93;96.08;95.39;95.78;95.74;23550110;0
01.03.2024;16:05;95.78;96.77;95.64;96.38;96.20;39583072;0
01.03.2024;17:05;96.42;97.26;96.08;96.62;96.67;69584408;0
01.03.2024;18:05;96.38;96.38;96.38;96.38;96.38;4655511;0
02.03.2024;09:05;96.38;96.38;96.38;96.38;96.38;2517432;0
02.03.2024;10:05;96.42;96.82;93.92;95.14;95.37;81131792;0
02.03.2024;11:05;95.14;96.77;94.99;96.52;95.88;58959820;0
02.03.2024;12:05;96.52;103.30;95.68;103.11;99.49;82751848;0
08.03.2024;09:05;100.16;100.16;100.16;100.16;100.16;6635427;0
08.03.2024;10:05;100.06;100.16;98.29;99.37;99.22;144252400;0
08.03.2024;11:05;99.47;101.24;99.28;100.06;100.26;76631952;0
08.03.2024;12:05;99.97;101.04;99.67;100.06;100.35;50408360;0
08.03.2024;13:05;100.16;100.35;99.18;99.57;99.77;50117620;0
08.03.2024;14:05;99.67;99.87;98.98;99.57;99.42;39883700;0
08.03.2024;15:05;99.57;100.06;99.08;99.28;99.57;43526220;0
08.03.2024;16:05;99.28;100.26;99.18;99.57;99.72;37042952;0
08.03.2024;17:05;99.57;99.67;98.09;99.28;98.88;95291824;0
08.03.2024;18:05;98.98;98.98;98.98;98.98;98.98;12804410;0
09.03.2024;09:05;97.16;97.16;97.16;97.16;97.16;3982565;0
09.03.2024;10:05;97.16;97.46;94.61;94.99;96.03;119228200;0
09.03.2024;11:05;94.95;95.49;92.34;92.34;93.92;161442400;0
09.03.2024;12:05;92.29;92.34;90.18;90.67;91.26;260211904;0
09.03.2024;13:05;90.67;91.61;90.43;91.56;91.02;172103104;0
09.03.2024;14:05;91.56;93.48;91.22;92.83;92.35;102834496;0
09.03.2024;15:05;92.88;93.13;91.76;92.05;92.44;50494072;0
09.03.2024;16:05;92.09;92.29;91.46;91.85;91.87;34456420;0
09.03.2024;17:05;91.85;92.64;91.46;92.00;92.05;59011620;0
09.03.2024;18:05;91.12;91.12;91.12;91.12;91.12;15619030;0
10.03.2024;09:05;91.61;91.61;91.61;91.61;91.61;1092304;0
10.03.2024;10:05;91.61;93.77;91.61;92.69;92.69;105575200;0
10.03.2024;11:05;92.69;92.79;92.05;92.05;92.42;33586200;0
10.03.2024;12:05;92.09;92.14;91.66;91.71;91.90;22500700;0
10.03.2024;13:05;91.71;91.85;91.32;91.46;91.59;19931380;0
10.03.2024;14:05;91.51;91.61;91.17;91.27;91.39;14271300;0
10.03.2024;15:05;91.27;91.46;90.18;90.23;90.82;32242530;0
10.03.2024;16:05;90.28;91.36;90.18;90.62;90.77;21611850;0
10.03.2024;17:05;90.62;92.29;90.48;91.22;91.39;47797160;0
10.03.2024;18:05;90.92;90.92;90.92;90.92;90.92;6969505;0
11.03.2024;09:05;91.32;91.32;91.32;91.32;91.32;698237;0
11.03.2024;10:05;91.32;92.00;90.67;90.72;91.34;57051840;0
11.03.2024;11:05;90.72;91.27;90.48;91.22;90.87;36985160;0
11.03.2024;12:05;91.12;91.17;90.67;90.82;90.92;18910120;0
11.03.2024;13:05;90.82;91.12;90.62;90.82;90.87;17952830;0
11.03.2024;14:05;90.87;91.27;90.77;90.92;91.02;16196280;0
11.03.2024;15:05;90.97;91.02;90.48;90.62;90.75;20117420;0
