Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
28.07.2021;00:00;9.80;10.78;9.64;10.78;10.21;1125752064;0
29.07.2021;00:00;11.28;11.66;10.22;10.52;10.94;851834176;0
01.08.2021;00:00;10.41;10.58;9.91;9.91;10.24;359337792;0
02.08.2021;00:00;9.91;10.19;9.78;9.79;9.98;194768896;0
03.08.2021;00:00;9.81;9.85;9.32;9.39;9.59;200180800;0
04.08.2021;00:00;9.43;9.80;9.16;9.53;9.48;142975504;0
09.08.2021;00:00;9.54;9.58;9.29;9.29;9.43;95297824;0
10.08.2021;00:00;9.32;9.33;9.06;9.06;9.20;73621744;0
11.08.2021;00:00;9.05;9.24;8.60;8.74;8.92;101070400;0
12.08.2021;00:00;8.83;9.46;8.66;9.01;9.06;145608000;0
13.08.2021;00:00;9.18;9.39;9.06;9.17;9.23;76181840;0
16.08.2021;00:00;9.23;9.23;8.93;8.97;9.08;48430128;0
17.08.2021;00:00;8.98;8.99;8.71;8.74;8.85;39394900;0
18.08.2021;00:00;8.78;8.98;8.71;8.72;8.84;36954688;0
19.08.2021;00:00;8.72;8.75;8.65;8.65;8.70;28451630;0
20.08.2021;00:00;8.65;8.82;8.61;8.66;8.71;27695700;0
23.08.2021;00:00;8.67;8.70;8.60;8.61;8.65;24720980;0
24.08.2021;00:00;8.65;8.65;8.42;8.44;8.53;28711020;0
25.08.2021;00:00;8.50;8.52;8.40;8.41;8.46;23929760;0
26.08.2021;00:00;8.41;8.92;8.31;8.62;8.62;77336112;0
27.08.2021;00:00;8.68;8.87;8.54;8.78;8.70;58473780;0
30.08.2021;00:00;8.78;9.32;8.78;9.21;9.05;86385088;0
31.08.2021;00:00;9.22;9.44;8.77;9.12;9.11;104840000;0
01.09.2021;00:00;9.20;9.38;9.13;9.16;9.26;46884920;0
02.09.2021;00:00;9.17;9.34;9.06;9.20;9.20;53164272;0
03.09.2021;00:00;9.32;10.12;9.32;10.12;9.72;248468096;0
06.09.2021;00:00;10.46;10.72;9.98;10.16;10.35;203174400;0
07.09.2021;00:00;10.34;10.40;9.65;9.71;10.02;98228280;0
10.09.2021;00:00;9.71;9.83;9.47;9.49;9.65;53354480;0
11.09.2021;00:00;9.49;9.85;9.41;9.77;9.63;73153072;0
12.09.2021;00:00;9.83;10.19;9.76;10.11;9.97;66134460;0
15.09.2021;00:00;10.28;10.53;10.15;10.46;10.34;52842540;0
16.09.2021;00:00;10.52;10.52;10.19;10.24;10.36;61912540;0
17.09.2021;00:00;10.28;10.31;9.91;9.98;10.11;51983712;0
18.09.2021;00:00;9.99;10.85;9.93;10.54;10.39;187748192;0
19.09.2021;00:00;10.56;11.15;10.33;10.90;10.74;198996704;0
22.09.2021;00:00;11.32;11.75;10.79;10.81;11.27;161195696;0
23.09.2021;00:00;10.81;11.22;10.61;11.20;10.91;124654800;0
24.09.2021;00:00;11.30;11.98;10.97;11.79;11.47;219307696;0
25.09.2021;00:00;12.02;12.97;11.99;12.61;12.48;293467488;0
