Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
08.05.2005;00:00;0.54;0.55;0.52;0.54;0.53;115382;0
09.05.2005;00:00;0.54;0.59;0.53;0.54;0.56;334153;0
10.05.2005;00:00;0.53;0.54;0.50;0.52;0.52;171093;0
14.05.2005;00:00;0.52;0.52;0.45;0.46;0.48;100346;0
15.05.2005;00:00;0.46;0.46;0.44;0.46;0.45;137702;0
16.05.2005;00:00;0.45;0.47;0.45;0.45;0.46;99369;0
17.05.2005;00:00;0.46;0.46;0.45;0.46;0.45;68936;0
18.05.2005;00:00;0.46;0.48;0.46;0.47;0.47;189218;0
21.05.2005;00:00;0.48;0.50;0.46;0.49;0.48;210155;0
22.05.2005;00:00;0.52;0.52;0.48;0.48;0.50;363801;0
23.05.2005;00:00;0.48;0.49;0.45;0.48;0.47;184954;0
25.05.2005;00:00;0.49;0.49;0.47;0.48;0.48;129933;0
26.05.2005;00:00;0.48;0.49;0.48;0.48;0.48;110005;0
29.05.2005;00:00;0.47;0.48;0.46;0.48;0.47;58610;0
30.05.2005;00:00;0.47;0.50;0.46;0.48;0.48;294961;0
31.05.2005;00:00;0.50;0.53;0.48;0.49;0.50;567427;0
01.06.2005;00:00;0.51;0.51;0.47;0.50;0.49;117672;0
02.06.2005;00:00;0.50;0.50;0.46;0.47;0.48;83851;0
05.06.2005;00:00;0.48;0.48;0.46;0.47;0.47;61768;0
06.06.2005;00:00;0.46;0.46;0.43;0.44;0.45;143479;0
07.06.2005;00:00;0.46;0.46;0.43;0.44;0.45;76357;0
08.06.2005;00:00;0.45;0.46;0.45;0.45;0.45;116684;0
09.06.2005;00:00;0.46;0.48;0.45;0.45;0.46;42918;0
12.06.2005;00:00;0.45;0.48;0.45;0.46;0.46;191084;0
13.06.2005;00:00;0.46;0.47;0.46;0.46;0.47;41988;0
14.06.2005;00:00;0.46;0.48;0.44;0.45;0.46;83597;0
15.06.2005;00:00;0.47;0.47;0.44;0.45;0.45;100918;0
16.06.2005;00:00;0.46;0.46;0.43;0.43;0.45;53668;0
19.06.2005;00:00;0.43;0.45;0.41;0.42;0.43;95839;0
20.06.2005;00:00;0.42;0.42;0.41;0.42;0.41;47051;0
21.06.2005;00:00;0.42;0.43;0.41;0.42;0.42;74469;0
22.06.2005;00:00;0.42;0.45;0.42;0.43;0.43;411906;0
23.06.2005;00:00;0.48;0.52;0.44;0.48;0.48;267417;0
