Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;40.02;40.02;40.02;40.02;40.02;151596;0
27.02.2024;09:05;40.12;40.12;40.12;40.12;40.12;11916;0
27.02.2024;10:05;40.12;41.40;39.94;41.20;40.67;8671710;0
27.02.2024;11:05;41.20;42.30;41.02;41.80;41.66;9936194;0
27.02.2024;12:05;41.80;41.90;41.14;41.16;41.52;7414284;0
27.02.2024;13:05;41.26;41.90;41.16;41.44;41.53;3375005;0
27.02.2024;14:05;41.42;41.42;40.70;41.34;41.06;4002128;0
27.02.2024;15:05;41.28;41.34;40.98;41.34;41.16;4500554;0
27.02.2024;16:05;41.32;41.58;41.18;41.46;41.38;2475225;0
27.02.2024;17:05;41.46;42.12;41.38;42.08;41.75;6736036;0
27.02.2024;18:05;42.08;42.08;42.08;42.08;42.08;177872;0
01.03.2024;09:05;42.08;42.08;42.08;42.08;42.08;209474;0
01.03.2024;10:05;42.08;44.24;42.08;43.44;43.16;14164530;0
01.03.2024;11:05;43.44;43.68;42.72;43.00;43.20;6295749;0
01.03.2024;12:05;43.00;43.36;42.74;43.22;43.05;2078655;0
01.03.2024;13:05;43.22;43.82;42.90;43.50;43.36;4476082;0
01.03.2024;14:05;43.50;43.66;42.94;43.18;43.30;2021480;0
01.03.2024;15:05;43.14;43.18;42.70;43.12;42.94;4542908;0
01.03.2024;16:05;43.12;44.00;43.08;43.86;43.54;4409328;0
01.03.2024;17:05;43.86;44.40;43.50;43.82;43.95;8039730;0
01.03.2024;18:05;43.82;43.82;43.82;43.82;43.82;363837;0
02.03.2024;09:05;43.84;43.84;43.84;43.84;43.84;44322;0
02.03.2024;10:05;43.84;43.90;42.26;42.70;43.08;11946650;0
02.03.2024;11:05;42.70;43.56;42.60;43.22;43.08;6621139;0
02.03.2024;12:05;43.28;43.98;43.28;43.56;43.63;5214208;0
08.03.2024;09:05;42.88;42.88;42.88;42.88;42.88;353631;0
08.03.2024;10:05;42.88;42.90;41.86;42.78;42.38;12645800;0
08.03.2024;11:05;42.74;43.90;42.66;43.24;43.28;10489860;0
08.03.2024;12:05;43.26;44.56;43.14;44.02;43.85;10508510;0
08.03.2024;13:05;44.00;44.34;43.80;43.92;44.07;5250987;0
08.03.2024;14:05;43.94;44.34;43.64;44.22;43.99;3077890;0
08.03.2024;15:05;44.24;46.32;44.20;45.16;45.26;20015450;0
08.03.2024;16:05;45.02;45.20;44.14;44.32;44.67;7405301;0
08.03.2024;17:05;44.26;44.46;43.90;44.20;44.18;6781117;0
08.03.2024;18:05;44.02;44.02;44.02;44.02;44.02;120439;0
09.03.2024;09:05;44.02;44.02;44.02;44.02;44.02;179734;0
09.03.2024;10:05;44.02;44.08;41.98;42.08;43.03;13735580;0
09.03.2024;11:05;42.12;42.50;41.62;41.74;42.06;6848828;0
09.03.2024;12:05;41.60;41.74;41.30;41.68;41.52;4907773;0
09.03.2024;13:05;41.66;41.96;41.54;41.60;41.75;2214484;0
09.03.2024;14:05;41.56;41.96;41.28;41.78;41.62;4349198;0
09.03.2024;15:05;41.78;41.80;41.44;41.50;41.62;3877229;0
09.03.2024;16:05;41.46;41.54;41.16;41.34;41.35;3448124;0
09.03.2024;17:05;41.34;41.86;41.16;41.76;41.51;4381701;0
09.03.2024;18:05;41.64;41.64;41.64;41.64;41.64;441592;0
10.03.2024;09:05;41.64;41.64;41.64;41.64;41.64;256711;0
10.03.2024;10:05;41.64;42.56;41.64;42.02;42.10;6442904;0
10.03.2024;11:05;42.04;42.20;41.80;42.00;42.00;3160328;0
10.03.2024;12:05;42.00;42.00;41.40;41.50;41.70;4491277;0
