Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;30.13;30.19;30.05;30.09;30.12;676715;0
24.08.2025;11:30;30.11;30.19;30.07;30.15;30.13;1329826;0
24.08.2025;11:45;30.15;30.15;30.07;30.13;30.11;787774;0
24.08.2025;12:00;30.11;30.13;29.93;29.93;30.03;1444806;0
24.08.2025;12:15;29.97;30.03;29.91;29.91;29.97;623546;0
24.08.2025;12:30;29.91;29.95;29.81;29.81;29.88;1059361;0
24.08.2025;12:45;29.81;29.93;29.81;29.91;29.87;1358049;0
24.08.2025;13:00;29.91;29.95;29.85;29.91;29.90;462890;0
24.08.2025;13:15;29.91;29.93;29.46;29.46;29.70;1597942;0
24.08.2025;13:30;29.71;29.83;29.56;29.71;29.70;2047510;0
24.08.2025;13:45;29.71;29.75;29.56;29.71;29.66;990582;0
24.08.2025;14:00;29.71;29.99;29.71;29.97;29.85;2095338;0
24.08.2025;14:15;29.95;30.05;29.75;29.99;29.90;1513956;0
24.08.2025;14:30;29.95;30.17;29.87;29.91;30.02;1191667;0
24.08.2025;14:45;29.87;29.87;29.81;29.85;29.84;211834;0
24.08.2025;15:00;29.85;29.85;29.68;29.71;29.76;583146;0
24.08.2025;15:15;29.70;29.75;29.62;29.70;29.69;1042139;0
24.08.2025;15:30;29.71;29.79;29.70;29.73;29.74;736434;0
24.08.2025;15:45;29.71;29.81;29.66;29.71;29.73;667852;0
24.08.2025;16:00;29.70;29.85;29.66;29.85;29.75;409660;0
24.08.2025;16:15;29.83;29.85;29.77;29.85;29.81;772006;0
24.08.2025;16:30;29.85;29.85;29.75;29.75;29.80;387548;0
24.08.2025;16:45;29.75;30.09;29.75;29.95;29.92;1253951;0
24.08.2025;17:00;29.97;30.23;29.95;30.01;30.09;2236885;0
24.08.2025;17:15;29.97;30.15;29.95;30.03;30.05;1124745;0
24.08.2025;17:30;30.03;30.03;29.48;29.83;29.75;1211599;0
24.08.2025;17:45;29.83;29.93;29.60;29.91;29.76;2040846;0
24.08.2025;18:00;29.91;29.91;29.81;29.85;29.86;445314;0
