Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
09.06.2022;00:00;1.11;1.11;1.11;1.11;1.11;4810892;0
10.06.2022;00:00;1.22;1.22;1.22;1.22;1.22;7682543;0
11.06.2022;00:00;1.34;1.34;1.29;1.34;1.32;460105216;0
14.06.2022;00:00;1.33;1.33;1.21;1.22;1.27;530664608;0
15.06.2022;00:00;1.22;1.24;1.19;1.20;1.21;204342208;0
16.06.2022;00:00;1.21;1.29;1.19;1.25;1.24;344946400;0
17.06.2022;00:00;1.25;1.27;1.22;1.23;1.25;119062400;0
18.06.2022;00:00;1.23;1.24;1.21;1.21;1.22;57466340;0
21.06.2022;00:00;1.21;1.23;1.19;1.19;1.21;49266940;0
23.06.2022;00:00;1.19;1.20;1.18;1.19;1.19;42098360;0
25.06.2022;00:00;1.19;1.19;1.17;1.17;1.18;32843490;0
26.06.2022;00:00;1.18;1.23;1.17;1.19;1.20;78596464;0
29.06.2022;00:00;1.19;1.20;1.18;1.19;1.19;39678848;0
30.06.2022;00:00;1.19;1.19;1.17;1.17;1.18;38183220;0
01.07.2022;00:00;1.17;1.18;1.16;1.17;1.17;27579970;0
02.07.2022;00:00;1.17;1.20;1.17;1.18;1.19;55919580;0
03.07.2022;00:00;1.19;1.20;1.18;1.19;1.19;33935080;0
06.07.2022;00:00;1.19;1.19;1.17;1.17;1.18;33908440;0
07.07.2022;00:00;1.17;1.17;1.14;1.14;1.16;29786900;0
08.07.2022;00:00;1.13;1.17;1.12;1.16;1.14;35925400;0
09.07.2022;00:00;1.16;1.17;1.14;1.16;1.16;26849350;0
10.07.2022;00:00;1.16;1.17;1.15;1.16;1.16;19154330;0
13.07.2022;00:00;1.16;1.21;1.15;1.17;1.18;52273472;0
14.07.2022;00:00;1.18;1.19;1.16;1.16;1.18;30689420;0
15.07.2022;00:00;1.17;1.18;1.16;1.16;1.17;21896650;0
16.07.2022;00:00;1.16;1.19;1.16;1.18;1.18;50659760;0
17.07.2022;00:00;1.19;1.28;1.18;1.25;1.23;143832496;0
20.07.2022;00:00;1.28;1.36;1.28;1.35;1.32;152464496;0
21.07.2022;00:00;1.36;1.43;1.30;1.30;1.36;115718096;0
22.07.2022;00:00;1.30;1.38;1.26;1.30;1.32;95032864;0
23.07.2022;00:00;1.30;1.32;1.23;1.25;1.27;52987992;0
24.07.2022;00:00;1.26;1.31;1.25;1.30;1.28;54690488;0
29.07.2022;00:00;1.30;1.36;1.29;1.35;1.32;57142280;0
30.07.2022;00:00;1.36;1.39;1.32;1.35;1.36;71857272;0
31.07.2022;00:00;1.36;1.37;1.33;1.35;1.35;55862720;0
01.08.2022;00:00;1.35;1.42;1.34;1.40;1.38;91811024;0
02.08.2022;00:00;1.40;1.46;1.38;1.41;1.42;81119664;0
05.08.2022;00:00;1.41;1.44;1.39;1.42;1.42;49306528;0
06.08.2022;00:00;1.43;1.48;1.40;1.45;1.44;67657992;0
07.08.2022;00:00;1.45;1.49;1.43;1.45;1.46;55157820;0
08.08.2022;00:00;1.45;1.59;1.43;1.59;1.51;161784992;0
09.08.2022;00:00;1.64;1.75;1.63;1.72;1.69;326111200;0
12.08.2022;00:00;1.72;1.89;1.72;1.89;1.80;202969408;0
13.08.2022;00:00;1.88;2.05;1.79;1.96;1.92;297058592;0
14.08.2022;00:00;1.96;2.03;1.86;1.86;1.94;143541104;0
15.08.2022;00:00;1.85;1.92;1.77;1.82;1.84;150074896;0
16.08.2022;00:00;1.81;1.91;1.78;1.86;1.84;126504304;0
19.08.2022;00:00;1.86;1.89;1.80;1.81;1.85;89299344;0
20.08.2022;00:00;1.82;1.83;1.73;1.73;1.78;59601900;0
21.08.2022;00:00;1.73;1.85;1.73;1.82;1.79;74774704;0
22.08.2022;00:00;1.83;1.94;1.80;1.92;1.87;118491296;0
23.08.2022;00:00;1.92;1.92;1.85;1.85;1.89;24430630;0
26.08.2022;00:00;1.85;1.85;1.80;1.81;1.82;45600032;0
28.08.2022;00:00;1.83;1.87;1.76;1.81;1.82;67880528;0
29.08.2022;00:00;1.94;1.99;1.91;1.96;1.95;119668304;0
30.08.2022;00:00;1.95;2.11;1.90;2.09;2.01;132806000;0
31.08.2022;00:00;2.09;2.19;2.05;2.13;2.12;79054712;0
03.09.2022;00:00;2.17;2.19;2.07;2.10;2.13;69573024;0
04.09.2022;00:00;2.10;2.12;2.04;2.05;2.08;54870420;0
05.09.2022;00:00;2.04;2.07;1.95;1.96;2.01;58565180;0
06.09.2022;00:00;1.96;2.10;1.94;2.04;2.02;66139688;0
07.09.2022;00:00;2.06;2.10;2.02;2.05;2.06;50386100;0
10.09.2022;00:00;2.05;2.26;2.04;2.26;2.15;100062400;0
11.09.2022;00:00;2.31;2.48;2.26;2.48;2.37;150512896;0
12.09.2022;00:00;2.56;2.73;2.55;2.63;2.64;165027504;0
13.09.2022;00:00;2.63;2.67;2.37;2.37;2.52;126864704;0
14.09.2022;00:00;2.33;2.59;2.30;2.56;2.44;141708096;0
17.09.2022;00:00;2.59;2.81;2.58;2.81;2.69;148851904;0
18.09.2022;00:00;2.93;3.09;2.90;3.09;3.00;55039592;0
19.09.2022;00:00;3.23;3.40;3.10;3.30;3.25;366475808;0
20.09.2022;00:00;3.33;3.45;3.09;3.14;3.27;191935008;0
21.09.2022;00:00;3.14;3.30;3.08;3.15;3.19;145724496;0
24.09.2022;00:00;3.20;3.28;2.96;3.12;3.12;151814800;0
25.09.2022;00:00;3.12;3.27;2.97;3.17;3.12;150263504;0
26.09.2022;00:00;3.18;3.26;3.12;3.20;3.19;129924896;0
29.09.2022;00:00;3.26;3.32;3.16;3.25;3.24;143111008;0
30.09.2022;00:00;3.27;3.29;3.17;3.27;3.23;103253904;0
03.10.2022;00:00;3.32;3.40;3.18;3.37;3.29;147339200;0
04.10.2022;00:00;3.42;3.55;3.20;3.21;3.38;156951104;0
05.10.2022;00:00;3.22;3.23;2.89;2.94;3.06;168615600;0
06.10.2022;00:00;2.93;3.01;2.83;2.95;2.92;75729072;0
07.10.2022;00:00;2.95;3.03;2.86;2.87;2.94;93041936;0
10.10.2022;00:00;2.91;3.00;2.88;2.91;2.94;76668704;0
11.10.2022;00:00;2.93;2.95;2.86;2.88;2.90;66586780;0
12.10.2022;00:00;2.88;2.90;2.75;2.77;2.82;62451000;0
13.10.2022;00:00;2.77;2.85;2.68;2.75;2.76;39788920;0
14.10.2022;00:00;2.75;2.97;2.75;2.89;2.86;100377400;0
17.10.2022;00:00;2.92;2.95;2.79;2.85;2.87;60936288;0
18.10.2022;00:00;2.88;2.92;2.82;2.88;2.87;47996340;0
19.10.2022;00:00;2.88;3.06;2.87;2.97;2.97;88152008;0
20.10.2022;00:00;2.97;2.98;2.89;2.89;2.93;38257440;0
21.10.2022;00:00;2.89;2.89;2.80;2.81;2.85;26575240;0
24.10.2022;00:00;2.81;2.85;2.77;2.77;2.81;46135952;0
25.10.2022;00:00;2.77;2.82;2.65;2.67;2.73;48500640;0
26.10.2022;00:00;2.68;2.70;2.54;2.58;2.62;32957480;0
27.10.2022;00:00;2.58;2.68;2.57;2.67;2.62;27479930;0
28.10.2022;00:00;2.67;2.75;2.67;2.69;2.71;19955310;0
01.11.2022;00:00;2.70;2.72;2.57;2.67;2.64;39010920;0
02.11.2022;00:00;2.67;2.69;2.52;2.54;2.60;40649152;0
03.11.2022;00:00;2.54;2.54;2.42;2.44;2.48;24489550;0
04.11.2022;00:00;2.44;2.48;2.19;2.19;2.34;28637570;0
05.11.2022;00:00;2.03;2.34;2.03;2.30;2.18;38079880;0
08.11.2022;00:00;2.32;2.44;2.25;2.31;2.35;40289400;0
09.11.2022;00:00;2.31;2.32;2.18;2.18;2.25;21519230;0
10.11.2022;00:00;2.19;2.23;1.98;2.02;2.11;28948860;0
11.11.2022;00:00;2.06;2.10;1.88;2.06;1.99;25309070;0
12.11.2022;00:00;2.06;2.17;2.04;2.11;2.11;19782900;0
15.11.2022;00:00;2.15;2.33;2.11;2.33;2.22;28792100;0
16.11.2022;00:00;2.36;2.48;2.24;2.31;2.36;72710608;0
17.11.2022;00:00;2.31;2.37;2.28;2.30;2.32;33464740;0
18.11.2022;00:00;2.37;2.49;2.31;2.42;2.40;72821640;0
19.11.2022;00:00;2.42;2.42;2.36;2.39;2.39;22353940;0
22.11.2022;00:00;2.39;2.58;2.32;2.34;2.45;105502000;0
23.11.2022;00:00;2.35;2.35;2.22;2.26;2.28;31472700;0
24.11.2022;00:00;2.26;2.34;2.16;2.21;2.25;28901800;0
25.11.2022;00:00;2.22;2.27;2.19;2.20;2.23;39723312;0
26.11.2022;00:00;2.19;2.27;2.05;2.16;2.16;30408200;0
29.11.2022;00:00;2.14;2.18;2.08;2.10;2.13;14749980;0
30.11.2022;00:00;2.10;2.12;2.02;2.03;2.07;21654180;0
02.12.2022;00:00;2.04;2.05;1.87;1.91;1.96;18795120;0
03.12.2022;00:00;1.91;1.95;1.76;1.90;1.86;24582590;0
04.12.2022;00:00;1.90;2.05;1.87;2.04;1.96;19427040;0
07.12.2022;00:00;1.94;2.02;1.85;1.98;1.94;5603054;0
08.12.2022;00:00;1.94;1.94;1.78;1.78;1.86;11394440;0
16.12.2022;00:00;1.88;1.95;1.83;1.95;1.89;13507970;0
17.12.2022;00:00;1.99;2.12;1.94;1.97;2.03;35830380;0
18.12.2022;00:00;1.94;1.97;1.85;1.86;1.91;20701830;0
21.12.2022;00:00;1.88;2.00;1.85;1.96;1.92;18369450;0
22.12.2022;00:00;1.96;2.03;1.92;2.00;1.98;19273200;0
23.12.2022;00:00;2.00;2.00;1.94;1.95;1.97;13880380;0
24.12.2022;00:00;1.95;2.05;1.94;2.03;2.00;26439500;0
25.12.2022;00:00;2.03;2.12;2.01;2.10;2.06;22234950;0
28.12.2022;00:00;2.11;2.23;2.09;2.23;2.16;45595740;0
29.12.2022;00:00;2.23;2.31;2.20;2.31;2.25;43751432;0
03.01.2023;00:00;2.31;2.46;2.25;2.44;2.36;76495424;0
04.01.2023;00:00;2.43;2.50;2.40;2.40;2.45;50253860;0
05.01.2023;00:00;2.39;2.44;2.33;2.42;2.38;67350792;0
08.01.2023;00:00;2.45;2.46;2.40;2.40;2.43;51525648;0
09.01.2023;00:00;2.42;2.50;2.40;2.44;2.45;61413920;0
10.01.2023;00:00;2.37;2.39;2.23;2.24;2.31;95265488;0
11.01.2023;00:00;2.27;2.31;2.18;2.20;2.25;43942100;0
12.01.2023;00:00;2.20;2.25;2.18;2.20;2.22;30061530;0
15.01.2023;00:00;2.21;2.25;2.13;2.14;2.19;49132540;0
16.01.2023;00:00;2.17;2.26;2.15;2.18;2.21;64719672;0
17.01.2023;00:00;2.18;2.23;2.06;2.09;2.14;31510780;0
18.01.2023;00:00;2.10;2.30;2.10;2.30;2.20;78076896;0
19.01.2023;00:00;2.37;2.52;2.33;2.52;2.42;194620800;0
22.01.2023;00:00;2.54;2.71;2.27;2.27;2.49;273270208;0
23.01.2023;00:00;2.26;2.26;2.11;2.17;2.19;106471000;0
24.01.2023;00:00;2.22;2.39;2.19;2.39;2.29;89540576;0
25.01.2023;00:00;2.46;2.48;2.26;2.26;2.37;113990304;0
26.01.2023;00:00;2.28;2.35;2.21;2.21;2.28;60329040;0
