Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
15.03.2012;00:00;1.05;1.61;0.49;1.01;1.05;2761789;0
18.03.2012;00:00;0.99;0.99;0.85;0.85;0.92;138388;0
19.03.2012;00:00;0.76;0.84;0.69;0.83;0.76;2453917;0
20.03.2012;00:00;0.82;0.91;0.73;0.91;0.82;2270021;0
21.03.2012;00:00;0.98;1.07;0.93;1.07;1.00;1722802;0
22.03.2012;00:00;1.17;1.27;1.08;1.23;1.18;9509415;0
28.03.2012;00:00;0.00;1.76;1.60;1.76;1.68;5926211;0
29.03.2012;00:00;1.91;2.09;1.73;1.91;1.91;22584980;0
30.03.2012;00:00;1.96;1.96;1.65;1.65;1.81;1170597;0
03.04.2012;00:00;1.20;1.53;1.20;1.53;1.37;4207395;0
04.04.2012;00:00;1.69;1.80;1.49;1.65;1.64;21562530;0
05.04.2012;00:00;0.00;1.65;1.59;1.60;1.62;3570436;0
06.04.2012;00:00;1.60;1.62;1.45;1.50;1.54;8073687;0
07.04.2012;00:00;0.00;1.50;1.45;1.46;1.48;1453280;0
10.04.2012;00:00;1.43;1.52;1.41;1.45;1.46;1242440;0
11.04.2012;00:00;1.47;1.48;1.38;1.39;1.43;2622841;0
12.04.2012;00:00;1.39;1.41;1.31;1.31;1.36;3380270;0
14.04.2012;00:00;1.25;1.46;1.23;1.41;1.35;10204950;0
17.04.2012;00:00;1.41;1.41;1.31;1.33;1.36;3297093;0
18.04.2012;00:00;1.33;1.45;1.30;1.35;1.38;7971043;0
19.04.2012;00:00;1.36;1.41;1.34;1.35;1.38;2702634;0
20.04.2012;00:00;1.35;1.38;1.33;1.33;1.36;1871087;0
21.04.2012;00:00;1.34;1.38;1.32;1.32;1.35;1869492;0
24.04.2012;00:00;1.32;1.39;1.31;1.32;1.35;3224479;0
27.04.2012;00:00;1.33;1.35;1.31;1.32;1.33;1361288;0
28.04.2012;00:00;1.33;1.33;1.30;1.30;1.31;989867;0
29.04.2012;00:00;1.31;1.43;1.28;1.43;1.35;4763904;0
02.05.2012;00:00;1.44;1.50;1.33;1.37;1.42;13125310;0
03.05.2012;00:00;1.38;1.40;1.35;1.35;1.38;2137737;0
04.05.2012;00:00;1.37;1.38;1.34;1.35;1.36;1497789;0
05.05.2012;00:00;1.36;1.38;1.28;1.33;1.33;5139941;0
06.05.2012;00:00;1.34;1.34;1.33;1.33;1.34;802305;0
09.05.2012;00:00;1.36;1.46;1.33;1.41;1.40;11539090;0
10.05.2012;00:00;1.41;1.50;1.37;1.37;1.44;8103182;0
11.05.2012;00:00;1.38;1.38;1.35;1.35;1.37;2091433;0
12.05.2012;00:00;1.36;1.39;1.34;1.36;1.37;2298273;0
13.05.2012;00:00;1.36;1.38;1.34;1.36;1.36;1876408;0
16.05.2012;00:00;1.36;1.37;1.35;1.36;1.36;903680;0
17.05.2012;00:00;1.36;1.36;1.32;1.32;1.34;1459501;0
18.05.2012;00:00;1.33;1.38;1.33;1.33;1.36;2505722;0
19.05.2012;00:00;1.33;1.35;1.32;1.33;1.34;1008134;0
20.05.2012;00:00;1.33;1.34;1.32;1.32;1.33;824066;0
23.05.2012;00:00;0.00;1.33;1.25;1.27;1.29;955558;0
24.05.2012;00:00;1.25;1.28;1.22;1.25;1.25;3469156;0
25.05.2012;00:00;1.28;1.28;1.21;1.21;1.25;1013411;0
26.05.2012;00:00;1.21;1.26;1.21;1.22;1.24;2191220;0
28.05.2012;00:00;1.22;1.25;1.22;1.22;1.24;3473712;0
31.05.2012;00:00;1.22;1.24;1.22;1.22;1.23;1064690;0
01.06.2012;00:00;1.22;1.23;1.21;1.21;1.22;750635;0
02.06.2012;00:00;1.22;1.22;1.20;1.20;1.21;995714;0
03.06.2012;00:00;0.00;1.21;1.17;1.17;1.19;1230653;0
04.06.2012;00:00;0.00;1.18;1.13;1.13;1.15;1210261;0
07.06.2012;00:00;1.02;1.12;1.02;1.03;1.07;2411094;0
08.06.2012;00:00;1.04;1.15;1.03;1.12;1.09;4817285;0
09.06.2012;00:00;1.12;1.14;1.08;1.08;1.11;1651909;0
10.06.2012;00:00;1.08;1.10;0.98;1.05;1.04;1881168;0
11.06.2012;00:00;1.05;1.09;1.03;1.05;1.06;1604265;0
14.06.2012;00:00;1.05;1.08;1.04;1.04;1.06;1950739;0
15.06.2012;00:00;1.05;1.05;1.04;1.04;1.04;685485;0
16.06.2012;00:00;0.00;1.07;1.04;1.05;1.06;2002430;0
17.06.2012;00:00;1.04;1.04;1.01;1.02;1.02;1373672;0
18.06.2012;00:00;1.01;1.02;0.99;0.99;1.00;717824;0
21.06.2012;00:00;0.99;1.00;0.95;0.95;0.97;1245085;0
22.06.2012;00:00;0.92;0.94;0.92;0.92;0.93;1350728;0
23.06.2012;00:00;0.92;0.93;0.91;0.91;0.92;805417;0
24.06.2012;00:00;0.92;0.92;0.89;0.89;0.91;1438129;0
29.06.2012;00:00;0.89;0.94;0.87;0.91;0.91;3945914;0
02.07.2012;00:00;0.91;0.92;0.89;0.90;0.91;1055990;0
03.07.2012;00:00;0.90;0.93;0.89;0.90;0.91;1733199;0
04.07.2012;00:00;0.91;0.92;0.90;0.90;0.91;1522542;0
05.07.2012;00:00;0.90;0.91;0.90;0.90;0.91;717811;0
