Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:30;204.90;206.50;204.40;204.50;205.45;5841248;0
24.08.2025;11:45;204.50;205.10;202.80;202.80;203.95;8243813;0
24.08.2025;12:00;202.90;203.80;202.60;203.60;203.20;5591759;0
24.08.2025;12:15;203.90;204.40;203.10;204.00;203.75;2259932;0
24.08.2025;12:30;204.10;204.60;203.50;203.60;204.05;2654846;0
24.08.2025;12:45;203.50;204.00;203.30;203.70;203.65;1586990;0
24.08.2025;13:00;203.60;203.90;203.30;203.50;203.60;1291004;0
24.08.2025;13:15;203.50;203.70;202.60;203.30;203.15;3101804;0
24.08.2025;13:30;203.40;204.00;202.90;203.20;203.45;2541763;0
24.08.2025;13:45;203.20;204.00;203.00;203.80;203.50;1796530;0
24.08.2025;14:00;203.70;204.70;203.10;203.90;203.90;3961502;0
24.08.2025;14:15;203.90;204.10;203.00;203.90;203.55;2009624;0
24.08.2025;14:30;203.80;204.00;203.20;203.80;203.60;1061901;0
24.08.2025;14:45;203.80;205.60;203.40;204.00;204.50;4392216;0
24.08.2025;15:00;204.00;205.00;204.00;204.30;204.50;1506641;0
24.08.2025;15:15;204.30;204.50;203.10;203.50;203.80;2006532;0
24.08.2025;15:30;203.50;203.60;201.90;202.30;202.75;6316942;0
24.08.2025;15:45;202.20;202.30;201.60;201.80;201.95;3053309;0
24.08.2025;16:00;201.70;204.00;201.60;202.90;202.80;2178077;0
24.08.2025;16:15;202.80;203.00;199.10;199.90;201.05;10896337;0
24.08.2025;16:30;199.40;202.00;199.30;200.10;200.65;15537877;0
24.08.2025;16:45;200.10;203.00;199.90;202.50;201.45;5674828;0
24.08.2025;17:00;202.50;203.30;201.60;202.10;202.45;6171013;0
24.08.2025;17:15;201.90;202.60;201.40;202.20;202.00;3060462;0
24.08.2025;17:30;202.20;202.20;200.80;201.20;201.50;7051764;0
24.08.2025;17:45;201.20;201.20;199.90;200.50;200.55;9599424;0
24.08.2025;18:00;200.70;201.00;199.90;199.90;200.45;4524546;0
27.08.2025;10:00;196.60;196.90;193.50;196.40;195.20;12789566;0
27.08.2025;10:15;196.60;198.70;195.00;198.50;196.85;10191873;0
27.08.2025;10:30;198.60;199.00;196.50;197.00;197.75;3314348;0
27.08.2025;10:45;197.00;199.00;196.10;197.80;197.55;3501170;0
27.08.2025;11:00;197.50;198.10;195.10;196.20;196.60;4746920;0
27.08.2025;11:15;196.20;197.90;196.00;197.80;196.95;5170909;0
27.08.2025;11:30;197.80;198.70;197.50;198.50;198.10;3333186;0
27.08.2025;11:45;198.50;198.90;197.50;198.00;198.20;3386787;0
27.08.2025;12:00;197.70;197.90;197.00;197.10;197.45;1157592;0
27.08.2025;12:15;197.30;199.40;197.30;199.40;198.35;2726626;0
27.08.2025;12:30;199.30;202.00;198.20;198.80;200.10;8338593;0
27.08.2025;12:45;198.90;199.60;197.50;198.70;198.55;3321410;0
27.08.2025;13:00;198.70;200.90;198.50;199.40;199.70;4365477;0
27.08.2025;13:15;199.40;199.40;198.00;198.50;198.70;1753345;0
27.08.2025;13:30;198.50;200.00;198.00;199.00;199.00;3826465;0
27.08.2025;13:45;199.10;199.10;198.00;198.00;198.55;1074044;0
27.08.2025;14:00;198.20;198.30;197.60;198.00;197.95;1558168;0
27.08.2025;14:15;198.10;198.50;197.00;197.40;197.75;2018109;0
27.08.2025;14:30;197.20;198.80;197.10;197.20;197.95;2556993;0
27.08.2025;14:45;197.20;197.40;196.60;196.60;197.00;2296374;0
27.08.2025;15:00;196.60;197.30;196.50;197.20;196.90;1537542;0
27.08.2025;15:15;197.10;199.00;196.70;197.30;197.85;3083473;0
27.08.2025;15:30;197.40;197.40;196.10;196.10;196.75;1282436;0
27.08.2025;15:45;196.20;196.60;195.30;196.40;195.95;2118725;0
27.08.2025;16:00;196.20;197.00;195.70;196.50;196.35;1761837;0
27.08.2025;16:15;196.50;197.20;196.30;197.00;196.75;1725207;0
27.08.2025;16:30;197.00;197.00;196.20;196.40;196.60;1291113;0
27.08.2025;16:45;196.50;197.60;196.30;196.90;196.95;2029318;0
27.08.2025;17:00;196.70;197.40;196.00;196.50;196.70;1526660;0
27.08.2025;17:15;196.40;197.60;195.20;196.60;196.40;2820027;0
27.08.2025;17:30;196.60;196.60;195.20;195.90;195.90;2296479;0
27.08.2025;17:45;195.60;196.50;195.30;196.10;195.90;3756167;0
27.08.2025;18:00;195.90;196.40;195.70;195.70;196.05;2646483;0
28.08.2025;10:00;197.80;200.60;197.50;199.00;199.05;8594603;0
28.08.2025;10:15;198.80;199.10;196.30;197.50;197.70;7001169;0
28.08.2025;10:30;197.60;197.90;196.30;196.80;197.10;3745627;0
28.08.2025;10:45;196.90;197.30;195.60;196.00;196.45;5245923;0
28.08.2025;11:00;196.00;196.80;195.70;196.60;196.25;4711482;0
28.08.2025;11:15;196.60;197.30;195.70;196.30;196.50;2720494;0
28.08.2025;11:30;196.30;196.80;195.20;195.60;196.00;4971502;0
28.08.2025;11:45;195.30;195.80;195.10;195.60;195.45;3293491;0
28.08.2025;12:00;195.70;196.00;195.30;195.50;195.65;1034966;0
28.08.2025;12:15;195.40;195.60;195.10;195.10;195.35;1221467;0
28.08.2025;12:30;195.20;195.70;195.00;195.30;195.35;1157182;0
28.08.2025;12:45;195.30;195.70;195.00;195.10;195.35;2902293;0
28.08.2025;13:00;195.30;196.50;195.10;196.10;195.80;1965829;0
28.08.2025;13:15;196.20;196.60;196.00;196.20;196.30;1020980;0
28.08.2025;13:30;196.20;197.00;196.10;196.40;196.55;1961881;0
28.08.2025;13:45;196.40;197.30;196.40;197.00;196.85;1619354;0
28.08.2025;14:00;197.00;197.50;196.70;197.20;197.10;1366638;0
28.08.2025;14:15;197.20;197.40;196.30;196.40;196.85;1469760;0
28.08.2025;14:30;196.40;196.70;196.10;196.60;196.40;1108985;0
28.08.2025;14:45;196.70;197.20;196.40;196.70;196.80;954150;0
28.08.2025;15:00;196.50;197.20;196.30;196.90;196.75;895531;0
28.08.2025;15:15;197.00;197.10;196.00;196.50;196.55;3174623;0
28.08.2025;15:30;196.50;199.40;196.50;198.40;197.95;2892248;0
28.08.2025;15:45;198.10;198.40;196.70;196.90;197.55;2573923;0
28.08.2025;16:00;196.90;197.20;196.60;196.60;196.90;1432674;0
28.08.2025;16:15;196.50;196.60;195.00;195.80;195.80;4122665;0
28.08.2025;16:30;195.40;196.40;195.10;196.20;195.75;3300358;0
28.08.2025;16:45;196.10;196.50;194.00;195.60;195.25;4140341;0
28.08.2025;17:00;195.60;195.90;194.20;195.10;195.05;3389545;0
28.08.2025;17:15;195.00;196.10;194.60;195.90;195.35;2147782;0
28.08.2025;17:30;195.50;195.90;195.20;195.30;195.55;1425016;0
28.08.2025;17:45;195.30;195.60;194.10;194.30;194.85;2864992;0
28.08.2025;18:00;194.30;195.00;194.10;194.50;194.55;1682016;0
29.08.2025;10:00;194.80;197.10;194.80;196.40;195.95;5970299;0
29.08.2025;10:15;196.60;197.20;194.10;195.10;195.65;6342015;0
29.08.2025;10:30;195.00;195.80;194.30;195.50;195.05;4940246;0
29.08.2025;10:45;195.30;195.50;194.60;194.60;195.05;880462;0
29.08.2025;11:00;194.80;195.40;193.80;194.00;194.60;4270035;0
29.08.2025;11:15;194.40;194.60;192.70;193.50;193.65;3081801;0
29.08.2025;11:30;193.50;193.60;192.10;192.80;192.85;3496906;0
29.08.2025;11:45;192.80;192.80;192.00;192.70;192.40;3243657;0
29.08.2025;12:00;192.60;192.60;191.20;191.80;191.90;3696501;0
29.08.2025;12:15;191.80;192.30;191.30;192.10;191.80;1535427;0
29.08.2025;12:30;192.20;193.00;191.90;192.50;192.45;1483655;0
29.08.2025;12:45;192.50;193.00;192.20;192.50;192.60;1255228;0
29.08.2025;13:00;192.70;192.70;191.90;192.10;192.30;814339;0
29.08.2025;13:15;192.10;192.30;191.50;192.00;191.90;1046943;0
29.08.2025;13:30;192.00;192.70;192.00;192.50;192.35;1018616;0
29.08.2025;13:45;192.50;193.00;192.10;192.30;192.55;787093;0
29.08.2025;14:00;192.20;193.00;192.10;192.70;192.55;1495718;0
29.08.2025;14:15;192.70;192.90;192.30;192.30;192.60;699198;0
29.08.2025;14:30;192.10;192.30;191.60;191.90;191.95;918076;0
29.08.2025;14:45;191.90;192.10;191.20;191.40;191.65;2142988;0
29.08.2025;15:00;191.40;191.70;191.20;191.30;191.45;924063;0
29.08.2025;15:15;191.40;191.90;191.00;191.60;191.45;1113884;0
29.08.2025;15:30;191.60;192.30;191.20;191.40;191.75;2061563;0
29.08.2025;15:45;191.20;191.30;190.50;190.60;190.90;2133086;0
29.08.2025;16:00;190.80;191.80;190.50;191.40;191.15;1233811;0
29.08.2025;16:15;191.40;191.80;190.80;191.30;191.30;2951771;0
29.08.2025;16:30;191.50;191.90;191.00;191.40;191.45;1591151;0
29.08.2025;16:45;191.40;191.80;191.10;191.50;191.45;2183230;0
29.08.2025;17:00;191.50;191.70;191.00;191.40;191.35;968203;0
29.08.2025;17:15;191.30;191.70;191.20;191.60;191.45;1441200;0
29.08.2025;17:30;191.60;192.10;191.30;191.90;191.70;2037369;0
29.08.2025;17:45;191.80;192.50;191.60;192.30;192.05;4428689;0
29.08.2025;18:00;192.30;193.40;192.20;192.90;192.80;1898977;0
30.08.2025;10:00;192.90;194.40;192.60;193.20;193.50;3348466;0
30.08.2025;10:15;193.40;193.70;192.00;192.90;192.85;3444889;0
30.08.2025;10:30;192.90;193.40;192.60;192.80;193.00;1526548;0
30.08.2025;10:45;192.70;192.80;191.80;192.30;192.30;2040861;0
30.08.2025;11:00;192.30;193.50;192.20;192.50;192.85;2390803;0
30.08.2025;11:15;192.50;192.90;192.20;192.30;192.55;1134479;0
30.08.2025;11:30;192.30;192.50;191.90;192.20;192.20;2282197;0
30.08.2025;11:45;192.20;192.70;192.10;192.10;192.40;991488;0
30.08.2025;12:00;192.10;192.10;191.50;191.80;191.80;2782712;0
30.08.2025;12:15;191.70;192.30;191.50;191.80;191.90;2388361;0
30.08.2025;12:30;191.80;191.90;191.00;191.60;191.45;1404157;0
30.08.2025;12:45;191.60;191.90;191.50;191.50;191.70;943563;0
30.08.2025;13:00;191.80;192.30;191.50;192.00;191.90;1337843;0
30.08.2025;13:15;192.10;193.20;192.00;192.90;192.60;2752589;0
30.08.2025;13:30;192.90;193.20;192.20;192.40;192.70;1192075;0
30.08.2025;13:45;192.30;192.50;192.10;192.40;192.30;660976;0
30.08.2025;14:00;192.50;192.80;191.80;191.80;192.30;1897352;0
30.08.2025;14:15;192.00;192.60;191.80;191.90;192.20;2162751;0
30.08.2025;14:30;191.90;192.20;191.10;191.30;191.65;2230715;0
30.08.2025;14:45;191.10;191.40;190.70;190.70;191.05;4438712;0
30.08.2025;15:00;190.80;191.00;190.30;190.70;190.65;1584114;0
30.08.2025;15:15;190.50;190.70;189.50;189.50;190.10;2008736;0
30.08.2025;15:30;189.50;189.60;188.80;189.20;189.20;2929140;0
30.08.2025;15:45;189.00;189.10;188.60;188.80;188.85;2722838;0
30.08.2025;16:00;188.80;189.10;187.60;187.80;188.35;3705266;0
30.08.2025;16:15;187.70;188.60;187.50;188.20;188.05;2224827;0
30.08.2025;16:30;188.20;189.10;187.80;188.30;188.45;3363741;0
30.08.2025;16:45;188.10;188.60;187.60;188.00;188.10;1060014;0
30.08.2025;17:00;187.90;188.30;187.30;187.70;187.80;1574090;0
30.08.2025;17:15;187.60;187.70;185.60;186.10;186.65;3137020;0
30.08.2025;17:30;186.10;186.30;185.30;185.50;185.80;1469027;0
30.08.2025;17:45;185.50;186.00;185.00;185.30;185.50;4308670;0
30.08.2025;18:00;185.60;185.80;184.50;185.00;185.15;1383816;0
31.08.2025;10:00;186.10;186.80;184.00;184.20;185.40;4680235;0
31.08.2025;10:15;184.00;184.10;181.00;183.70;182.55;7154426;0
31.08.2025;10:30;183.70;184.50;182.60;183.00;183.55;2187620;0
31.08.2025;10:45;183.20;183.20;181.40;181.80;182.30;3045639;0
31.08.2025;11:00;181.60;183.00;181.60;181.90;182.30;5113919;0
31.08.2025;11:15;181.80;182.70;181.50;182.10;182.10;2150541;0
31.08.2025;11:30;182.10;182.30;181.50;181.70;181.90;1660713;0
31.08.2025;11:45;181.60;182.10;181.40;181.80;181.75;935239;0
31.08.2025;12:00;181.80;182.10;180.60;181.30;181.35;3472894;0
31.08.2025;12:15;181.30;181.90;181.10;181.50;181.50;1967879;0
31.08.2025;12:30;181.40;181.60;180.40;181.30;181.00;2007711;0
