Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;77.25;77.55;77.25;77.40;77.40;470127;0
24.08.2025;11:30;77.50;77.50;77.35;77.35;77.42;427782;0
24.08.2025;11:45;77.35;77.60;77.30;77.45;77.45;596000;0
24.08.2025;12:00;77.45;77.55;77.20;77.35;77.38;639799;0
24.08.2025;12:15;77.35;77.35;77.15;77.20;77.25;988932;0
24.08.2025;12:30;77.15;77.30;77.10;77.15;77.20;424520;0
24.08.2025;12:45;77.10;77.20;77.00;77.05;77.10;299749;0
24.08.2025;13:00;77.15;77.25;77.00;77.25;77.12;294504;0
24.08.2025;13:15;77.30;77.35;77.00;77.15;77.17;305310;0
24.08.2025;13:30;77.15;77.15;77.00;77.15;77.08;57596;0
24.08.2025;13:45;77.15;77.15;76.95;76.95;77.05;774032;0
24.08.2025;14:00;76.95;77.10;76.65;76.85;76.88;366196;0
24.08.2025;14:15;76.85;76.95;76.75;76.90;76.85;216412;0
24.08.2025;14:30;76.90;77.15;76.80;77.05;76.98;429614;0
24.08.2025;14:45;77.05;77.05;76.80;76.90;76.93;376730;0
24.08.2025;15:00;76.90;76.90;76.70;76.90;76.80;224649;0
24.08.2025;15:15;76.80;76.80;76.60;76.80;76.70;211280;0
24.08.2025;15:30;76.75;76.90;76.45;76.60;76.67;1396178;0
24.08.2025;15:45;76.65;76.65;76.45;76.45;76.55;204310;0
24.08.2025;16:00;76.45;76.95;76.45;76.55;76.70;412184;0
24.08.2025;16:15;76.55;76.60;76.40;76.55;76.50;319599;0
24.08.2025;16:30;76.60;76.65;76.50;76.65;76.58;259530;0
24.08.2025;16:45;76.65;77.55;76.50;77.45;77.03;2200685;0
24.08.2025;17:00;77.50;77.70;77.20;77.50;77.45;1129777;0
24.08.2025;17:15;77.50;77.50;77.15;77.25;77.33;285729;0
24.08.2025;17:30;77.20;77.20;76.60;76.80;76.90;1019271;0
24.08.2025;17:45;76.80;76.95;76.40;76.50;76.67;1675707;0
24.08.2025;18:00;76.50;76.55;76.40;76.40;76.48;795876;0
27.08.2025;10:00;74.25;75.70;74.25;75.70;74.97;1427771;0
27.08.2025;10:15;75.70;75.85;75.05;75.80;75.45;976502;0
27.08.2025;10:30;75.75;76.00;75.65;75.65;75.83;883212;0
27.08.2025;10:45;75.65;75.80;75.30;75.70;75.55;341799;0
27.08.2025;11:00;75.60;76.15;75.60;76.05;75.88;537666;0
27.08.2025;11:15;76.10;76.30;75.80;75.80;76.05;223369;0
27.08.2025;11:30;75.95;76.70;75.90;76.35;76.30;1015488;0
27.08.2025;11:45;76.35;76.45;76.25;76.25;76.35;248847;0
27.08.2025;12:00;76.25;76.25;75.75;75.75;76.00;395723;0
27.08.2025;12:15;75.75;76.10;75.60;76.10;75.85;593066;0
27.08.2025;12:30;76.10;76.10;75.75;75.90;75.92;280626;0
27.08.2025;12:45;75.90;76.35;75.90;76.20;76.12;412325;0
27.08.2025;13:00;76.05;76.25;76.05;76.05;76.15;285015;0
27.08.2025;13:15;76.00;76.05;75.60;75.75;75.83;548386;0
27.08.2025;13:30;75.65;75.95;75.50;75.95;75.72;212203;0
27.08.2025;13:45;75.85;75.90;75.70;75.90;75.80;101991;0
