Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;1.35;1.35;1.24;1.26;1.30;208455;0
08.05.2005;00:00;1.29;1.29;1.24;1.28;1.26;304784;0
09.05.2005;00:00;1.28;1.31;1.26;1.26;1.28;387787;0
10.05.2005;00:00;1.23;1.26;1.22;1.26;1.24;393515;0
14.05.2005;00:00;1.26;1.26;1.10;1.13;1.18;440567;0
15.05.2005;00:00;1.13;1.17;1.05;1.10;1.11;691356;0
16.05.2005;00:00;1.08;1.10;1.06;1.08;1.08;392224;0
17.05.2005;00:00;1.07;1.11;1.07;1.10;1.09;256422;0
18.05.2005;00:00;1.10;1.20;1.10;1.19;1.15;383322;0
21.05.2005;00:00;1.20;1.38;1.20;1.38;1.29;1181033;0
22.05.2005;00:00;1.38;1.44;1.35;1.41;1.40;904540;0
23.05.2005;00:00;1.41;1.41;1.31;1.36;1.36;170184;0
25.05.2005;00:00;1.38;1.38;1.30;1.33;1.34;104509;0
26.05.2005;00:00;1.35;1.37;1.32;1.35;1.35;221837;0
29.05.2005;00:00;1.36;1.36;1.23;1.26;1.30;139646;0
30.05.2005;00:00;1.26;1.31;1.23;1.28;1.27;181062;0
31.05.2005;00:00;1.28;1.30;1.26;1.26;1.28;136696;0
01.06.2005;00:00;1.26;1.26;1.20;1.23;1.23;158225;0
02.06.2005;00:00;1.24;1.28;1.17;1.20;1.22;141997;0
05.06.2005;00:00;1.20;1.20;1.17;1.18;1.19;57187;0
06.06.2005;00:00;1.18;1.18;1.08;1.11;1.13;229071;0
07.06.2005;00:00;1.11;1.13;1.08;1.12;1.11;199044;0
08.06.2005;00:00;1.13;1.20;1.13;1.17;1.17;128559;0
09.06.2005;00:00;1.20;1.26;1.15;1.15;1.20;128091;0
12.06.2005;00:00;1.09;1.22;1.09;1.17;1.16;190477;0
13.06.2005;00:00;1.15;1.20;1.15;1.15;1.18;153673;0
14.06.2005;00:00;1.16;1.18;1.11;1.11;1.14;106457;0
15.06.2005;00:00;1.16;1.20;1.13;1.14;1.17;228235;0
16.06.2005;00:00;1.14;1.18;1.11;1.11;1.14;201472;0
19.06.2005;00:00;1.11;1.16;1.10;1.13;1.13;62114;0
20.06.2005;00:00;1.13;1.13;1.10;1.12;1.12;27704;0
