Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.10.2004;00:00;0.44;0.46;0.43;0.46;0.44;86365;0
27.10.2004;00:00;0.46;0.50;0.46;0.50;0.48;320422;0
28.10.2004;00:00;0.50;0.50;0.49;0.49;0.50;73268;0
29.10.2004;00:00;0.49;0.50;0.49;0.50;0.50;30379;0
30.10.2004;00:00;0.50;0.50;0.49;0.49;0.49;39108;0
02.11.2004;00:00;0.49;0.49;0.49;0.49;0.49;29406;0
03.11.2004;00:00;0.49;0.49;0.49;0.49;0.49;15443;0
04.11.2004;00:00;0.49;0.49;0.49;0.49;0.49;19132;0
05.11.2004;00:00;0.49;0.50;0.44;0.49;0.47;57999;0
06.11.2004;00:00;0.49;0.49;0.49;0.49;0.49;37492;0
09.11.2004;00:00;0.49;0.49;0.49;0.49;0.49;30634;0
10.11.2004;00:00;0.49;0.51;0.49;0.49;0.50;92366;0
11.11.2004;00:00;0.51;0.51;0.49;0.50;0.50;73913;0
14.11.2004;00:00;0.50;0.50;0.49;0.49;0.50;17589;0
15.11.2004;00:00;0.49;0.50;0.49;0.50;0.49;22214;0
18.11.2004;00:00;0.50;0.50;0.49;0.50;0.50;22733;0
19.11.2004;00:00;0.50;0.50;0.48;0.48;0.49;57538;0
20.11.2004;00:00;0.49;0.50;0.49;0.49;0.49;24819;0
21.11.2004;00:00;0.49;0.50;0.49;0.49;0.49;34813;0
22.11.2004;00:00;0.49;0.49;0.49;0.49;0.49;6700;0
25.11.2004;00:00;0.49;0.50;0.49;0.49;0.49;4377;0
26.11.2004;00:00;0.49;0.50;0.49;0.50;0.50;88679;0
27.11.2004;00:00;0.50;0.51;0.50;0.51;0.50;94728;0
28.11.2004;00:00;0.53;0.55;0.51;0.52;0.53;653286;0
29.11.2004;00:00;0.53;0.54;0.52;0.54;0.53;58769;0
02.12.2004;00:00;0.55;0.59;0.53;0.54;0.56;406874;0
03.12.2004;00:00;0.54;0.55;0.54;0.55;0.55;53496;0
04.12.2004;00:00;0.55;0.56;0.54;0.55;0.55;63681;0
05.12.2004;00:00;0.55;0.56;0.55;0.55;0.56;50848;0
06.12.2004;00:00;0.56;0.56;0.56;0.56;0.56;132784;0
09.12.2004;00:00;0.57;0.58;0.56;0.57;0.57;117231;0
10.12.2004;00:00;0.57;0.57;0.56;0.56;0.57;90619;0
11.12.2004;00:00;0.57;0.57;0.56;0.56;0.57;58151;0
12.12.2004;00:00;0.56;0.56;0.56;0.56;0.56;48194;0
13.12.2004;00:00;0.56;0.56;0.56;0.56;0.56;75953;0
17.12.2004;00:00;0.56;0.56;0.53;0.56;0.55;14501;0
18.12.2004;00:00;0.55;0.56;0.55;0.56;0.56;31981;0
19.12.2004;00:00;0.56;0.56;0.56;0.56;0.56;15866;0
20.12.2004;00:00;0.56;0.56;0.56;0.56;0.56;8476;0
21.12.2004;00:00;0.56;0.57;0.56;0.56;0.57;29687;0
31.12.2004;00:00;0.56;0.59;0.55;0.58;0.57;37863;0
01.01.2005;00:00;0.58;0.59;0.55;0.58;0.57;14448;0
02.01.2005;00:00;0.59;0.59;0.56;0.56;0.58;16527;0
03.01.2005;00:00;0.57;0.57;0.56;0.56;0.57;17124;0
04.01.2005;00:00;0.56;0.58;0.56;0.57;0.57;17255;0
07.01.2005;00:00;0.58;0.58;0.57;0.57;0.58;21180;0
08.01.2005;00:00;0.57;0.57;0.57;0.57;0.57;21207;0
09.01.2005;00:00;0.58;0.58;0.57;0.57;0.58;11719;0
10.01.2005;00:00;0.57;0.57;0.57;0.57;0.57;28065;0
11.01.2005;00:00;0.57;0.57;0.57;0.57;0.57;25178;0
14.01.2005;00:00;0.57;0.57;0.53;0.56;0.55;33976;0
15.01.2005;00:00;0.57;0.57;0.55;0.56;0.56;15396;0
17.01.2005;00:00;0.56;0.56;0.55;0.55;0.56;125326;0
18.01.2005;00:00;0.55;0.56;0.55;0.55;0.56;539666;0
19.01.2005;00:00;0.55;0.55;0.50;0.55;0.52;95515;0
22.01.2005;00:00;0.55;0.55;0.55;0.55;0.55;934394;0
23.01.2005;00:00;0.55;0.55;0.55;0.55;0.55;194672;0
24.01.2005;00:00;0.55;0.56;0.55;0.55;0.56;172196;0
25.01.2005;00:00;0.55;0.55;0.55;0.55;0.55;31226;0
26.01.2005;00:00;0.55;0.56;0.55;0.56;0.56;37447;0
29.01.2005;00:00;0.56;0.56;0.55;0.56;0.56;33538;0
30.01.2005;00:00;0.55;0.56;0.55;0.55;0.56;60379;0
31.01.2005;00:00;0.56;0.56;0.55;0.55;0.56;39241;0
01.02.2005;00:00;0.56;0.56;0.55;0.56;0.56;11693;0
02.02.2005;00:00;0.56;0.61;0.56;0.57;0.59;278892;0
05.02.2005;00:00;0.58;0.58;0.57;0.57;0.58;64111;0
06.02.2005;00:00;0.58;0.58;0.57;0.57;0.58;36724;0
07.02.2005;00:00;0.57;0.57;0.56;0.57;0.57;25355;0
08.02.2005;00:00;0.57;0.57;0.56;0.57;0.57;52582;0
09.02.2005;00:00;0.57;0.58;0.57;0.57;0.58;60221;0
12.02.2005;00:00;0.57;0.58;0.57;0.57;0.58;23473;0
13.02.2005;00:00;0.58;0.58;0.57;0.58;0.58;39623;0
18.02.2005;00:00;0.57;0.58;0.57;0.58;0.58;21741;0
19.02.2005;00:00;0.59;0.59;0.57;0.58;0.58;36057;0
20.02.2005;00:00;0.58;0.58;0.58;0.58;0.58;30471;0
23.02.2005;00:00;0.58;0.58;0.58;0.58;0.58;20126;0
24.02.2005;00:00;0.58;0.58;0.55;0.56;0.57;52868;0
25.02.2005;00:00;0.55;0.57;0.55;0.55;0.56;65351;0
26.02.2005;00:00;0.56;0.57;0.56;0.57;0.57;43010;0
27.02.2005;00:00;0.57;0.57;0.56;0.57;0.57;12794;0
02.03.2005;00:00;0.59;0.59;0.56;0.56;0.58;10161;0
03.03.2005;00:00;0.57;0.57;0.56;0.56;0.57;19218;0
04.03.2005;00:00;0.56;0.57;0.56;0.57;0.57;3109;0
05.03.2005;00:00;0.57;0.57;0.55;0.56;0.56;25125;0
06.03.2005;00:00;0.57;0.57;0.56;0.56;0.57;10866;0
09.03.2005;00:00;0.57;0.58;0.57;0.57;0.58;29377;0
10.03.2005;00:00;0.58;0.58;0.57;0.57;0.58;5147;0
11.03.2005;00:00;0.57;0.57;0.56;0.57;0.57;26450;0
12.03.2005;00:00;0.57;0.57;0.56;0.56;0.57;9624;0
13.03.2005;00:00;0.56;0.57;0.56;0.56;0.57;16810;0
16.03.2005;00:00;0.57;0.57;0.56;0.56;0.57;11264;0
17.03.2005;00:00;0.56;0.57;0.56;0.56;0.57;10897;0
18.03.2005;00:00;0.56;0.58;0.56;0.58;0.57;20073;0
19.03.2005;00:00;0.58;0.60;0.57;0.58;0.59;28971;0
20.03.2005;00:00;0.59;0.65;0.58;0.63;0.62;2290451;0
24.03.2005;00:00;0.63;0.65;0.62;0.64;0.64;128816;0
25.03.2005;00:00;0.64;0.66;0.63;0.65;0.65;81742;0
26.03.2005;00:00;0.65;0.67;0.64;0.65;0.66;30420;0
27.03.2005;00:00;0.65;0.73;0.64;0.71;0.69;140614;0
28.03.2005;00:00;0.72;0.78;0.71;0.77;0.75;304985;0
31.03.2005;00:00;0.78;0.80;0.69;0.73;0.75;112579;0
01.04.2005;00:00;0.73;0.80;0.73;0.76;0.77;118672;0
02.04.2005;00:00;0.78;0.78;0.70;0.74;0.74;67148;0
03.04.2005;00:00;0.75;0.78;0.74;0.78;0.76;107654;0
04.04.2005;00:00;0.78;0.78;0.72;0.76;0.75;114416;0
07.04.2005;00:00;0.76;0.78;0.74;0.75;0.76;26287;0
08.04.2005;00:00;0.76;0.79;0.75;0.79;0.77;85798;0
09.04.2005;00:00;0.80;0.80;0.74;0.79;0.77;54656;0
10.04.2005;00:00;0.78;0.79;0.75;0.76;0.77;60067;0
11.04.2005;00:00;0.76;0.77;0.74;0.76;0.76;64401;0
14.04.2005;00:00;0.78;0.79;0.75;0.78;0.77;123436;0
15.04.2005;00:00;0.81;0.81;0.77;0.80;0.79;263578;0
16.04.2005;00:00;0.80;0.83;0.78;0.81;0.81;275369;0
17.04.2005;00:00;0.76;0.83;0.76;0.80;0.80;295124;0
18.04.2005;00:00;0.82;0.82;0.80;0.81;0.81;136930;0
23.04.2005;00:00;0.82;0.82;0.78;0.79;0.80;184101;0
24.04.2005;00:00;0.82;0.82;0.79;0.80;0.81;117784;0
25.04.2005;00:00;0.80;0.81;0.76;0.79;0.79;157511;0
26.04.2005;00:00;0.78;0.78;0.76;0.77;0.77;125893;0
27.04.2005;00:00;0.77;0.80;0.76;0.77;0.78;95073;0
30.04.2005;00:00;0.78;0.78;0.76;0.77;0.77;40923;0
01.05.2005;00:00;0.78;0.78;0.76;0.77;0.77;148964;0
02.05.2005;00:00;0.78;0.78;0.76;0.76;0.77;31252;0
03.05.2005;00:00;0.77;0.78;0.75;0.77;0.77;180430;0
04.05.2005;00:00;0.77;0.77;0.75;0.75;0.76;64387;0
07.05.2005;00:00;0.75;0.76;0.68;0.70;0.72;69263;0
08.05.2005;00:00;0.70;0.74;0.70;0.70;0.72;91464;0
09.05.2005;00:00;0.72;0.72;0.70;0.71;0.71;75634;0
10.05.2005;00:00;0.70;0.70;0.68;0.69;0.69;43252;0
14.05.2005;00:00;0.69;0.74;0.65;0.65;0.70;175733;0
15.05.2005;00:00;0.65;0.73;0.63;0.66;0.68;115056;0
16.05.2005;00:00;0.67;0.72;0.67;0.67;0.70;71481;0
17.05.2005;00:00;0.67;0.69;0.67;0.69;0.68;32966;0
18.05.2005;00:00;0.69;0.74;0.69;0.70;0.72;45702;0
21.05.2005;00:00;0.74;0.74;0.69;0.70;0.72;62325;0
22.05.2005;00:00;0.70;0.70;0.68;0.69;0.69;23839;0
23.05.2005;00:00;0.68;0.70;0.62;0.68;0.66;66931;0
25.05.2005;00:00;0.70;0.70;0.68;0.69;0.69;10991;0
26.05.2005;00:00;0.69;0.69;0.68;0.69;0.69;65328;0
29.05.2005;00:00;0.69;0.69;0.67;0.67;0.68;51227;0
30.05.2005;00:00;0.67;0.68;0.65;0.68;0.67;47845;0
31.05.2005;00:00;0.68;0.68;0.65;0.67;0.67;22609;0
01.06.2005;00:00;0.68;0.68;0.66;0.68;0.67;45449;0
02.06.2005;00:00;0.67;0.68;0.65;0.65;0.67;28578;0
05.06.2005;00:00;0.66;0.67;0.65;0.65;0.66;18474;0
06.06.2005;00:00;0.65;0.67;0.62;0.64;0.65;69947;0
07.06.2005;00:00;0.65;0.66;0.62;0.63;0.64;34777;0
08.06.2005;00:00;0.64;0.67;0.64;0.65;0.66;17836;0
09.06.2005;00:00;0.67;0.69;0.65;0.69;0.67;102884;0
12.06.2005;00:00;0.69;0.72;0.65;0.67;0.69;280112;0
13.06.2005;00:00;0.63;0.67;0.63;0.67;0.65;56698;0
14.06.2005;00:00;0.66;0.68;0.66;0.67;0.67;133896;0
15.06.2005;00:00;0.68;0.68;0.65;0.67;0.67;39953;0
16.06.2005;00:00;0.68;0.68;0.64;0.64;0.66;12681;0
19.06.2005;00:00;0.65;0.65;0.63;0.65;0.64;113423;0
20.06.2005;00:00;0.66;0.66;0.65;0.66;0.66;9261;0
21.06.2005;00:00;0.66;0.66;0.64;0.65;0.65;59982;0
22.06.2005;00:00;0.65;0.67;0.65;0.65;0.66;52019;0
23.06.2005;00:00;0.68;0.68;0.67;0.67;0.68;13948;0
28.06.2005;00:00;0.65;0.67;0.63;0.67;0.65;40710;0
29.06.2005;00:00;0.67;0.67;0.65;0.65;0.66;81225;0
30.06.2005;00:00;0.66;0.66;0.65;0.65;0.66;42496;0
01.07.2005;00:00;0.63;0.65;0.63;0.63;0.64;163932;0
02.07.2005;00:00;0.64;0.66;0.63;0.63;0.65;83522;0
05.07.2005;00:00;0.71;0.71;0.63;0.63;0.67;41238;0
06.07.2005;00:00;0.64;0.64;0.63;0.63;0.64;45626;0
07.07.2005;00:00;0.63;0.64;0.62;0.62;0.63;47037;0
08.07.2005;00:00;0.63;0.63;0.62;0.63;0.63;108226;0
09.07.2005;00:00;0.62;0.65;0.62;0.63;0.64;55625;0
12.07.2005;00:00;0.62;0.63;0.62;0.62;0.63;94036;0
13.07.2005;00:00;0.64;0.64;0.62;0.63;0.63;24776;0
14.07.2005;00:00;0.64;0.65;0.62;0.62;0.64;76423;0
15.07.2005;00:00;0.62;0.63;0.62;0.63;0.63;15288;0
16.07.2005;00:00;0.63;0.63;0.62;0.62;0.63;67762;0
19.07.2005;00:00;0.62;0.63;0.62;0.62;0.63;33148;0
20.07.2005;00:00;0.63;0.63;0.62;0.62;0.63;46682;0
21.07.2005;00:00;0.62;0.64;0.62;0.63;0.63;190097;0
22.07.2005;00:00;0.63;0.65;0.62;0.64;0.64;28957;0
23.07.2005;00:00;0.64;0.64;0.62;0.63;0.63;30063;0
26.07.2005;00:00;0.63;0.64;0.63;0.63;0.64;68468;0
28.07.2005;00:00;0.63;0.65;0.62;0.65;0.64;159389;0
29.07.2005;00:00;0.65;0.67;0.65;0.67;0.66;121268;0
30.07.2005;00:00;0.67;0.68;0.67;0.67;0.68;41718;0
31.07.2005;00:00;0.65;0.67;0.65;0.67;0.66;16760;0
03.08.2005;00:00;0.67;0.67;0.65;0.67;0.66;35887;0
04.08.2005;00:00;0.67;0.67;0.66;0.67;0.67;24264;0
05.08.2005;00:00;0.68;0.68;0.67;0.67;0.68;34186;0
06.08.2005;00:00;0.68;0.69;0.67;0.67;0.68;22607;0
07.08.2005;00:00;0.65;0.68;0.65;0.67;0.67;22944;0
10.08.2005;00:00;0.74;0.74;0.67;0.67;0.71;38741;0
11.08.2005;00:00;0.68;0.68;0.67;0.67;0.68;39928;0
12.08.2005;00:00;0.67;0.68;0.65;0.67;0.67;90212;0
13.08.2005;00:00;0.67;0.68;0.67;0.67;0.68;57715;0
14.08.2005;00:00;0.67;0.68;0.67;0.67;0.68;51374;0
17.08.2005;00:00;0.68;0.68;0.67;0.67;0.68;101783;0
18.08.2005;00:00;0.67;0.67;0.66;0.67;0.67;34730;0
19.08.2005;00:00;0.67;0.67;0.65;0.67;0.66;28879;0
20.08.2005;00:00;0.65;0.67;0.65;0.67;0.66;17465;0
21.08.2005;00:00;0.67;0.68;0.67;0.67;0.68;52331;0
24.08.2005;00:00;0.67;0.67;0.65;0.66;0.66;66630;0
25.08.2005;00:00;0.65;0.68;0.65;0.68;0.67;151069;0
27.08.2005;00:00;0.67;0.67;0.66;0.67;0.67;22956;0
29.08.2005;00:00;0.67;0.67;0.67;0.67;0.67;8627;0
01.09.2005;00:00;0.66;0.68;0.66;0.67;0.67;40778;0
02.09.2005;00:00;0.67;0.67;0.67;0.67;0.67;8748;0
03.09.2005;00:00;0.67;0.67;0.66;0.67;0.67;61086;0
04.09.2005;00:00;0.67;0.67;0.66;0.66;0.67;37855;0
05.09.2005;00:00;0.67;0.68;0.66;0.67;0.67;423105;0
08.09.2005;00:00;0.67;0.67;0.65;0.66;0.66;31031;0
09.09.2005;00:00;0.66;0.67;0.66;0.66;0.67;22714;0
10.09.2005;00:00;0.65;0.67;0.65;0.66;0.66;44814;0
11.09.2005;00:00;0.66;0.67;0.65;0.65;0.66;19105;0
12.09.2005;00:00;0.66;0.66;0.65;0.65;0.66;45933;0
15.09.2005;00:00;0.66;0.66;0.65;0.66;0.66;28819;0
16.09.2005;00:00;0.66;0.66;0.65;0.65;0.66;9962;0
17.09.2005;00:00;0.65;0.67;0.64;0.67;0.66;149060;0
18.09.2005;00:00;0.67;0.67;0.66;0.66;0.67;5359;0
19.09.2005;00:00;0.66;0.67;0.63;0.65;0.65;42318;0
22.09.2005;00:00;0.65;0.66;0.64;0.65;0.65;104916;0
23.09.2005;00:00;0.66;0.66;0.64;0.65;0.65;33989;0
24.09.2005;00:00;0.65;0.67;0.65;0.67;0.66;54869;0
25.09.2005;00:00;0.67;0.67;0.65;0.66;0.66;20990;0
26.09.2005;00:00;0.65;0.66;0.65;0.65;0.66;25730;0
01.10.2005;00:00;0.65;0.67;0.65;0.65;0.66;21925;0
02.10.2005;00:00;0.65;0.67;0.65;0.67;0.66;124577;0
03.10.2005;00:00;0.69;0.69;0.66;0.67;0.68;151230;0
04.10.2005;00:00;0.67;0.69;0.67;0.67;0.68;29479;0
05.10.2005;00:00;0.66;0.68;0.65;0.68;0.67;94086;0
08.10.2005;00:00;0.67;0.68;0.67;0.67;0.68;16649;0
09.10.2005;00:00;0.67;0.68;0.67;0.67;0.68;47342;0
10.10.2005;00:00;0.67;0.68;0.67;0.68;0.68;17938;0
11.10.2005;00:00;0.66;0.68;0.66;0.67;0.67;63798;0
12.10.2005;00:00;0.67;0.68;0.67;0.68;0.68;27229;0
15.10.2005;00:00;0.68;0.68;0.67;0.68;0.68;88413;0
16.10.2005;00:00;0.67;0.68;0.67;0.67;0.68;54574;0
17.10.2005;00:00;0.67;0.69;0.67;0.69;0.68;134327;0
18.10.2005;00:00;0.68;0.69;0.68;0.68;0.69;12184;0
19.10.2005;00:00;0.69;0.69;0.68;0.68;0.69;43213;0
25.10.2005;00:00;0.68;0.69;0.68;0.69;0.69;39367;0
26.10.2005;00:00;0.69;0.69;0.67;0.67;0.68;430992;0
29.10.2005;00:00;0.67;0.68;0.67;0.68;0.68;44881;0
30.10.2005;00:00;0.68;0.68;0.67;0.68;0.68;77707;0
01.11.2005;00:00;0.68;0.69;0.68;0.68;0.69;102014;0
02.11.2005;00:00;0.68;0.69;0.68;0.69;0.69;176037;0
03.11.2005;00:00;0.69;0.69;0.67;0.67;0.68;16571;0
06.11.2005;00:00;0.67;0.68;0.67;0.68;0.68;130205;0
07.11.2005;00:00;0.68;0.68;0.68;0.68;0.68;34137;0
08.11.2005;00:00;0.68;0.68;0.68;0.68;0.68;11603;0
09.11.2005;00:00;0.68;0.68;0.67;0.68;0.68;35810;0
10.11.2005;00:00;0.68;0.68;0.67;0.68;0.68;25672;0
13.11.2005;00:00;0.68;0.68;0.67;0.68;0.68;67308;0
14.11.2005;00:00;0.68;0.68;0.67;0.67;0.68;34949;0
15.11.2005;00:00;0.67;0.67;0.67;0.67;0.67;46223;0
