Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.22;0.23;0.19;0.19;0.21;366623;0
08.05.2005;00:00;0.20;0.21;0.19;0.20;0.20;402097;0
09.05.2005;00:00;0.20;0.21;0.19;0.19;0.20;260506;0
10.05.2005;00:00;0.19;0.19;0.18;0.18;0.19;175718;0
14.05.2005;00:00;0.18;0.18;0.16;0.17;0.17;89382;0
15.05.2005;00:00;0.17;0.17;0.16;0.17;0.17;74518;0
16.05.2005;00:00;0.17;0.17;0.17;0.17;0.17;55641;0
17.05.2005;00:00;0.18;0.18;0.16;0.17;0.17;62942;0
18.05.2005;00:00;0.17;0.18;0.17;0.18;0.17;295491;0
21.05.2005;00:00;0.18;0.18;0.17;0.18;0.18;157666;0
22.05.2005;00:00;0.18;0.19;0.18;0.19;0.18;570942;0
23.05.2005;00:00;0.19;0.19;0.17;0.19;0.18;580042;0
25.05.2005;00:00;0.18;0.19;0.18;0.19;0.19;784676;0
26.05.2005;00:00;0.20;0.20;0.19;0.20;0.20;693402;0
29.05.2005;00:00;0.20;0.21;0.19;0.21;0.20;781247;0
30.05.2005;00:00;0.21;0.21;0.21;0.21;0.21;536288;0
31.05.2005;00:00;0.22;0.22;0.21;0.22;0.22;665208;0
01.06.2005;00:00;0.22;0.23;0.21;0.23;0.22;376129;0
02.06.2005;00:00;0.22;0.23;0.21;0.23;0.22;1039077;0
05.06.2005;00:00;0.22;0.23;0.22;0.22;0.22;224130;0
06.06.2005;00:00;0.21;0.21;0.19;0.20;0.20;315645;0
07.06.2005;00:00;0.20;0.21;0.19;0.20;0.20;152482;0
08.06.2005;00:00;0.20;0.20;0.19;0.20;0.20;101627;0
09.06.2005;00:00;0.20;0.21;0.20;0.21;0.20;193089;0
12.06.2005;00:00;0.21;0.21;0.20;0.20;0.21;77611;0
13.06.2005;00:00;0.21;0.21;0.19;0.21;0.20;167634;0
14.06.2005;00:00;0.21;0.21;0.20;0.20;0.21;72601;0
15.06.2005;00:00;0.21;0.21;0.20;0.21;0.21;270720;0
16.06.2005;00:00;0.21;0.21;0.19;0.20;0.20;139562;0
19.06.2005;00:00;0.20;0.20;0.19;0.19;0.19;159559;0
20.06.2005;00:00;0.19;0.19;0.16;0.17;0.18;340862;0
21.06.2005;00:00;0.17;0.17;0.17;0.17;0.17;183821;0
22.06.2005;00:00;0.17;0.17;0.17;0.17;0.17;408552;0
