Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;13:05;24.36;24.56;24.28;24.50;24.42;4387550;0
26.02.2024;14:05;24.44;24.50;24.20;24.24;24.35;947793;0
26.02.2024;15:05;24.24;24.24;24.02;24.12;24.13;1614605;0
26.02.2024;16:05;24.04;24.06;23.86;23.98;23.96;1682435;0
26.02.2024;17:05;24.00;24.26;23.96;24.08;24.11;1900093;0
26.02.2024;18:05;24.12;24.12;24.12;24.12;24.12;79885;0
27.02.2024;09:05;24.30;24.30;24.30;24.30;24.30;9914;0
27.02.2024;10:05;24.30;24.68;24.16;24.50;24.42;2489235;0
27.02.2024;11:05;24.44;24.58;24.36;24.46;24.47;1321756;0
27.02.2024;12:05;24.42;24.56;24.40;24.54;24.48;826103;0
27.02.2024;13:05;24.50;24.54;24.32;24.36;24.43;868192;0
27.02.2024;14:05;24.36;24.68;24.30;24.58;24.49;2684184;0
27.02.2024;15:05;24.58;24.72;24.52;24.70;24.62;1680151;0
27.02.2024;16:05;24.68;24.94;24.54;24.92;24.74;3654813;0
27.02.2024;17:05;24.88;24.90;24.72;24.82;24.81;2573754;0
27.02.2024;18:05;24.78;24.78;24.78;24.78;24.78;104076;0
01.03.2024;09:05;24.78;24.78;24.78;24.78;24.78;71490;0
01.03.2024;10:05;24.80;25.62;24.80;25.58;25.21;4147814;0
01.03.2024;11:05;25.56;25.64;25.24;25.44;25.44;6064492;0
01.03.2024;12:05;25.42;25.50;25.24;25.30;25.37;2727809;0
01.03.2024;13:05;25.32;25.38;25.22;25.34;25.30;1610075;0
01.03.2024;14:05;25.34;25.38;25.20;25.28;25.29;600419;0
01.03.2024;15:05;25.28;25.50;25.24;25.40;25.37;1586386;0
01.03.2024;16:05;25.40;25.66;25.22;25.52;25.44;1317054;0
01.03.2024;17:05;25.52;25.58;25.38;25.50;25.48;1982386;0
01.03.2024;18:05;25.60;25.60;25.60;25.60;25.60;292070;0
02.03.2024;09:05;25.64;25.64;25.64;25.64;25.64;10102;0
02.03.2024;10:05;25.64;25.90;25.40;25.50;25.65;4131524;0
02.03.2024;11:05;25.50;25.98;25.44;25.94;25.71;3200298;0
02.03.2024;12:05;25.94;26.04;25.72;25.94;25.88;2550888;0
08.03.2024;09:05;25.94;25.94;25.94;25.94;25.94;949897;0
08.03.2024;10:05;25.94;26.68;25.12;26.40;25.90;9374609;0
08.03.2024;11:05;26.46;26.88;26.42;26.70;26.65;7055743;0
