Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
04.05.2005;00:00;0.45;0.45;0.43;0.44;0.44;1172364;0
07.05.2005;00:00;0.43;0.43;0.41;0.41;0.42;1282813;0
08.05.2005;00:00;0.41;0.42;0.41;0.42;0.41;2090927;0
09.05.2005;00:00;0.42;0.43;0.41;0.41;0.42;2124381;0
10.05.2005;00:00;0.41;0.41;0.39;0.41;0.40;1996599;0
14.05.2005;00:00;0.41;0.45;0.40;0.40;0.42;2318329;0
15.05.2005;00:00;0.40;0.42;0.39;0.42;0.40;1560650;0
16.05.2005;00:00;0.41;0.42;0.41;0.42;0.41;1426885;0
17.05.2005;00:00;0.42;0.43;0.42;0.43;0.42;1182000;0
18.05.2005;00:00;0.43;0.46;0.43;0.45;0.45;2515817;0
21.05.2005;00:00;0.45;0.46;0.44;0.45;0.45;1195707;0
22.05.2005;00:00;0.45;0.47;0.43;0.47;0.45;3913274;0
23.05.2005;00:00;0.46;0.51;0.45;0.51;0.48;9118588;0
25.05.2005;00:00;0.51;0.52;0.48;0.48;0.50;5452331;0
26.05.2005;00:00;0.49;0.50;0.46;0.47;0.48;4488326;0
29.05.2005;00:00;0.52;0.52;0.46;0.48;0.49;2858658;0
30.05.2005;00:00;0.47;0.56;0.47;0.55;0.52;25078920;0
31.05.2005;00:00;0.55;0.57;0.54;0.54;0.56;21425550;0
01.06.2005;00:00;0.54;0.57;0.53;0.54;0.55;17433390;0
02.06.2005;00:00;0.55;0.56;0.50;0.52;0.53;8604377;0
05.06.2005;00:00;0.53;0.56;0.52;0.56;0.54;13994760;0
06.06.2005;00:00;0.54;0.56;0.52;0.54;0.54;6111268;0
07.06.2005;00:00;0.54;0.60;0.54;0.59;0.57;21448340;0
08.06.2005;00:00;0.60;0.62;0.58;0.60;0.60;15673360;0
09.06.2005;00:00;0.61;0.62;0.60;0.60;0.61;7852558;0
12.06.2005;00:00;0.61;0.61;0.60;0.60;0.61;2694368;0
13.06.2005;00:00;0.60;0.65;0.60;0.64;0.62;17099410;0
14.06.2005;00:00;0.64;0.66;0.62;0.63;0.64;6680993;0
15.06.2005;00:00;0.64;0.64;0.57;0.60;0.60;10549620;0
16.06.2005;00:00;0.53;0.60;0.53;0.56;0.56;6842663;0
19.06.2005;00:00;0.61;0.61;0.49;0.52;0.55;4692375;0
20.06.2005;00:00;0.57;0.57;0.47;0.52;0.52;3530879;0
21.06.2005;00:00;0.51;0.53;0.50;0.52;0.51;4563821;0
22.06.2005;00:00;0.53;0.56;0.51;0.54;0.53;6691585;0
23.06.2005;00:00;0.55;0.56;0.54;0.54;0.55;6209268;0
28.06.2005;00:00;0.56;0.56;0.54;0.54;0.55;2243698;0
29.06.2005;00:00;0.55;0.56;0.54;0.56;0.55;9082493;0
30.06.2005;00:00;0.56;0.58;0.56;0.56;0.57;5857700;0
01.07.2005;00:00;0.56;0.58;0.55;0.56;0.56;4623085;0
02.07.2005;00:00;0.57;0.57;0.56;0.56;0.56;2698934;0
05.07.2005;00:00;0.56;0.60;0.56;0.60;0.58;10487260;0
06.07.2005;00:00;0.60;0.63;0.60;0.62;0.62;8032057;0
07.07.2005;00:00;0.63;0.66;0.62;0.64;0.64;19062830;0
08.07.2005;00:00;0.64;0.65;0.63;0.64;0.64;10964900;0
09.07.2005;00:00;0.63;0.64;0.61;0.62;0.62;6693210;0
12.07.2005;00:00;0.62;0.62;0.56;0.59;0.59;6631386;0
13.07.2005;00:00;0.59;0.62;0.58;0.62;0.60;5203833;0
14.07.2005;00:00;0.62;0.63;0.61;0.62;0.62;4679954;0
15.07.2005;00:00;0.62;0.63;0.62;0.63;0.62;4519194;0
16.07.2005;00:00;0.62;0.64;0.62;0.64;0.63;3837652;0
19.07.2005;00:00;0.64;0.66;0.63;0.64;0.65;2516749;0
20.07.2005;00:00;0.65;0.66;0.63;0.64;0.65;7123257;0
21.07.2005;00:00;0.64;0.66;0.63;0.65;0.65;9800058;0
22.07.2005;00:00;0.65;0.66;0.65;0.65;0.66;6170914;0
23.07.2005;00:00;0.65;0.67;0.65;0.66;0.66;7264590;0
26.07.2005;00:00;0.66;0.68;0.66;0.66;0.67;1376384;0
28.07.2005;00:00;0.66;0.67;0.66;0.66;0.67;2424117;0
29.07.2005;00:00;0.66;0.66;0.64;0.64;0.65;3402499;0
30.07.2005;00:00;0.65;0.65;0.62;0.62;0.63;5777114;0
