Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;17:05;13.11;13.49;12.90;13.49;13.19;32531920;0
26.02.2024;18:05;13.49;13.49;13.49;13.49;13.49;59991;0
27.02.2024;09:05;13.67;13.67;13.67;13.67;13.67;2108097;0
27.02.2024;10:05;13.67;14.47;13.67;14.39;14.07;54908980;0
27.02.2024;11:05;14.39;14.43;14.05;14.05;14.24;16350360;0
27.02.2024;12:05;14.09;14.16;13.01;14.04;13.59;15099580;0
27.02.2024;13:05;14.06;14.07;13.67;13.97;13.87;10394240;0
27.02.2024;14:05;13.98;14.01;13.91;13.91;13.96;3110278;0
27.02.2024;15:05;13.91;14.23;13.83;14.17;14.03;9264896;0
27.02.2024;16:05;14.16;14.44;13.96;13.99;14.20;14184950;0
27.02.2024;17:05;13.97;14.15;13.83;13.83;13.99;11118530;0
27.02.2024;18:05;13.83;13.83;13.83;13.83;13.83;85905;0
01.03.2024;09:05;13.89;13.89;13.89;13.89;13.89;521417;0
01.03.2024;10:05;13.90;14.21;13.85;14.10;14.03;9929130;0
01.03.2024;11:05;14.09;14.13;13.94;14.06;14.03;5777259;0
01.03.2024;12:05;14.05;14.10;13.90;13.97;14.00;4133458;0
01.03.2024;13:05;13.94;14.18;13.88;14.09;14.03;5607236;0
01.03.2024;14:05;14.10;14.59;14.09;14.51;14.34;15022710;0
01.03.2024;15:05;14.49;14.70;14.45;14.57;14.57;7278859;0
01.03.2024;16:05;14.57;14.57;14.40;14.40;14.48;4001287;0
01.03.2024;17:05;14.40;14.52;14.23;14.30;14.38;5873210;0
01.03.2024;18:05;14.28;14.28;14.28;14.28;14.28;114940;0
02.03.2024;09:05;14.33;14.33;14.33;14.33;14.33;166582;0
02.03.2024;10:05;14.42;14.43;13.74;13.96;14.09;10983990;0
02.03.2024;11:05;13.97;14.39;13.95;14.37;14.17;6622177;0
02.03.2024;12:05;14.37;14.41;14.29;14.30;14.35;3450359;0
08.03.2024;09:05;14.18;14.18;14.18;14.18;14.18;416935;0
08.03.2024;10:05;14.18;14.22;13.69;14.07;13.95;10184040;0
08.03.2024;11:05;14.07;14.23;14.03;14.12;14.13;3278519;0
08.03.2024;12:05;14.11;14.18;13.91;14.09;14.05;5783259;0
08.03.2024;13:05;14.08;14.17;13.93;13.98;14.05;2471271;0
08.03.2024;14:05;14.00;14.09;13.88;14.03;13.99;3744926;0
08.03.2024;15:05;14.07;14.07;13.87;13.89;13.97;2671640;0
08.03.2024;16:05;13.89;14.29;13.87;14.14;14.08;6140058;0
08.03.2024;17:05;14.15;14.63;14.09;14.53;14.36;11039340;0
