Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;44.36;44.36;44.36;44.36;44.36;3194355;0
27.02.2024;10:05;44.36;46.49;44.36;46.19;45.43;68518176;0
27.02.2024;11:05;46.19;46.47;46.08;46.31;46.28;17095340;0
27.02.2024;12:05;46.27;46.51;46.10;46.35;46.31;16668250;0
27.02.2024;13:05;46.33;46.93;46.21;46.83;46.57;37309168;0
27.02.2024;14:05;46.83;47.10;46.63;47.01;46.87;11988690;0
27.02.2024;15:05;47.01;47.04;46.82;47.01;46.93;7157728;0
27.02.2024;16:05;47.01;47.25;46.99;47.04;47.12;30381060;0
27.02.2024;17:05;47.06;47.67;46.99;47.57;47.33;46177408;0
27.02.2024;18:05;47.85;47.85;47.85;47.85;47.85;3927222;0
01.03.2024;09:05;47.57;47.57;47.57;47.57;47.57;13488810;0
01.03.2024;10:05;47.57;48.52;46.91;48.00;47.71;92641616;0
01.03.2024;11:05;48.00;48.42;47.85;48.18;48.14;29153070;0
01.03.2024;12:05;48.13;48.38;48.05;48.18;48.21;14185060;0
01.03.2024;13:05;48.18;48.42;48.10;48.33;48.26;16777870;0
01.03.2024;14:05;48.33;48.61;48.23;48.33;48.42;18443430;0
01.03.2024;15:05;48.28;48.42;48.13;48.38;48.28;9630640;0
01.03.2024;16:05;48.38;48.90;48.18;48.75;48.54;28045190;0
01.03.2024;17:05;48.80;48.99;48.57;48.70;48.78;48117660;0
01.03.2024;18:05;48.85;48.85;48.85;48.85;48.85;3559365;0
02.03.2024;09:05;49.18;49.18;49.18;49.18;49.18;1577432;0
02.03.2024;10:05;49.18;49.22;48.42;48.75;48.82;24650830;0
02.03.2024;11:05;48.75;48.90;48.61;48.85;48.75;15818450;0
02.03.2024;12:05;48.85;48.94;48.61;48.61;48.78;19446920;0
08.03.2024;09:05;48.00;48.00;48.00;48.00;48.00;1972319;0
08.03.2024;10:05;48.10;48.70;47.76;48.18;48.23;39493460;0
08.03.2024;11:05;48.23;49.55;48.18;48.99;48.87;36891232;0
08.03.2024;12:05;49.03;49.03;48.66;48.75;48.84;9344999;0
08.03.2024;13:05;48.75;48.80;48.10;48.13;48.45;11350180;0
08.03.2024;14:05;48.13;48.42;48.00;48.38;48.21;13108470;0
08.03.2024;15:05;48.33;48.38;47.90;48.05;48.14;9410448;0
08.03.2024;16:05;48.05;48.23;47.95;48.13;48.09;9060148;0
08.03.2024;17:05;48.13;48.28;47.85;48.13;48.07;12157810;0
08.03.2024;18:05;47.85;47.85;47.85;47.85;47.85;7940986;0
09.03.2024;09:05;47.62;47.62;47.62;47.62;47.62;752260;0
09.03.2024;10:05;47.62;48.28;47.48;47.48;47.88;20255720;0
09.03.2024;11:05;47.43;47.48;46.91;47.12;47.19;20399350;0
09.03.2024;12:05;47.12;48.33;46.99;47.38;47.66;14151330;0
09.03.2024;13:05;47.33;47.48;47.20;47.33;47.34;5717883;0
09.03.2024;14:05;47.29;47.95;47.20;47.81;47.57;15599140;0
09.03.2024;15:05;47.85;48.28;47.76;48.28;48.02;17003010;0
09.03.2024;16:05;48.28;48.57;47.18;47.38;47.87;39717328;0
09.03.2024;17:05;47.38;48.23;47.25;47.85;47.74;16644350;0
09.03.2024;18:05;47.90;47.90;47.90;47.90;47.90;4106639;0
10.03.2024;09:05;48.38;48.38;48.38;48.38;48.38;1010753;0
10.03.2024;10:05;48.38;48.70;48.23;48.52;48.47;33437470;0
10.03.2024;11:05;48.57;48.85;48.23;48.23;48.54;16834610;0
10.03.2024;12:05;48.23;48.38;47.67;47.71;48.02;28100940;0
10.03.2024;13:05;47.71;47.85;47.57;47.67;47.71;15459390;0
10.03.2024;14:05;47.67;47.81;47.48;47.71;47.64;12896680;0
10.03.2024;15:05;47.71;47.85;47.48;47.48;47.67;8536253;0
10.03.2024;16:05;47.48;48.10;47.43;47.81;47.76;15414870;0
10.03.2024;17:05;47.81;48.28;47.67;48.28;47.97;36946752;0
10.03.2024;18:05;48.33;48.33;48.33;48.33;48.33;7030169;0
11.03.2024;09:05;48.28;48.28;48.28;48.28;48.28;4466828;0
11.03.2024;10:05;48.23;48.28;47.48;47.76;47.88;29111850;0
11.03.2024;11:05;47.71;47.71;46.82;47.38;47.27;18854840;0
11.03.2024;12:05;47.38;47.81;47.29;47.53;47.55;16022830;0
11.03.2024;13:05;47.53;47.53;47.29;47.43;47.41;3034083;0
11.03.2024;14:05;47.38;47.48;47.12;47.14;47.30;8148527;0
11.03.2024;15:05;47.16;47.29;47.12;47.18;47.20;8987678;0
11.03.2024;16:05;47.18;47.20;46.46;46.74;46.83;28644420;0
11.03.2024;17:05;46.73;46.99;46.67;46.78;46.83;20104690;0
11.03.2024;18:05;46.78;46.78;46.78;46.78;46.78;4811532;0
12.03.2024;09:05;46.63;46.63;46.63;46.63;46.63;391495;0
12.03.2024;10:05;46.63;47.01;46.29;46.59;46.65;31468600;0
12.03.2024;11:05;46.55;46.59;46.18;46.21;46.38;14537620;0
12.03.2024;12:05;46.23;46.23;46.02;46.21;46.13;7234235;0
12.03.2024;13:05;46.19;46.33;46.12;46.27;46.22;4810938;0
12.03.2024;14:05;46.27;46.27;46.12;46.19;46.19;7007883;0
12.03.2024;15:05;46.19;46.63;46.19;46.61;46.41;21616710;0
12.03.2024;16:05;46.59;46.82;46.46;46.55;46.64;27295430;0
12.03.2024;17:05;46.55;46.74;46.44;46.61;46.59;19606010;0
12.03.2024;18:05;46.61;46.61;46.61;46.61;46.61;3941957;0
15.03.2024;09:05;46.73;46.73;46.73;46.73;46.73;1518215;0
15.03.2024;10:05;46.73;47.57;46.73;47.33;47.15;65897208;0
