Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
01.11.2011;00:00;0.16;0.16;0.14;0.15;0.15;2609496;0
02.11.2011;00:00;0.15;0.15;0.15;0.15;0.15;659096;0
03.11.2011;00:00;0.15;0.15;0.14;0.15;0.15;402738;0
04.11.2011;00:00;0.15;0.15;0.14;0.14;0.14;435329;0
05.11.2011;00:00;0.14;0.14;0.13;0.13;0.14;783508;0
08.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;381524;0
09.11.2011;00:00;0.13;0.15;0.13;0.14;0.14;2161725;0
10.11.2011;00:00;0.15;0.15;0.14;0.14;0.14;481146;0
11.11.2011;00:00;0.14;0.14;0.13;0.13;0.14;215441;0
12.11.2011;00:00;0.14;0.14;0.13;0.13;0.13;239660;0
15.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;91452;0
16.11.2011;00:00;0.13;0.13;0.12;0.12;0.12;811628;0
18.11.2011;00:00;0.12;0.12;0.12;0.12;0.12;302466;0
19.11.2011;00:00;0.12;0.13;0.12;0.12;0.12;564634;0
20.11.2011;00:00;0.12;0.13;0.12;0.13;0.13;337934;0
23.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;284942;0
24.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;135096;0
25.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;30351;0
26.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;163519;0
27.11.2011;00:00;0.13;0.13;0.13;0.13;0.13;31277;0
30.11.2011;00:00;0.13;0.14;0.13;0.13;0.13;1035646;0
01.12.2011;00:00;0.13;0.13;0.13;0.13;0.13;272798;0
02.12.2011;00:00;0.13;0.14;0.13;0.14;0.14;1013162;0
03.12.2011;00:00;0.14;0.15;0.14;0.14;0.14;799607;0
04.12.2011;00:00;0.15;0.15;0.14;0.15;0.15;707266;0
09.12.2011;00:00;0.15;0.15;0.14;0.14;0.15;575088;0
10.12.2011;00:00;0.15;0.15;0.14;0.14;0.15;127374;0
11.12.2011;00:00;0.14;0.14;0.14;0.14;0.14;248854;0
14.12.2011;00:00;0.14;0.14;0.14;0.14;0.14;106033;0
15.12.2011;00:00;0.14;0.15;0.14;0.14;0.14;374962;0
16.12.2011;00:00;0.15;0.15;0.14;0.14;0.14;96373;0
18.12.2011;00:00;0.14;0.14;0.14;0.14;0.14;467051;0
22.12.2011;00:00;0.14;0.14;0.14;0.14;0.14;66015;0
23.12.2011;00:00;0.14;0.14;0.14;0.14;0.14;147832;0
24.12.2011;00:00;0.14;0.14;0.13;0.14;0.14;394579;0
25.12.2011;00:00;0.14;0.14;0.14;0.14;0.14;594721;0
