Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
08.05.2005;00:00;1.83;1.89;1.83;1.88;1.86;66728632;0
09.05.2005;00:00;1.89;1.93;1.84;1.85;1.88;48129488;0
10.05.2005;00:00;1.83;1.85;1.78;1.83;1.82;82643776;0
14.05.2005;00:00;1.82;1.83;1.65;1.71;1.74;76662200;0
15.05.2005;00:00;1.71;1.74;1.62;1.71;1.68;85803240;0
16.05.2005;00:00;1.69;1.71;1.61;1.66;1.66;60954220;0
17.05.2005;00:00;1.69;1.71;1.67;1.71;1.69;51469200;0
18.05.2005;00:00;1.71;1.84;1.71;1.83;1.77;71228816;0
21.05.2005;00:00;1.83;1.84;1.80;1.82;1.82;23171300;0
22.05.2005;00:00;1.80;1.80;1.72;1.76;1.76;28642910;0
23.05.2005;00:00;1.71;1.84;1.68;1.79;1.76;55377440;0
25.05.2005;00:00;1.81;1.84;1.78;1.83;1.81;44030780;0
26.05.2005;00:00;1.84;1.89;1.84;1.89;1.86;37511140;0
29.05.2005;00:00;1.83;1.83;1.74;1.75;1.78;62525980;0
30.05.2005;00:00;1.71;1.76;1.71;1.74;1.73;70083936;0
31.05.2005;00:00;1.74;1.76;1.67;1.67;1.71;80006688;0
01.06.2005;00:00;1.67;1.67;1.55;1.56;1.61;90389024;0
02.06.2005;00:00;1.58;1.59;1.51;1.54;1.55;86290944;0
05.06.2005;00:00;1.52;1.55;1.40;1.49;1.47;58233448;0
06.06.2005;00:00;1.46;1.46;1.33;1.40;1.39;110252096;0
07.06.2005;00:00;1.40;1.46;1.38;1.44;1.42;77796592;0
08.06.2005;00:00;1.46;1.47;1.45;1.46;1.46;70790160;0
09.06.2005;00:00;1.48;1.54;1.46;1.46;1.50;91569648;0
12.06.2005;00:00;1.46;1.49;1.46;1.49;1.47;33436160;0
13.06.2005;00:00;1.46;1.48;1.46;1.46;1.47;27473950;0
14.06.2005;00:00;1.46;1.47;1.40;1.41;1.44;34978488;0
15.06.2005;00:00;1.46;1.56;1.41;1.43;1.48;78654544;0
16.06.2005;00:00;1.43;1.46;1.38;1.40;1.42;59700568;0
19.06.2005;00:00;1.42;1.45;1.33;1.35;1.39;31603030;0
20.06.2005;00:00;1.36;1.39;1.29;1.34;1.34;106029904;0
21.06.2005;00:00;1.31;1.40;1.31;1.39;1.35;128908096;0
22.06.2005;00:00;1.40;1.46;1.39;1.44;1.42;99656304;0
23.06.2005;00:00;1.48;1.55;1.46;1.49;1.51;78356416;0
28.06.2005;00:00;1.48;1.51;1.47;1.49;1.49;23886550;0
29.06.2005;00:00;1.51;1.57;1.51;1.56;1.54;50428800;0
30.06.2005;00:00;1.53;1.54;1.46;1.46;1.50;53122952;0
01.07.2005;00:00;1.45;1.46;1.40;1.46;1.43;86287960;0
02.07.2005;00:00;1.46;1.52;1.46;1.48;1.49;91101280;0
05.07.2005;00:00;1.48;1.53;1.46;1.52;1.50;41490872;0
06.07.2005;00:00;1.52;1.55;1.48;1.48;1.52;44011632;0
07.07.2005;00:00;1.51;1.52;1.48;1.50;1.50;50199980;0
08.07.2005;00:00;1.47;1.47;1.40;1.45;1.44;46285560;0
09.07.2005;00:00;1.41;1.42;1.36;1.37;1.39;52723540;0
12.07.2005;00:00;1.35;1.35;1.31;1.33;1.33;43046232;0
13.07.2005;00:00;1.33;1.41;1.33;1.41;1.37;55783580;0
14.07.2005;00:00;1.43;1.44;1.40;1.42;1.42;41710512;0
15.07.2005;00:00;1.45;1.61;1.45;1.59;1.53;153273296;0
16.07.2005;00:00;1.57;1.60;1.55;1.57;1.58;84003512;0
19.07.2005;00:00;1.57;1.58;1.55;1.57;1.57;25770730;0
20.07.2005;00:00;1.58;1.64;1.58;1.62;1.61;72928032;0
21.07.2005;00:00;1.64;1.69;1.59;1.68;1.64;71937744;0
22.07.2005;00:00;1.68;1.72;1.68;1.69;1.70;67158480;0
23.07.2005;00:00;1.69;1.69;1.65;1.66;1.67;29898600;0
26.07.2005;00:00;1.68;1.70;1.62;1.64;1.66;34997040;0
28.07.2005;00:00;1.64;1.65;1.58;1.58;1.62;45865312;0
29.07.2005;00:00;1.58;1.62;1.58;1.61;1.60;47736060;0
30.07.2005;00:00;1.64;1.65;1.58;1.58;1.62;40161540;0
31.07.2005;00:00;1.59;1.65;1.58;1.64;1.62;67085160;0
03.08.2005;00:00;1.62;1.65;1.60;1.62;1.63;32105110;0
04.08.2005;00:00;1.64;1.70;1.64;1.65;1.67;66372600;0
05.08.2005;00:00;1.65;1.70;1.64;1.69;1.67;90837848;0
06.08.2005;00:00;1.67;1.68;1.65;1.67;1.66;39750832;0
07.08.2005;00:00;1.69;1.71;1.65;1.65;1.68;43233928;0
10.08.2005;00:00;1.66;1.70;1.65;1.66;1.67;42459672;0
11.08.2005;00:00;1.66;1.68;1.62;1.67;1.65;30863060;0
12.08.2005;00:00;1.70;1.71;1.68;1.71;1.70;94742040;0
13.08.2005;00:00;1.71;1.75;1.67;1.69;1.71;58653288;0
14.08.2005;00:00;1.68;1.70;1.65;1.67;1.67;38760940;0
17.08.2005;00:00;1.67;1.68;1.65;1.65;1.66;33260320;0
18.08.2005;00:00;1.65;1.68;1.65;1.66;1.66;25575050;0
19.08.2005;00:00;1.66;1.68;1.65;1.66;1.66;29886780;0
20.08.2005;00:00;1.65;1.65;1.58;1.61;1.62;71784544;0
21.08.2005;00:00;1.62;1.65;1.59;1.61;1.62;40273272;0
24.08.2005;00:00;1.61;1.64;1.59;1.62;1.62;16084680;0
25.08.2005;00:00;1.64;1.65;1.60;1.61;1.63;18465010;0
27.08.2005;00:00;1.62;1.65;1.59;1.62;1.62;44851248;0
29.08.2005;00:00;1.61;1.65;1.60;1.65;1.63;29909870;0
01.09.2005;00:00;1.65;1.71;1.65;1.71;1.68;70491904;0
02.09.2005;00:00;1.71;1.71;1.68;1.71;1.70;75255520;0
03.09.2005;00:00;1.71;1.71;1.69;1.70;1.70;36260780;0
04.09.2005;00:00;1.68;1.69;1.65;1.66;1.67;43428728;0
05.09.2005;00:00;1.66;1.69;1.65;1.65;1.67;21743050;0
08.09.2005;00:00;1.66;1.66;1.64;1.65;1.65;27034780;0
09.09.2005;00:00;1.65;1.71;1.65;1.70;1.68;51690620;0
10.09.2005;00:00;1.71;1.77;1.71;1.72;1.74;84079584;0
11.09.2005;00:00;1.75;1.77;1.71;1.71;1.74;85440608;0
12.09.2005;00:00;1.71;1.74;1.71;1.74;1.72;52292888;0
15.09.2005;00:00;1.75;1.76;1.71;1.71;1.73;43758768;0
16.09.2005;00:00;1.71;1.74;1.70;1.71;1.72;54750472;0
17.09.2005;00:00;1.71;1.74;1.71;1.72;1.72;19278380;0
18.09.2005;00:00;1.74;1.76;1.71;1.72;1.74;32907550;0
19.09.2005;00:00;1.70;1.71;1.65;1.66;1.68;73973648;0
22.09.2005;00:00;1.68;1.69;1.65;1.65;1.67;32891510;0
23.09.2005;00:00;1.66;1.70;1.65;1.70;1.67;40834248;0
24.09.2005;00:00;1.71;1.74;1.71;1.71;1.72;46804408;0
