Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;19.06;19.06;19.06;19.06;19.06;30039;0
27.02.2024;10:05;19.07;19.59;19.07;19.55;19.33;3967197;0
27.02.2024;11:05;19.55;19.57;19.43;19.56;19.50;3659168;0
27.02.2024;12:05;19.58;19.75;19.53;19.69;19.64;5245959;0
27.02.2024;13:05;19.69;19.76;19.67;19.69;19.72;2144257;0
27.02.2024;14:05;19.70;19.77;19.68;19.69;19.73;3725147;0
27.02.2024;15:05;19.69;19.74;19.54;19.71;19.64;2028615;0
27.02.2024;16:05;19.73;19.82;19.61;19.79;19.72;2856590;0
27.02.2024;17:05;19.75;19.90;19.73;19.79;19.81;4323528;0
27.02.2024;18:05;19.81;19.81;19.81;19.81;19.81;134629;0
01.03.2024;09:05;19.90;19.90;19.90;19.90;19.90;67640;0
01.03.2024;10:05;19.92;20.42;19.90;20.40;20.16;5560160;0
01.03.2024;11:05;20.40;20.40;19.95;20.16;20.18;9669836;0
01.03.2024;12:05;20.16;20.22;20.04;20.14;20.13;2505687;0
01.03.2024;13:05;20.14;20.28;20.00;20.20;20.14;6016233;0
01.03.2024;14:05;20.20;20.30;19.99;20.16;20.14;5413503;0
01.03.2024;15:05;20.16;20.34;20.10;20.22;20.22;4870120;0
01.03.2024;16:05;20.18;20.38;20.16;20.26;20.27;6005203;0
01.03.2024;17:05;20.26;20.36;20.14;20.36;20.25;3967878;0
01.03.2024;18:05;20.40;20.40;20.40;20.40;20.40;706309;0
02.03.2024;09:05;20.88;20.88;20.88;20.88;20.88;243774;0
02.03.2024;10:05;20.88;20.88;20.14;20.26;20.51;6308722;0
02.03.2024;11:05;20.26;20.60;20.24;20.56;20.42;5410380;0
02.03.2024;12:05;20.58;20.74;20.52;20.54;20.63;3080149;0
08.03.2024;09:05;20.50;20.50;20.50;20.50;20.50;329046;0
08.03.2024;10:05;20.48;20.54;20.24;20.44;20.39;6788781;0
08.03.2024;11:05;20.46;20.70;20.40;20.44;20.55;5464219;0
08.03.2024;12:05;20.44;20.48;20.26;20.38;20.37;3007111;0
08.03.2024;13:05;20.36;20.40;20.26;20.28;20.33;1344662;0
08.03.2024;14:05;20.28;20.34;20.20;20.30;20.27;1622743;0
08.03.2024;15:05;20.30;20.34;20.20;20.30;20.27;1181362;0
08.03.2024;16:05;20.26;20.56;20.20;20.56;20.38;2486994;0
08.03.2024;17:05;20.54;20.68;20.30;20.36;20.49;3356340;0
08.03.2024;18:05;20.36;20.36;20.36;20.36;20.36;266390;0
09.03.2024;09:05;20.36;20.36;20.36;20.36;20.36;117274;0
09.03.2024;10:05;20.34;20.36;19.90;19.90;20.13;6153000;0
09.03.2024;11:05;19.90;20.06;19.90;19.98;19.98;1247281;0
09.03.2024;12:05;19.98;20.04;19.82;19.97;19.93;2570868;0
09.03.2024;13:05;19.97;20.02;19.89;19.99;19.95;1071495;0
09.03.2024;14:05;19.94;20.10;19.91;20.04;20.01;1725989;0
09.03.2024;15:05;20.04;20.06;19.90;19.91;19.98;906334;0
09.03.2024;16:05;19.91;19.95;19.80;19.80;19.88;2240849;0
09.03.2024;17:05;19.86;19.99;19.77;19.94;19.88;2324026;0
09.03.2024;18:05;19.93;19.93;19.93;19.93;19.93;29775;0
10.03.2024;09:05;19.97;19.97;19.97;19.97;19.97;229435;0
10.03.2024;10:05;19.98;20.20;19.97;20.14;20.09;4362303;0
10.03.2024;11:05;20.14;20.24;20.06;20.08;20.15;3727586;0
10.03.2024;12:05;20.10;20.18;20.04;20.06;20.11;3800002;0
10.03.2024;13:05;20.06;20.08;19.84;19.93;19.96;2516116;0
10.03.2024;14:05;19.92;19.96;19.80;19.80;19.88;2117857;0
10.03.2024;15:05;19.79;19.88;19.69;19.72;19.78;2821606;0
10.03.2024;16:05;19.78;19.78;19.48;19.66;19.63;2384269;0
10.03.2024;17:05;19.66;19.96;19.54;19.75;19.75;3977895;0
10.03.2024;18:05;19.73;19.73;19.73;19.73;19.73;258897;0
11.03.2024;09:05;19.73;19.73;19.73;19.73;19.73;49266;0
11.03.2024;10:05;19.73;19.90;19.68;19.76;19.79;4089281;0
11.03.2024;11:05;19.76;19.86;19.70;19.82;19.78;1768604;0
11.03.2024;12:05;19.83;19.86;19.74;19.86;19.80;1803859;0
11.03.2024;13:05;19.86;19.90;19.78;19.88;19.84;1712691;0
11.03.2024;14:05;19.89;19.94;19.66;19.77;19.80;2920786;0
11.03.2024;15:05;19.76;19.81;19.70;19.70;19.76;2595332;0
11.03.2024;16:05;19.75;19.76;19.61;19.66;19.69;1083035;0
11.03.2024;17:05;19.67;19.84;19.63;19.76;19.73;2649911;0
11.03.2024;18:05;19.78;19.78;19.78;19.78;19.78;86122;0
12.03.2024;09:05;19.77;19.77;19.77;19.77;19.77;40232;0
12.03.2024;10:05;19.76;19.97;19.60;19.78;19.78;4682045;0
12.03.2024;11:05;19.72;19.76;19.64;19.75;19.70;2422377;0
12.03.2024;12:05;19.75;19.80;19.71;19.79;19.75;1391356;0
12.03.2024;13:05;19.79;20.06;19.79;19.96;19.93;4295749;0
12.03.2024;14:05;19.96;19.98;19.79;19.90;19.89;5468323;0
12.03.2024;15:05;19.90;20.12;19.87;20.12;20.00;5409768;0
12.03.2024;16:05;20.10;20.18;20.08;20.12;20.13;4234272;0
12.03.2024;17:05;20.10;20.28;20.06;20.18;20.17;5748596;0
12.03.2024;18:05;20.30;20.30;20.30;20.30;20.30;877528;0
15.03.2024;09:05;20.50;20.50;20.50;20.50;20.50;209838;0
15.03.2024;10:05;20.48;21.12;20.44;20.82;20.78;15462480;0
15.03.2024;11:05;20.82;21.10;20.72;21.00;20.91;5618261;0
15.03.2024;12:05;21.02;21.36;20.98;21.30;21.17;5148704;0
15.03.2024;13:05;21.30;21.34;21.12;21.20;21.23;3041435;0
15.03.2024;14:05;21.20;21.30;21.10;21.22;21.20;2251399;0
15.03.2024;15:05;21.28;21.28;21.10;21.10;21.19;1441447;0
15.03.2024;16:05;21.10;21.16;21.00;21.08;21.08;1452094;0
15.03.2024;17:05;21.06;21.08;20.88;20.96;20.98;4324653;0
15.03.2024;18:05;21.04;21.04;21.04;21.04;21.04;269712;0
17.03.2024;09:05;21.46;21.46;21.46;21.46;21.46;244902;0
17.03.2024;10:05;21.46;21.60;21.12;21.54;21.36;9664913;0
17.03.2024;11:05;21.50;21.70;21.50;21.60;21.60;4923307;0
17.03.2024;12:05;21.60;21.84;21.60;21.72;21.72;3475688;0
17.03.2024;13:05;21.76;21.78;21.38;21.64;21.58;3850890;0
17.03.2024;14:05;21.64;21.80;21.52;21.58;21.66;3735768;0
17.03.2024;15:05;21.58;21.82;21.58;21.66;21.70;2749867;0
17.03.2024;16:05;21.66;21.74;21.52;21.66;21.63;1605311;0
17.03.2024;17:05;21.66;21.72;21.60;21.68;21.66;2090069;0
17.03.2024;18:05;21.48;21.48;21.48;21.48;21.48;439030;0
18.03.2024;09:05;21.48;21.48;21.48;21.48;21.48;201676;0
18.03.2024;10:05;21.48;21.88;21.48;21.52;21.68;5338589;0
18.03.2024;11:05;21.52;21.84;21.50;21.78;21.67;2472961;0
18.03.2024;12:05;21.76;21.76;21.50;21.56;21.63;1560884;0
18.03.2024;13:05;21.56;21.62;21.42;21.46;21.52;1421162;0
18.03.2024;14:05;21.46;21.52;21.38;21.50;21.45;3046626;0
18.03.2024;15:05;21.52;21.62;21.24;21.28;21.43;3932526;0
18.03.2024;16:05;21.30;21.32;21.12;21.14;21.22;2394351;0
18.03.2024;17:05;21.20;21.32;21.16;21.22;21.24;2868114;0
18.03.2024;18:05;21.24;21.24;21.24;21.24;21.24;124997;0
19.03.2024;09:05;21.32;21.32;21.32;21.32;21.32;39847;0
19.03.2024;10:05;21.32;21.56;21.32;21.38;21.44;4287522;0
19.03.2024;11:05;21.38;21.44;21.32;21.44;21.38;1068675;0
19.03.2024;12:05;21.42;21.46;21.34;21.34;21.40;1712715;0
19.03.2024;13:05;21.36;21.36;21.28;21.36;21.32;605411;0
19.03.2024;14:05;21.34;21.36;21.28;21.30;21.32;870496;0
19.03.2024;15:05;21.30;21.32;21.22;21.26;21.27;1243810;0
19.03.2024;16:05;21.26;21.32;21.22;21.32;21.27;1280787;0
19.03.2024;17:05;21.26;21.32;21.20;21.28;21.26;1891794;0
19.03.2024;18:05;21.24;21.24;21.24;21.24;21.24;303392;0
22.03.2024;09:05;21.60;21.60;21.60;21.60;21.60;578988;0
22.03.2024;10:05;21.60;21.62;21.22;21.24;21.42;5656323;0
22.03.2024;11:05;21.24;21.30;21.16;21.18;21.23;4189132;0
22.03.2024;12:05;21.18;21.24;21.02;21.06;21.13;4128478;0
22.03.2024;13:05;21.06;21.12;20.96;21.06;21.04;3213595;0
22.03.2024;14:05;21.06;21.08;20.90;20.90;20.99;2822377;0
22.03.2024;15:05;20.92;20.94;20.80;20.86;20.87;2586137;0
22.03.2024;16:05;20.86;21.12;20.80;21.08;20.96;6956696;0
22.03.2024;17:05;21.02;21.10;20.98;21.06;21.04;2531649;0
22.03.2024;18:05;21.08;21.08;21.08;21.08;21.08;839132;0
23.03.2024;09:05;21.04;21.04;21.04;21.04;21.04;242949;0
23.03.2024;10:05;21.06;21.30;21.00;21.12;21.15;4656288;0
23.03.2024;11:05;21.12;21.28;21.06;21.16;21.17;2222397;0
23.03.2024;12:05;21.14;21.40;21.14;21.22;21.27;2415130;0
23.03.2024;13:05;21.22;21.54;21.22;21.50;21.38;4780266;0
23.03.2024;14:05;21.50;21.84;21.38;21.70;21.61;9294164;0
23.03.2024;15:05;21.74;21.82;21.46;21.46;21.64;5635935;0
23.03.2024;16:05;21.46;21.62;21.40;21.56;21.51;2385700;0
23.03.2024;17:05;21.56;21.60;21.40;21.48;21.50;1529086;0
23.03.2024;18:05;21.50;21.50;21.50;21.50;21.50;279178;0
27.03.2024;09:05;21.70;21.70;21.70;21.70;21.70;464575;0
27.03.2024;10:05;21.72;22.00;21.70;21.88;21.85;6290975;0
27.03.2024;11:05;21.88;21.92;21.50;21.86;21.71;5714040;0
27.03.2024;12:05;21.84;22.24;21.80;22.00;22.02;9989591;0
27.03.2024;13:05;22.00;22.00;21.70;21.74;21.85;4319915;0
27.03.2024;14:05;21.76;21.96;21.76;21.90;21.86;1869156;0
27.03.2024;15:05;21.90;21.96;21.78;21.80;21.87;1287758;0
27.03.2024;16:05;21.82;21.96;21.76;21.94;21.86;1952619;0
27.03.2024;17:05;21.94;22.00;21.84;21.94;21.92;3850963;0
27.03.2024;18:05;21.88;21.88;21.88;21.88;21.88;156026;0
28.03.2024;09:05;22.20;22.20;22.20;22.20;22.20;652991;0
28.03.2024;10:05;22.22;22.22;21.80;22.06;22.01;5881472;0
28.03.2024;11:05;22.02;22.12;21.96;22.08;22.04;2212523;0
28.03.2024;12:05;22.08;22.10;21.96;22.00;22.03;2305939;0
28.03.2024;13:05;22.00;22.08;21.94;21.94;22.01;1501599;0
28.03.2024;14:05;21.94;22.14;21.94;21.98;22.04;2580498;0
28.03.2024;15:05;22.00;22.00;21.84;21.94;21.92;1851421;0
28.03.2024;16:05;21.94;21.98;21.80;21.92;21.89;2582961;0
28.03.2024;17:05;21.96;22.04;21.82;21.98;21.93;3771514;0
28.03.2024;18:05;21.90;21.90;21.90;21.90;21.90;453242;0
31.03.2024;09:05;21.96;21.96;21.96;21.96;21.96;688754;0
31.03.2024;10:05;21.98;22.18;21.82;22.02;22.00;6705524;0
31.03.2024;11:05;22.02;22.42;21.96;22.36;22.19;7384643;0
31.03.2024;12:05;22.40;22.64;22.36;22.52;22.50;9063759;0
31.03.2024;13:05;22.52;22.68;22.52;22.60;22.60;4203160;0
31.03.2024;14:05;22.62;22.62;22.44;22.46;22.53;2841568;0
31.03.2024;15:05;22.46;22.54;22.42;22.42;22.48;2724091;0
31.03.2024;16:05;22.42;22.46;22.32;22.34;22.39;2061929;0
31.03.2024;17:05;22.34;22.42;22.16;22.32;22.29;5374447;0
31.03.2024;18:05;22.30;22.30;22.30;22.30;22.30;885288;0
01.04.2024;09:05;22.50;22.50;22.50;22.50;22.50;118103;0
01.04.2024;10:05;22.50;22.50;21.80;21.92;22.15;6363307;0
01.04.2024;11:05;21.92;21.96;21.54;21.56;21.75;7449869;0
01.04.2024;12:05;21.54;21.54;21.26;21.32;21.40;4395220;0
01.04.2024;13:05;21.28;21.40;21.20;21.22;21.30;4142369;0
01.04.2024;14:05;21.22;21.36;21.18;21.32;21.27;2703861;0
01.04.2024;15:05;21.32;21.32;21.16;21.20;21.24;3267106;0
01.04.2024;16:05;21.20;21.54;21.18;21.50;21.36;4779889;0
01.04.2024;17:05;21.52;21.58;21.44;21.52;21.51;6500058;0
01.04.2024;18:05;21.50;21.50;21.50;21.50;21.50;404587;0
02.04.2024;09:05;21.62;21.62;21.62;21.62;21.62;118261;0
02.04.2024;10:05;21.64;21.80;21.54;21.66;21.67;6435599;0
02.04.2024;11:05;21.66;21.88;21.62;21.70;21.75;5619047;0
02.04.2024;12:05;21.70;21.78;21.64;21.66;21.71;1860707;0
02.04.2024;13:05;21.66;21.78;21.58;21.62;21.68;1078392;0
02.04.2024;14:05;21.60;21.94;21.58;21.74;21.76;2560272;0
02.04.2024;15:05;21.74;21.78;21.60;21.72;21.69;2789149;0
02.04.2024;16:05;21.72;21.86;21.68;21.80;21.77;1895160;0
02.04.2024;17:05;21.80;21.96;21.72;21.88;21.84;5542691;0
02.04.2024;18:05;21.76;21.76;21.76;21.76;21.76;137349;0
03.04.2024;09:05;21.88;21.88;21.88;21.88;21.88;163969;0
03.04.2024;10:05;21.90;22.08;21.82;21.98;21.95;4960779;0
03.04.2024;11:05;21.96;22.06;21.72;21.84;21.89;2342615;0
03.04.2024;12:05;21.84;21.86;21.70;21.76;21.78;3670139;0
03.04.2024;13:05;21.76;21.76;21.66;21.68;21.71;3014860;0
03.04.2024;14:05;21.68;22.50;21.68;22.38;22.09;11508250;0
03.04.2024;15:05;22.38;23.40;22.28;22.80;22.84;32318600;0
03.04.2024;16:05;22.80;22.98;22.58;22.84;22.78;13237940;0
03.04.2024;17:05;22.84;23.20;22.64;23.00;22.92;17799840;0
03.04.2024;18:05;23.14;23.14;23.14;23.14;23.14;1050880;0
04.04.2024;09:05;23.12;23.12;23.12;23.12;23.12;694155;0
04.04.2024;10:05;23.10;23.10;22.44;22.56;22.77;12937630;0
04.04.2024;11:05;22.56;23.22;22.54;23.18;22.88;9312489;0
04.04.2024;12:05;23.18;23.40;23.00;23.22;23.20;10755050;0
