Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
25.03.2009;00:00;0.51;0.51;0.39;0.48;0.45;2128628;0
26.03.2009;00:00;0.49;0.52;0.45;0.47;0.48;2065099;0
27.03.2009;00:00;0.47;0.47;0.43;0.44;0.45;780059;0
28.03.2009;00:00;0.44;0.51;0.43;0.49;0.47;3740395;0
29.03.2009;00:00;0.49;0.55;0.48;0.53;0.52;3148434;0
02.04.2009;00:00;0.53;0.55;0.51;0.52;0.53;1525914;0
03.04.2009;00:00;0.53;0.56;0.52;0.54;0.54;2105330;0
04.04.2009;00:00;0.55;0.60;0.54;0.54;0.57;5502459;0
05.04.2009;00:00;0.55;0.55;0.50;0.51;0.53;2371035;0
06.04.2009;00:00;0.51;0.51;0.46;0.48;0.48;965138;0
09.04.2009;00:00;0.50;0.50;0.46;0.47;0.48;1166386;0
10.04.2009;00:00;0.48;0.49;0.47;0.48;0.48;750245;0
11.04.2009;00:00;0.49;0.50;0.47;0.47;0.48;994241;0
12.04.2009;00:00;0.48;0.49;0.48;0.48;0.48;1276657;0
13.04.2009;00:00;0.49;0.49;0.47;0.48;0.48;633639;0
16.04.2009;00:00;0.47;0.48;0.47;0.48;0.47;219484;0
17.04.2009;00:00;0.48;0.50;0.47;0.50;0.48;1407048;0
18.04.2009;00:00;0.50;0.53;0.49;0.49;0.51;1938255;0
19.04.2009;00:00;0.49;0.49;0.48;0.48;0.48;710052;0
20.04.2009;00:00;0.48;0.48;0.46;0.48;0.47;370250;0
23.04.2009;00:00;0.49;0.50;0.48;0.48;0.49;2083234;0
24.04.2009;00:00;0.49;0.49;0.47;0.47;0.48;452150;0
25.04.2009;00:00;0.47;0.47;0.41;0.43;0.44;550746;0
26.04.2009;00:00;0.43;0.47;0.40;0.45;0.44;797847;0
27.04.2009;00:00;0.46;0.47;0.44;0.46;0.45;248422;0
04.05.2009;00:00;0.47;0.50;0.46;0.49;0.48;1084600;0
05.05.2009;00:00;0.49;0.50;0.49;0.49;0.50;281919;0
06.05.2009;00:00;0.49;0.51;0.49;0.50;0.50;869243;0
07.05.2009;00:00;0.49;0.50;0.49;0.49;0.50;228867;0
08.05.2009;00:00;0.49;0.50;0.49;0.49;0.50;225868;0
11.05.2009;00:00;0.50;0.54;0.49;0.52;0.52;2323061;0
12.05.2009;00:00;0.52;0.53;0.49;0.50;0.51;639783;0
13.05.2009;00:00;0.49;0.50;0.49;0.49;0.50;304878;0
14.05.2009;00:00;0.49;0.50;0.49;0.50;0.50;362388;0
15.05.2009;00:00;0.50;0.52;0.50;0.50;0.51;973794;0
18.05.2009;00:00;0.51;0.54;0.51;0.52;0.53;1489067;0
19.05.2009;00:00;0.53;0.54;0.51;0.52;0.53;637836;0
20.05.2009;00:00;0.52;0.54;0.52;0.52;0.53;505243;0
21.05.2009;00:00;0.53;0.54;0.50;0.51;0.52;865478;0
22.05.2009;00:00;0.52;0.52;0.49;0.50;0.50;548875;0
25.05.2009;00:00;0.50;0.52;0.50;0.50;0.51;460031;0
26.05.2009;00:00;0.51;0.51;0.50;0.51;0.50;376682;0
27.05.2009;00:00;0.51;0.52;0.50;0.51;0.51;333698;0
28.05.2009;00:00;0.51;0.51;0.50;0.51;0.50;124914;0
29.05.2009;00:00;0.51;0.51;0.50;0.51;0.50;87185;0
01.06.2009;00:00;0.51;0.52;0.50;0.51;0.51;299394;0
02.06.2009;00:00;0.51;0.52;0.51;0.52;0.51;282727;0
03.06.2009;00:00;0.52;0.52;0.50;0.50;0.51;165518;0
05.06.2009;00:00;0.51;0.52;0.50;0.51;0.51;679298;0
06.06.2009;00:00;0.52;0.53;0.51;0.51;0.52;470384;0
09.06.2009;00:00;0.51;0.52;0.51;0.52;0.51;217968;0
10.06.2009;00:00;0.52;0.52;0.51;0.51;0.51;153088;0
11.06.2009;00:00;0.52;0.54;0.51;0.52;0.53;1286503;0
12.06.2009;00:00;0.52;0.54;0.52;0.54;0.53;1876973;0
13.06.2009;00:00;0.55;0.57;0.54;0.55;0.56;2379679;0
16.06.2009;00:00;0.56;0.57;0.54;0.54;0.56;793558;0
17.06.2009;00:00;0.54;0.56;0.53;0.55;0.54;950402;0
18.06.2009;00:00;0.55;0.60;0.55;0.59;0.58;2979723;0
19.06.2009;00:00;0.59;0.59;0.58;0.59;0.58;1121167;0
20.06.2009;00:00;0.58;0.59;0.57;0.58;0.58;916342;0
23.06.2009;00:00;0.57;0.59;0.56;0.59;0.57;556452;0
24.06.2009;00:00;0.59;0.64;0.59;0.64;0.61;2936906;0
25.06.2009;00:00;0.64;0.67;0.60;0.62;0.64;1829304;0
26.06.2009;00:00;0.63;0.66;0.61;0.65;0.64;1488212;0
30.06.2009;00:00;0.65;0.67;0.62;0.65;0.65;2266960;0
01.07.2009;00:00;0.66;0.70;0.66;0.68;0.68;5179306;0
02.07.2009;00:00;0.65;0.67;0.63;0.67;0.65;1678770;0
03.07.2009;00:00;0.68;0.69;0.66;0.67;0.68;1058438;0
04.07.2009;00:00;0.68;0.68;0.66;0.67;0.67;443275;0
09.07.2009;00:00;0.67;0.67;0.65;0.66;0.66;311097;0
10.07.2009;00:00;0.66;0.69;0.63;0.64;0.66;1260263;0
11.07.2009;00:00;0.64;0.65;0.61;0.63;0.63;442165;0
12.07.2009;00:00;0.63;0.64;0.62;0.63;0.63;544773;0
13.07.2009;00:00;0.56;0.61;0.56;0.59;0.59;513121;0
16.07.2009;00:00;0.61;0.64;0.61;0.63;0.62;406259;0
17.07.2009;00:00;0.63;0.65;0.62;0.63;0.63;362838;0
18.07.2009;00:00;0.63;0.66;0.63;0.65;0.65;1381712;0
19.07.2009;00:00;0.66;0.66;0.63;0.64;0.65;523187;0
20.07.2009;00:00;0.58;0.63;0.58;0.61;0.60;819187;0
23.07.2009;00:00;0.59;0.61;0.59;0.60;0.60;398683;0
24.07.2009;00:00;0.61;0.61;0.60;0.61;0.61;129227;0
26.07.2009;00:00;0.59;0.60;0.56;0.58;0.58;161969;0
27.07.2009;00:00;0.58;0.58;0.54;0.56;0.56;212807;0
30.07.2009;00:00;0.57;0.57;0.55;0.57;0.56;154320;0
31.07.2009;00:00;0.55;0.55;0.54;0.54;0.55;76054;0
01.08.2009;00:00;0.55;0.59;0.55;0.59;0.57;336544;0
02.08.2009;00:00;0.59;0.61;0.58;0.58;0.59;395681;0
03.08.2009;00:00;0.59;0.61;0.59;0.59;0.60;413995;0
06.08.2009;00:00;0.59;0.59;0.56;0.57;0.57;173766;0
08.08.2009;00:00;0.57;0.58;0.55;0.58;0.56;325890;0
09.08.2009;00:00;0.57;0.59;0.57;0.59;0.58;312457;0
10.08.2009;00:00;0.59;0.62;0.59;0.59;0.60;389208;0
11.08.2009;00:00;0.60;0.60;0.57;0.57;0.59;159445;0
14.08.2009;00:00;0.56;0.58;0.55;0.56;0.56;438619;0
15.08.2009;00:00;0.57;0.59;0.55;0.57;0.57;601080;0
16.08.2009;00:00;0.57;0.57;0.56;0.57;0.56;223578;0
17.08.2009;00:00;0.56;0.57;0.56;0.57;0.56;286309;0
18.08.2009;00:00;0.57;0.58;0.56;0.57;0.57;194583;0
21.08.2009;00:00;0.57;0.60;0.57;0.59;0.59;1306198;0
22.08.2009;00:00;0.60;0.60;0.59;0.59;0.59;430976;0
23.08.2009;00:00;0.59;0.62;0.58;0.59;0.60;1303281;0
24.08.2009;00:00;0.59;0.61;0.59;0.59;0.60;231867;0
25.08.2009;00:00;0.60;0.61;0.59;0.60;0.60;514839;0
28.08.2009;00:00;0.61;0.61;0.59;0.59;0.60;136906;0
29.08.2009;00:00;0.58;0.59;0.58;0.59;0.58;133465;0
30.08.2009;00:00;0.57;0.59;0.57;0.57;0.58;121449;0
