Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;10.24;10.24;10.17;10.20;10.20;1156711;0
24.08.2025;11:30;10.20;10.24;10.20;10.20;10.22;777482;0
24.08.2025;11:45;10.20;10.23;10.19;10.19;10.21;771004;0
24.08.2025;12:00;10.20;10.23;10.15;10.16;10.19;654456;0
24.08.2025;12:15;10.17;10.19;10.15;10.18;10.17;542726;0
24.08.2025;12:30;10.18;10.21;10.15;10.18;10.18;293438;0
24.08.2025;12:45;10.17;10.17;10.16;10.16;10.16;140016;0
24.08.2025;13:00;10.15;10.18;10.14;10.18;10.16;249245;0
24.08.2025;13:15;10.18;10.21;10.16;10.18;10.18;184220;0
24.08.2025;13:30;10.19;10.19;10.13;10.14;10.16;333240;0
24.08.2025;13:45;10.14;10.20;10.14;10.20;10.17;478040;0
24.08.2025;14:00;10.20;10.20;10.12;10.14;10.16;572258;0
24.08.2025;14:15;10.14;10.15;10.13;10.14;10.14;128646;0
24.08.2025;14:30;10.14;10.20;10.14;10.14;10.17;643025;0
24.08.2025;14:45;10.16;10.16;10.05;10.09;10.11;2409718;0
24.08.2025;15:00;10.09;10.13;10.07;10.13;10.10;1223057;0
24.08.2025;15:15;10.12;10.18;10.11;10.17;10.14;1386946;0
24.08.2025;15:30;10.16;10.34;10.15;10.32;10.24;2593457;0
24.08.2025;15:45;10.32;10.33;10.25;10.25;10.29;451584;0
24.08.2025;16:00;10.24;10.28;10.20;10.20;10.24;1299211;0
24.08.2025;16:15;10.20;10.21;10.12;10.15;10.16;612743;0
24.08.2025;16:30;10.15;10.15;10.10;10.12;10.12;836933;0
24.08.2025;16:45;10.12;10.29;10.10;10.27;10.20;2916632;0
24.08.2025;17:00;10.27;10.31;10.23;10.26;10.27;1100817;0
24.08.2025;17:15;10.25;10.27;10.18;10.20;10.23;1158819;0
24.08.2025;17:30;10.20;10.22;10.13;10.15;10.18;1062460;0
24.08.2025;17:45;10.16;10.17;10.09;10.13;10.13;1743217;0
24.08.2025;18:00;10.12;10.20;10.09;10.20;10.14;1552899;0
27.08.2025;10:00;10.00;10.00;9.84;9.99;9.92;2767691;0
27.08.2025;10:15;10.00;10.07;10.00;10.05;10.03;1466103;0
27.08.2025;10:30;10.05;10.08;10.01;10.02;10.05;1167842;0
27.08.2025;10:45;10.02;10.03;9.95;9.95;9.99;411148;0
27.08.2025;11:00;9.95;10.04;9.92;10.02;9.98;636128;0
27.08.2025;11:15;10.02;10.05;9.97;9.97;10.01;431206;0
27.08.2025;11:30;9.98;10.02;9.97;9.97;10.00;284052;0
27.08.2025;11:45;9.98;10.00;9.93;9.94;9.97;339414;0
27.08.2025;12:00;9.95;9.95;9.91;9.94;9.93;736031;0
27.08.2025;12:15;9.92;9.97;9.90;9.95;9.93;424724;0
27.08.2025;12:30;9.95;9.96;9.92;9.96;9.94;485065;0
27.08.2025;12:45;9.96;9.99;9.96;9.99;9.97;143614;0
27.08.2025;13:00;9.99;10.01;9.96;9.96;9.99;712040;0
27.08.2025;13:15;9.97;9.98;9.91;9.91;9.94;524505;0
27.08.2025;13:30;9.91;10.00;9.91;10.00;9.95;315147;0
27.08.2025;13:45;9.99;10.00;9.95;9.99;9.97;929393;0
27.08.2025;14:00;9.99;10.02;9.99;10.00;10.01;738715;0
27.08.2025;14:15;10.01;10.03;9.93;9.96;9.98;620714;0
27.08.2025;14:30;9.97;10.03;9.94;9.94;9.98;415655;0
27.08.2025;14:45;9.94;9.95;9.81;9.90;9.88;1306898;0
27.08.2025;15:00;9.87;9.94;9.87;9.94;9.90;471375;0
27.08.2025;15:15;9.93;10.08;9.93;10.08;10.01;1723411;0
27.08.2025;15:30;10.08;10.21;10.00;10.15;10.11;3207165;0
27.08.2025;15:45;10.14;10.14;10.05;10.13;10.10;452490;0
27.08.2025;16:00;10.12;10.26;10.10;10.26;10.18;2900585;0
27.08.2025;16:15;10.26;10.38;10.22;10.32;10.30;5274305;0
27.08.2025;16:30;10.33;10.52;10.27;10.49;10.40;3669004;0
27.08.2025;16:45;10.49;10.69;10.38;10.61;10.53;6915386;0
27.08.2025;17:00;10.60;10.80;10.57;10.60;10.68;12076784;0
27.08.2025;17:15;10.60;10.79;10.59;10.68;10.69;9229575;0
27.08.2025;17:30;10.68;10.73;10.65;10.66;10.69;5984103;0
27.08.2025;17:45;10.66;10.68;10.57;10.57;10.62;4466461;0
27.08.2025;18:00;10.58;10.63;10.57;10.59;10.60;1927231;0
28.08.2025;10:00;10.59;10.89;10.59;10.77;10.74;6992177;0
28.08.2025;10:15;10.77;10.78;10.66;10.75;10.72;4827576;0
28.08.2025;10:30;10.75;10.76;10.69;10.70;10.72;1688493;0
28.08.2025;10:45;10.70;10.72;10.51;10.55;10.62;5406668;0
28.08.2025;11:00;10.55;10.64;10.53;10.62;10.59;2209395;0
28.08.2025;11:15;10.62;10.62;10.57;10.60;10.59;1020124;0
28.08.2025;11:30;10.60;10.61;10.57;10.60;10.59;411759;0
28.08.2025;11:45;10.61;10.68;10.59;10.65;10.64;912911;0
28.08.2025;12:00;10.65;10.67;10.64;10.66;10.66;232755;0
