Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;14.05;14.05;14.05;14.05;14.05;22016;0
27.02.2024;09:05;14.20;14.20;14.20;14.20;14.20;28400;0
27.02.2024;10:05;14.20;14.37;13.99;14.13;14.18;5367276;0
27.02.2024;11:05;14.13;14.29;14.08;14.25;14.18;2089997;0
27.02.2024;12:05;14.29;14.32;14.13;14.16;14.22;6075693;0
27.02.2024;13:05;14.16;14.20;14.07;14.12;14.13;5489656;0
27.02.2024;14:05;14.12;14.24;14.09;14.19;14.16;12843430;0
27.02.2024;15:05;14.18;14.32;14.13;14.19;14.22;8555260;0
27.02.2024;16:05;14.19;14.58;14.19;14.53;14.38;7859653;0
27.02.2024;17:05;14.53;14.84;14.50;14.68;14.67;6337402;0
27.02.2024;18:05;14.70;14.70;14.70;14.70;14.70;745849;0
01.03.2024;09:05;14.65;14.65;14.65;14.65;14.65;747399;0
01.03.2024;10:05;14.70;14.94;14.54;14.71;14.74;18547260;0
01.03.2024;11:05;14.72;14.72;14.63;14.65;14.68;10528990;0
01.03.2024;12:05;14.65;14.69;14.58;14.63;14.63;4309737;0
01.03.2024;13:05;14.65;14.67;14.61;14.67;14.64;2491331;0
01.03.2024;14:05;14.67;14.68;14.55;14.57;14.62;4431767;0
01.03.2024;15:05;14.58;14.59;14.40;14.53;14.49;3733462;0
01.03.2024;16:05;14.58;14.60;14.50;14.57;14.55;1129231;0
01.03.2024;17:05;14.57;14.61;14.53;14.59;14.57;2429003;0
01.03.2024;18:05;14.60;14.60;14.60;14.60;14.60;56575;0
02.03.2024;09:05;14.61;14.61;14.61;14.61;14.61;74949;0
02.03.2024;10:05;14.62;14.63;14.33;14.40;14.48;6540026;0
02.03.2024;11:05;14.40;14.65;14.40;14.62;14.52;7475212;0
02.03.2024;12:05;14.62;14.62;14.55;14.60;14.59;1150699;0
08.03.2024;09:05;14.21;14.21;14.21;14.21;14.21;236142;0
08.03.2024;10:05;14.42;14.55;14.23;14.40;14.39;9340239;0
08.03.2024;11:05;14.39;14.47;14.30;14.30;14.39;4364615;0
08.03.2024;12:05;14.30;14.59;14.30;14.56;14.45;6439623;0
