Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;17:05;2.06;2.06;2.04;2.05;2.05;1335871;0
26.02.2024;18:05;2.04;2.04;2.04;2.04;2.04;221061;0
27.02.2024;09:05;2.04;2.04;2.04;2.04;2.04;103450;0
27.02.2024;10:05;2.05;2.10;2.04;2.09;2.07;4784449;0
27.02.2024;11:05;2.09;2.11;2.08;2.10;2.09;1890628;0
27.02.2024;12:05;2.10;2.10;2.08;2.09;2.09;1383532;0
27.02.2024;13:05;2.09;2.11;2.09;2.11;2.10;1251991;0
27.02.2024;14:05;2.11;2.13;2.10;2.13;2.12;2010115;0
27.02.2024;15:05;2.13;2.15;2.12;2.14;2.13;1860731;0
27.02.2024;16:05;2.14;2.15;2.13;2.15;2.14;1103248;0
27.02.2024;17:05;2.15;2.16;2.11;2.13;2.13;2444717;0
27.02.2024;18:05;2.14;2.14;2.14;2.14;2.14;259454;0
01.03.2024;09:05;2.15;2.15;2.15;2.15;2.15;87355;0
01.03.2024;10:05;2.15;2.22;2.15;2.20;2.19;3684306;0
01.03.2024;11:05;2.20;2.23;2.19;2.21;2.21;1864153;0
01.03.2024;12:05;2.21;2.24;2.19;2.23;2.22;1597460;0
01.03.2024;13:05;2.24;2.24;2.22;2.23;2.23;704720;0
01.03.2024;14:05;2.23;2.23;2.20;2.21;2.22;878670;0
01.03.2024;15:05;2.22;2.23;2.21;2.22;2.22;723465;0
01.03.2024;16:05;2.22;2.23;2.21;2.22;2.22;924887;0
01.03.2024;17:05;2.23;2.25;2.23;2.23;2.24;1236856;0
01.03.2024;18:05;2.24;2.24;2.24;2.24;2.24;19795;0
02.03.2024;09:05;2.23;2.23;2.23;2.23;2.23;194641;0
02.03.2024;10:05;2.24;2.28;2.22;2.26;2.25;4794509;0
02.03.2024;11:05;2.27;2.30;2.26;2.30;2.28;3125648;0
02.03.2024;12:05;2.30;2.33;2.29;2.33;2.31;3608034;0
08.03.2024;09:05;2.31;2.31;2.31;2.31;2.31;466516;0
08.03.2024;10:05;2.30;2.32;2.27;2.29;2.29;4489483;0
08.03.2024;11:05;2.29;2.33;2.28;2.30;2.30;1937328;0
08.03.2024;12:05;2.31;2.31;2.29;2.30;2.30;1426175;0
08.03.2024;13:05;2.30;2.30;2.26;2.27;2.28;2811239;0
08.03.2024;14:05;2.27;2.28;2.26;2.27;2.27;2197525;0
08.03.2024;15:05;2.27;2.28;2.26;2.27;2.27;1450523;0
08.03.2024;16:05;2.26;2.29;2.26;2.29;2.27;1809258;0
08.03.2024;17:05;2.28;2.29;2.26;2.27;2.27;2928635;0
08.03.2024;18:05;2.26;2.26;2.26;2.26;2.26;501413;0
09.03.2024;09:05;2.26;2.26;2.26;2.26;2.26;191250;0
09.03.2024;10:05;2.25;2.26;2.20;2.21;2.23;3559711;0
09.03.2024;11:05;2.21;2.23;2.20;2.22;2.22;1560047;0
09.03.2024;12:05;2.21;2.21;2.18;2.21;2.20;1881396;0
09.03.2024;13:05;2.21;2.22;2.20;2.22;2.21;230126;0
09.03.2024;14:05;2.22;2.23;2.20;2.23;2.22;1248274;0
09.03.2024;15:05;2.23;2.23;2.20;2.21;2.22;1084388;0
09.03.2024;16:05;2.21;2.22;2.20;2.21;2.21;787046;0
09.03.2024;17:05;2.20;2.22;2.20;2.21;2.21;993873;0
09.03.2024;18:05;2.22;2.22;2.22;2.22;2.22;408944;0
10.03.2024;09:05;2.22;2.22;2.22;2.22;2.22;68904;0
10.03.2024;10:05;2.22;2.29;2.22;2.26;2.25;3335331;0
10.03.2024;11:05;2.26;2.27;2.24;2.25;2.25;811958;0
10.03.2024;12:05;2.25;2.28;2.24;2.26;2.26;2425079;0
10.03.2024;13:05;2.25;2.27;2.25;2.26;2.26;1890616;0
10.03.2024;14:05;2.26;2.26;2.23;2.24;2.25;1296990;0
10.03.2024;15:05;2.23;2.24;2.21;2.23;2.23;1286741;0
10.03.2024;16:05;2.23;2.30;2.22;2.28;2.26;6249789;0
10.03.2024;17:05;2.27;2.31;2.26;2.28;2.28;7240881;0
10.03.2024;18:05;2.29;2.29;2.29;2.29;2.29;688637;0
11.03.2024;09:05;2.29;2.29;2.29;2.29;2.29;48264;0
11.03.2024;10:05;2.29;2.31;2.27;2.30;2.29;3882361;0
11.03.2024;11:05;2.30;2.30;2.26;2.27;2.28;1622893;0
11.03.2024;12:05;2.28;2.40;2.28;2.39;2.34;10586840;0
11.03.2024;13:05;2.40;2.41;2.35;2.36;2.38;10004910;0
11.03.2024;14:05;2.35;2.38;2.34;2.37;2.36;9088327;0
11.03.2024;15:05;2.38;2.40;2.33;2.34;2.37;11735370;0
11.03.2024;16:05;2.34;2.36;2.32;2.33;2.34;2542654;0
11.03.2024;17:05;2.33;2.35;2.32;2.35;2.33;3823512;0
11.03.2024;18:05;2.35;2.35;2.35;2.35;2.35;393350;0
12.03.2024;09:05;2.34;2.34;2.34;2.34;2.34;151300;0
12.03.2024;10:05;2.33;2.37;2.30;2.35;2.33;6341833;0
12.03.2024;11:05;2.35;2.36;2.31;2.33;2.33;3372488;0
