Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
16.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;142760;0
17.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;64366;0
20.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;161032;0
21.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;202742;0
22.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;164194;0
23.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;159448;0
24.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;102835;0
27.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;136402;0
28.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;121615;0
29.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;129414;0
30.09.2004;00:00;0.02;0.02;0.02;0.02;0.02;115433;0
01.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;75661;0
04.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;405771;0
05.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;211818;0
06.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;207557;0
07.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;53383;0
08.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;33075;0
11.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;44992;0
13.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;152945;0
14.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;56762;0
19.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;115868;0
20.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;265142;0
21.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;178243;0
22.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;227366;0
23.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;163429;0
26.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;153742;0
27.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;53250;0
28.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;141269;0
29.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;226349;0
30.10.2004;00:00;0.02;0.02;0.02;0.02;0.02;106692;0
02.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;163757;0
03.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;240704;0
04.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;211030;0
05.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;239465;0
06.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;124633;0
09.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;1669879;0
10.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;377994;0
11.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;351259;0
14.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;224021;0
15.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;198516;0
18.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;130452;0
19.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;149060;0
20.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;857609;0
21.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;184732;0
22.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;768080;0
25.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;187966;0
26.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;2186911;0
27.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;700617;0
28.11.2004;00:00;0.02;0.02;0.02;0.02;0.02;516044;0
