Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;19.98;20.00;19.88;19.92;19.94;5911059;0
24.08.2025;11:30;19.92;20.00;19.92;19.98;19.96;1965980;0
24.08.2025;11:45;19.96;20.06;19.96;20.00;20.01;1943481;0
24.08.2025;12:00;20.00;20.04;19.94;19.98;19.99;2790552;0
24.08.2025;12:15;19.98;20.02;19.96;20.02;19.99;1473584;0
24.08.2025;12:30;19.98;20.02;19.90;19.92;19.96;4637331;0
24.08.2025;12:45;19.92;19.96;19.89;19.94;19.92;1914982;0
24.08.2025;13:00;19.92;19.94;19.89;19.91;19.91;2522738;0
24.08.2025;13:15;19.91;19.94;19.83;19.85;19.88;2829647;0
24.08.2025;13:30;19.85;19.94;19.83;19.88;19.88;3691904;0
24.08.2025;13:45;19.88;19.92;19.87;19.92;19.89;1053156;0
24.08.2025;14:00;19.92;19.92;19.83;19.85;19.87;2422493;0
24.08.2025;14:15;19.85;19.87;19.83;19.87;19.85;1034791;0
24.08.2025;14:30;19.87;19.94;19.86;19.91;19.90;2057548;0
24.08.2025;14:45;19.91;19.92;19.85;19.85;19.88;1190932;0
24.08.2025;15:00;19.86;19.90;19.83;19.89;19.86;1097177;0
24.08.2025;15:15;19.88;19.89;19.78;19.81;19.83;1648845;0
24.08.2025;15:30;19.81;19.84;19.77;19.83;19.80;4198270;0
24.08.2025;15:45;19.83;19.84;19.77;19.77;19.80;2925799;0
24.08.2025;16:00;19.78;19.83;19.74;19.77;19.78;4105921;0
24.08.2025;16:15;19.75;19.77;19.72;19.76;19.74;3043630;0
24.08.2025;16:30;19.76;19.77;19.74;19.75;19.75;802196;0
24.08.2025;16:45;19.75;20.08;19.69;20.02;19.88;11212611;0
24.08.2025;17:00;20.02;20.10;19.87;19.92;19.98;6508422;0
24.08.2025;17:15;19.91;19.94;19.82;19.90;19.88;5147560;0
24.08.2025;17:30;19.89;19.90;19.73;19.78;19.81;3680244;0
24.08.2025;17:45;19.75;20.04;19.69;19.73;19.86;7040487;0
24.08.2025;18:00;19.73;19.75;19.71;19.71;19.73;3648610;0
27.08.2025;10:00;19.39;19.39;18.97;19.22;19.18;11599405;0
27.08.2025;10:15;19.19;19.22;19.07;19.17;19.15;6671619;0
27.08.2025;10:30;19.19;19.28;19.04;19.07;19.16;5687142;0
27.08.2025;10:45;19.07;19.09;19.01;19.06;19.05;2660540;0
27.08.2025;11:00;19.06;19.10;18.98;19.07;19.04;2831385;0
27.08.2025;11:15;19.07;19.09;19.02;19.05;19.06;1743616;0
27.08.2025;11:30;19.06;19.10;19.02;19.04;19.06;1071216;0
27.08.2025;11:45;19.06;19.08;19.02;19.06;19.05;929232;0
27.08.2025;12:00;19.06;19.07;19.02;19.02;19.05;1471488;0
27.08.2025;12:15;19.04;19.10;19.04;19.08;19.07;911630;0
27.08.2025;12:30;19.06;19.08;19.02;19.04;19.05;1014811;0
27.08.2025;12:45;19.06;19.10;19.06;19.08;19.08;940119;0
27.08.2025;13:00;19.09;19.12;19.03;19.03;19.08;1254122;0
27.08.2025;13:15;19.06;19.06;18.99;18.99;19.03;478870;0
27.08.2025;13:30;19.00;19.07;18.99;19.07;19.03;1455907;0
27.08.2025;13:45;19.06;19.11;19.01;19.09;19.06;1783951;0
