Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:00;9.05;9.10;9.00;9.01;9.05;458715;0
24.08.2025;11:15;9.01;9.02;8.97;9.00;9.00;444632;0
24.08.2025;11:30;9.00;9.02;9.00;9.01;9.01;22541;0
24.08.2025;11:45;9.01;9.01;9.00;9.00;9.01;60638;0
24.08.2025;12:00;9.00;9.01;8.95;8.99;8.98;170425;0
24.08.2025;12:15;8.99;9.00;8.96;8.96;8.98;70153;0
24.08.2025;12:30;8.96;8.97;8.92;8.93;8.95;442705;0
24.08.2025;12:45;8.93;8.94;8.92;8.92;8.93;83248;0
24.08.2025;13:00;8.92;8.95;8.91;8.94;8.93;233379;0
24.08.2025;13:15;8.93;8.94;8.89;8.90;8.91;172621;0
24.08.2025;13:30;8.89;8.93;8.84;8.93;8.89;301135;0
24.08.2025;13:45;8.93;8.95;8.93;8.95;8.94;58073;0
24.08.2025;14:00;8.95;8.95;8.85;8.87;8.90;242262;0
24.08.2025;14:15;8.87;8.91;8.87;8.89;8.89;524698;0
24.08.2025;14:30;8.89;8.90;8.87;8.89;8.88;779952;0
24.08.2025;14:45;8.89;8.91;8.80;8.88;8.86;428406;0
24.08.2025;15:00;8.88;8.90;8.82;8.89;8.86;758220;0
24.08.2025;15:15;8.89;8.91;8.85;8.87;8.88;105187;0
24.08.2025;15:30;8.87;8.90;8.87;8.90;8.88;149283;0
24.08.2025;15:45;8.89;8.91;8.87;8.88;8.89;70031;0
24.08.2025;16:00;8.91;8.95;8.88;8.89;8.91;116629;0
24.08.2025;16:15;8.92;8.93;8.89;8.92;8.91;77988;0
24.08.2025;16:30;8.92;8.93;8.92;8.92;8.93;49631;0
24.08.2025;16:45;8.91;9.00;8.89;8.96;8.95;730539;0
24.08.2025;17:00;8.96;9.01;8.80;8.95;8.91;706218;0
24.08.2025;17:15;8.97;9.00;8.96;8.96;8.98;168600;0
24.08.2025;17:30;8.95;8.95;8.91;8.91;8.93;205774;0
24.08.2025;17:45;8.93;8.94;8.89;8.92;8.91;169928;0
24.08.2025;18:00;8.91;8.92;8.89;8.92;8.91;154493;0
27.08.2025;10:00;8.57;8.76;8.47;8.70;8.62;832823;0
27.08.2025;10:15;8.70;8.73;8.69;8.72;8.71;769317;0
27.08.2025;10:30;8.74;8.75;8.69;8.69;8.72;150314;0
